Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,75,113,57,45,22,,81,71,59,63,49,,76,162,16,78,173,,238,119,41,48,42,,71,196,14,66,80,,50,14,49,162,57,,48,98
French,26,43,19,20,6,,34,17,23,24,21,,35,60,5,19,47,,54,49,8,15,9,,20,29,5,27,16,,18,10,13,30,30,,15,31
German,4,11,2, -   ,3,,3,2, -   ,2,2,, -   ,14,2,5,19,,1,5, -   ,5,6,,2,8,3,6,4,,6,2,1,4,2,,3,1
Spanish,3,3, -   , -   , -   ,, -   ,1,1,5,1,,2,7, -   ,8,3,,10,3,4,2,1,,5,9, -   ,4,2,,1, -   ,2,13, -   ,,3,4
Gaelic,2, -   , -   ,6, -   ,, -   , -   ,2,1, -   ,, -   ,2,11, -   , -   ,,2,25, -   , -   , -   ,, -   ,5, -   ,2, -   ,, -   , -   , -   ,1,1,, -   , -   
Italian, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,5, -   , -   , -   ,,2, -   , -   , -   , -   ,, -   ,2, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
English as an Additional Language, -   , -   ,1, -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,4,1, -   , -   ,1,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Community Languages, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,1, -   , -   , -   ,,5, -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Other Modern Languages,1,14,8,5,1,,4,12,8,11,1,,7,11, -   ,7,10,,42,6,12,2,4,,12,36,1,4,18,,2,1,7,34,1,,4,15
Classics, -   , -   , -   , -   , -   ,, -   , -   , -   , -   ,1,, -   , -   ,1,1,2,, -   , -   , -   , -   , -   ,,1, -   , -   , -   , -   ,, -   , -   , -   ,3, -   ,, -   , -   
