Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,76,108,56,43,21,,76,71,57,62,50,,71,170,15,78,169,,240,115,43,42,42,,73,185,14,64,80,,50,13,50,164,58,,48,99
French,21,44,19,18,5,,31,17,25,24,21,,31,58,6,20,47,,48,47,7,13,10,,16,30,5,21,15,,21,8,12,28,29,,11,30
German,3,11,2, -   ,3,,3,2, -   ,2,3,, -   ,14,1,5,18,,1,5, -   ,3,5,,1,5,3,6,3,,5,4,1,4,2,,3,2
Spanish,3,1,1,1, -   ,,1,2,2,4,1,,1,5, -   ,6,5,,9,2,3,2,1,,5,9, -   ,6,3,,2, -   ,1,11, -   ,,5,4
Gaelic,1, -   , -   ,4, -   ,, -   , -   ,2,1, -   ,, -   ,2,11, -   , -   ,,3,26, -   , -   , -   ,, -   ,6, -   ,2, -   ,, -   , -   , -   ,1,1,, -   , -   
Italian, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,1,5, -   , -   , -   ,,2, -   , -   , -   , -   ,, -   ,2, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
English as an Additional Language, -   , -   ,1, -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,3,1, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Community Languages, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,,5, -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Other Modern Languages,8,9,8,6,1,,6,11,5,12,3,,9,11, -   ,6,13,,44,6,14,3,3,,13,36, -   ,7,16,,1, -   ,7,36,2,,4,14
Classics, -   , -   , -   , -   , -   ,, -   , -   , -   , -   ,1,, -   , -   ,1,1,3,, -   , -   , -   , -   , -   ,,1, -   , -   , -   , -   ,, -   , -   , -   ,3, -   ,, -   , -   
Mathematics,78,110,54,43,19,,72,60,58,60,44,,73,146,15,69,159,,215,108,41,43,37,,67,167,12,61,87,,49,14,51,147,50,,46,93
Biology,34,57,28,15,10,,40,29,26,34,23,,37,71,10,39,81,,98,59,14,19,18,,33,75,5,30,45,,26,8,26,76,25,,21,52
Chemistry,26,49,22,14,7,,28,24,20,32,19,,36,57,6,27,66,,76,50,16,14,17,,22,64,5,23,29,,19,6,20,61,18,,19,35
Science (general),6,10,6,5,1,,2,1,6,1,1,, -   ,11, -   ,3,1,,14,5,2,1,3,,4,10,3,3,4,,4,2,6,9,1,,1,2
Physics,26,45,19,12,7,,27,24,16,23,17,,24,46,6,26,59,,60,44,13,12,17,,25,51,2,23,27,,17,6,13,55,20,,19,26
Economics, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,3, -   , -   , -   ,,1, -   , -   , -   , -   ,, -   , -   , -   ,2, -   ,, -   , -   
Geography,21,42,22,18,7,,27,18,15,21,16,,23,46,7,22,44,,51,50,9,14,15,,24,48,7,23,22,,17,5,14,44,22,,13,24
History,25,39,26,15,8,,30,24,20,27,15,,19,55,8,22,53,,65,53,13,18,14,,25,63,5,20,25,,21,5,13,54,18,,14,30
Religious Education,20,35,8,6,6,,21,21,7,18,12,,20,45,2,22,38,,62,24,10,16,11,,18,47,3,17,30,,11,1,17,42,15,,13,30
Modern Studies,20,29,1,8,9,,15,21,14,16,14,,10,30,1,14,41,,58,9,7,6,9,,9,46, -   ,11,25,,10,4,14,37,9,,15,15
Media Studies, -   ,1, -   , -   , -   ,, -   , -   , -   , -   , -   ,,1,3, -   ,1, -   ,,1, -   , -   , -   ,1,, -   ,3, -   , -   , -   ,,1, -   , -   , -   , -   ,, -   , -   
Business Education,26,43,16,16,8,,23,23,12,25,20,,25,43,6,26,65,,81,28,16,11,14,,14,56,4,17,28,,17,9,19,68,15,,15,32
Computing,13,23,16,10,7,,9,20,11,20,10,,19,48,2,21,40,,52,13,14,11,8,,20,42,2,21,26,,8,2,15,44,8,,16,27
