Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,72,114,61,48,24,,87,75,62,64,48,,84,173,22,84,179,,252,122,42,46,47,,79,203,14,66,87,,59,16,60,167,60,,53,102
French,27,52,25,21,5,,34,22,29,27,23,,29,62,9,31,58,,67,58,10,16,15,,26,42,3,14,26,,21,9,16,45,26,,15,33
German,8,14,3,2,4,,3,2,1,1,3,,          -   ,17,2,7,22,,2,5,          -   ,4,7,,2,8,3,3,4,,8,4,2,4,2,,4,5
Spanish,2,3,          -   ,          -   ,1,,          -   ,3,1,1,          -   ,,3,6,          -   ,2,1,,8,3,5,1,1,,4,6,          -   ,1,2,,          -   ,          -   ,2,7,          -   ,,5,3
Gaelic,1,          -   ,          -   ,8,          -   ,,          -   ,          -   ,2,1,          -   ,,          -   ,1,12,          -   ,          -   ,,3,26,          -   ,          -   ,          -   ,,          -   ,4,          -   ,2,          -   ,,          -   ,          -   ,          -   ,1,1,,          -   ,          -   
Italian,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,7,          -   ,          -   ,          -   ,,2,          -   ,          -   ,          -   ,          -   ,,          -   ,2,          -   ,          -   ,1,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   
English as an Additional Language,          -   ,0,1,          -   ,          -   ,,          -   ,2,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,27,1,1,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   
Community Languages,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,1,          -   ,          -   ,          -   ,,7,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   
Other Modern Languages,          -   ,5,9,2,          -   ,,6,13,3,12,          -   ,,9,12,          -   ,3,16,,46,          -   ,11,2,3,,10,30,2,20,14,,1,          -   ,6,37,3,,2,11
Classics,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,0,          -   ,          -   ,2,,          -   ,          -   ,1,1,4,,          -   ,          -   ,          -   ,          -   ,          -   ,,1,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,4,          -   ,,0,          -   
Mathematics,72,114,58,41,22,,78,77,60,66,46,,71,157,17,80,171,,224,112,41,46,44,,79,187,12,65,88,,56,18,57,163,55,,53,97
Biology,33,53,27,16,10,,47,35,23,36,24,,28,69,7,38,84,,88,61,14,19,19,,34,84,5,26,43,,28,7,29,74,25,,20,51
Chemistry,26,49,26,14,10,,29,22,21,29,19,,38,52,6,30,64,,72,53,12,14,18,,23,66,4,22,27,,21,6,24,58,21,,19,33
Science (general),1,6,7,8,1,,2,3,6,          -   ,1,,4,11,2,2,3,,15,3,3,2,3,,          -   ,7,3,11,5,,5,5,1,10,1,,4,6
Physics,29,42,22,12,7,,29,23,18,24,17,,24,55,7,27,66,,66,44,13,16,19,,26,51,6,24,28,,15,6,16,52,22,,16,26
Economics,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,3,          -   ,          -   ,          -   ,,1,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,2,          -   ,,          -   ,          -   
Geography,20,38,27,15,7,,24,20,15,22,17,,21,49,5,23,49,,47,48,11,15,16,,24,52,8,21,19,,18,7,17,54,16,,13,20
History,25,41,19,18,7,,35,22,25,22,17,,21,54,7,21,48,,61,48,15,17,13,,26,49,3,21,24,,21,6,14,50,23,,12,29
Religious Education,22,30,12,8,8,,21,21,9,19,14,,23,40,4,19,40,,61,26,11,15,13,,19,57,3,17,25,,13,2,16,43,16,,13,29
Modern Studies,20,30,3,4,8,,17,20,10,17,15,,10,34,3,13,55,,55,10,7,3,7,,9,51,1,11,21,,11,4,13,33,10,,10,21
Media Studies,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,3,          -   ,1,          -   ,,1,          -   ,          -   ,1,          -   ,,          -   ,1,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,2,          -   ,,1,          -   
Business Education,25,41,20,16,10,,29,24,16,24,18,,22,50,7,33,70,,92,35,18,12,14,,15,53,5,21,28,,21,10,20,66,15,,16,36
Computing,19,28,17,10,8,,14,26,16,25,11,,25,53,4,19,44,,58,15,12,10,8,,22,53,2,21,25,,10,5,15,43,11,,16,30
Home Economics,25,35,25,18,11,,32,28,24,22,15,,19,59,8,31,57,,78,38,15,16,18,,23,73,4,27,27,,22,7,24,55,13,,18,31
Technical Education,38,66,32,22,15,,46,37,37,30,27,,28,67,11,43,81,,95,85,25,26,23,,36,93,8,34,48,,27,12,31,80,25,,26,49
PSE/Guidance,26,67,13,6,3,,4,12,8,4,15,,3,51,1,10,4,,41,32,1,12,23,,15,16,1,24,7,,23,7,17,16,1,,1,19
Art & Design,31,50,27,24,10,,34,35,33,31,20,,29,60,8,31,95,,84,55,17,20,19,,33,83,6,30,39,,25,9,25,60,24,,23,36
Music,25,33,18,17,7,,28,26,24,23,16,,22,46,6,27,58,,68,45,15,16,15,,25,67,5,22,30,,17,7,21,57,19,,19,35
Physical Education,44,66,39,29,16,,58,49,37,41,32,,48,111,10,59,121,,149,90,25,30,27,,47,129,7,48,61,,43,10,39,100,39,,32,66
Drama,17,27,5,9,2,,19,11,2,5,5,,19,31,          -   ,12,41,,48,8,4,7,10,,2,30,2,8,4,,3,          -   ,          -   ,33,          -   ,,1,10
Learning Support ,24,80,35,19,4,,49,61,25,17,20,,19,41,9,53,55,,46,69,12,18,25,,31,54,6,11,17,,8,4,41,47,6,,17,21
ASN general,18,21,8,2,2,,1,1,2,          -   ,1,,1,3,2,1,24,,5,18,1,          -   ,8,,1,          -   ,          -   ,7,4,,          -   ,2,          -   ,9,2,,          -   ,6
ASN Behavioural Support,6,17,3,3,          -   ,,2,2,3,          -   ,2,,2,9,          -   ,6,14,,2,1,          -   ,          -   ,1,,6,          -   ,1,2,2,,4,1,2,7,5,,6,1
ASN Learning Difficulties ,15,34,8,2,5,,1,6,8,          -   ,6,,4,8,          -   ,4,9,,3,15,6,1,11,,          -   ,3,5,10,5,,4,12,          -   ,9,7,,          -   ,3
ASN Physical Disabilities,1,2,          -   ,          -   ,1,,          -   ,5,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,3,,          -   ,          -   ,          -   ,          -   ,0,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,3,          -   ,,          -   ,          -   
Hearing Impairment,          -   ,1,1,1,          -   ,,          -   ,1,5,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,2,          -   ,3,          -   ,          -   ,,          -   ,7,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,7,          -   ,,          -   ,          -   
Visual Impairment,          -   ,2,          -   ,          -   ,          -   ,,          -   ,0,1,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,8,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,          -   ,          -   ,,          -   ,          -   ,          -   ,6,          -   ,,          -   ,          -   
Not known/Other,21,10,2,4,          -   ,,5,1,3,5,9,,3,7,12,9,34,,14,2,1,2,6,,2,3,          -   ,11,5,,3,1,          -   ,34,3,,1,5
