Subject,Aberdeen City,Aberdeenshire,Angus,Argyll & Bute,Clackmannanshire,,Dumfries & Galloway,Dundee City,East Ayrshire,East Dunbartonshire,East Lothian,,East Renfrewshire,"Edinburgh, City of",Eilean Siar,Falkirk,Fife,,Glasgow City,Highland,Inverclyde,Midlothian,Moray,,North Ayrshire,North Lanarkshire,Orkney Islands,Perth & Kinross,Renfrewshire,,Scottish Borders,Shetland Islands,South Ayrshire,South Lanarkshire,Stirling,,West Dunbartonshire,West Lothian
English,126,68,48,23,,,90,76,64,73,46,,79,173,23,82,191,,263,144,44,44,53,,80,217,14,67,84,,67,18,63,179,64,,54,103
French,55,26,21,7,,,38,20,24,30,23,,30,66,9,35,55,,74,59,13,18,16,,30,45,6,14,29,,22,10,16,44,30,,19,37
German,15,5,2,4,,,5,1,2, -   ,3,, -   ,19,2,7,24,,3,5, -   ,6,8,,2,10,3,3,4,,8,5,1,4,2,,5,5
Spanish,2, -   , -   , -   ,,, -   ,3,2,2, -   ,,2,8, -   ,2,2,,12,3,5,2,1,,4,9, -   ,1,2,,1, -   ,2,8,1,,4, -   
Gaelic, -   , -   ,8, -   ,,, -   , -   ,1,1, -   ,, -   ,3,13, -   , -   ,,2,25, -   , -   , -   ,, -   ,3, -   ,1, -   ,, -   , -   , -   ,1,1,, -   , -   
Italian, -   , -   , -   , -   ,,, -   , -   , -   , -   , -   ,, -   ,5, -   , -   , -   ,,3, -   , -   , -   , -   ,, -   ,1, -   , -   ,1,, -   , -   , -   , -   , -   ,, -   , -   
English as an Additional Language, -   , -   , -   , -   ,,,2,2, -   , -   , -   ,, -   , -   , -   , -   , -   ,,35,1, -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Community Languages, -   , -   , -   , -   ,,, -   , -   , -   , -   , -   ,, -   ,1, -   , -   , -   ,,6, -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Other Modern Languages,2,6,2, -   ,,,3,18,8,11,1,,9,7, -   , -   ,20,,41, -   ,12, -   ,2,,10,31,1,21,11,,3, -   ,9,42,1,,1,11
Classics, -   , -   , -   , -   ,,, -   ,2, -   , -   ,2,, -   , -   ,1,1,4,,3,2, -   , -   , -   ,,1, -   , -   ,1, -   ,, -   , -   , -   ,4, -   ,,1, -   
Mathematics,120,64,46,24,,,81,75,61,72,47,,76,160,18,78,170,,254,125,42,42,49,,74,211,13,63,85,,59,20,60,170,53,,54,100
Biology,55,22,17,10,,,54,32,22,33,21,,31,69,7,38,87,,85,61,14,18,20,,36,85,7,25,46,,28,8,30,72,25,,20,50
Chemistry,49,21,16,8,,,29,24,21,30,20,,37,48,3,29,66,,71,53,16,14,18,,25,61,3,25,29,,22,6,26,64,22,,17,34
Science (general),10,11,4,1,,,1,4,7, -   ,2,,3,10,3,1,4,,15,4, -   ,2,4,,1,7,3,8,5,,6,4, -   ,10,2,,3,7
Physics,39,22,16,7,,,27,22,18,25,19,,25,56,8,27,71,,64,46,16,15,17,,26,53,6,25,25,,16,6,17,55,19,,19,26
Economics, -   ,1, -   , -   ,,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   ,3, -   , -   , -   ,,1,1, -   , -   , -   ,, -   , -   , -   ,2, -   ,, -   , -   
Geography,37,27,17,7,,,28,23,14,19,15,,23,49,5,25,48,,44,51,11,16,17,,23,47,9,22,22,,22,8,19,53,21,,14,21
History,45,24,20,7,,,31,27,24,22,14,,20,52,6,21,52,,59,47,15,16,14,,21,48,4,19,26,,24,6,17,52,23,,12,29
Religious Education,32,12,10,8,,,21,21,8,19,12,,25,44,4,19,40,,61,25,10,15,11,,20,52,3,16,22,,12,2,16,35,17,,14,32
Modern Studies,29,3,6,9,,,17,21,13,18,13,,10,31,2,11,59,,58,8,8,3,9,,11,46,1,11,19,,11,5,14,35,10,,14,21
Media Studies, -   , -   , -   , -   ,,, -   , -   ,1, -   , -   ,, -   ,3, -   ,1, -   ,, -   ,2, -   ,1, -   ,, -   ,1, -   , -   ,1,, -   , -   , -   ,2,1,, -   , -   
Business Education,43,18,17,10,,,29,26,17,25,19,,24,52,7,30,71,,95,37,19,12,16,,17,57,5,23,28,,22,11,19,64,17,,19,39
Computing,30,18,14,7,,,19,26,15,22,11,,24,51,4,22,47,,58,25,10,10,7,,23,52,2,21,24,,10,5,17,41,13,,16,31
Home Economics,37,25,20,11,,,35,25,24,21,16,,21,58,8,28,53,,79,44,16,17,19,,23,75,5,25,28,,23,8,24,55,12,,20,31
Technical Education,67,31,26,17,,,46,34,35,32,26,,28,66,10,43,77,,102,79,25,27,24,,36,97,8,37,49,,30,12,31,79,27,,27,49
PSE/Guidance,74,13,6,3,,,4,16,9,6,16,,3,50,1,12,5,,40,8,1,9,19,,15,15,1,30,7,,20,6,13,15, -   ,,1,20
Art & Design,51,26,26,10,,,36,35,32,30,22,,26,63,8,29,99,,91,54,17,21,21,,33,82,6,29,41,,25,10,27,62,24,,23,38
Music,36,21,15,7,,,28,24,23,24,17,,25,47,6,25,60,,71,49,15,17,15,,22,66,4,21,32,,20,8,21,56,20,,18,35
Physical Education,69,43,32,17,,,61,44,41,40,30,,49,110,10,61,124,,156,85,27,30,27,,48,129,10,45,57,,42,12,42,95,41,,31,66
Drama,27,4,8,2,,,15,10,3,2,5,,18,34, -   ,11,47,,45,7,3,7,10,,2,27,3,9,4,,3, -   ,1,31, -   ,,1,9
Learning Support ,86,36,18,4,,,59,63,25,14,22,,19,46,8,55,65,,50,68,12,19,25,,34,58,7,14,14,,40,3,39,49,9,,17,25
ASN general,25,8,3,2,,,3,2,3, -   ,1,,1,3,2,1,23,,5,22, -   , -   ,9,,1,1, -   ,9,4,, -   ,2, -   ,8,2,, -   ,6
ASN Behavioural Support,17,4,2, -   ,,,1,3,5, -   ,2,,2,10, -   ,6,17,,1,1, -   , -   ,1,,7, -   , -   ,4,2,,6,2,3,7,4,,7,3
ASN Learning Difficulties ,31,9,2,5,,,1,5,6, -   ,6,,4,6, -   ,4,9,,3,13,6, -   ,9,, -   ,3,5,11,6,,6,14,1,10,6,, -   ,2
ASN Physical Disabilities,2, -   , -   , -   ,,, -   ,5, -   , -   , -   ,, -   , -   , -   , -   ,3,, -   ,1, -   , -   ,1,, -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   
Hearing Impairment,1, -   ,1, -   ,,, -   ,1,6, -   , -   ,, -   , -   , -   , -   , -   ,,3, -   ,3, -   , -   ,, -   ,6, -   , -   , -   ,, -   , -   , -   ,7, -   ,, -   , -   
Visual Impairment,2, -   , -   , -   ,,, -   , -   ,1, -   , -   ,, -   , -   , -   , -   , -   ,,3, -   , -   , -   , -   ,, -   , -   , -   , -   , -   ,, -   , -   , -   ,8, -   ,, -   , -   
Not known/Other,12,1,3,1,,,8,1,2,5,12,,2,12,1,9,36,,12,32,1,1,5,,2,8, -   ,4,5,,6,2,1,26,4,,1,10
