Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,male-Entries,male-A,male-B,male-C,male-Pass,male-D,female-Entries,female-A,female-B,female-C,female-Pass,female-D,NumberOfCentres
Classical Greek,,,,,,,,,,,,,,,,,,,
English,"4,935","2,721",481,913,"1,327",622,"2,826",247,506,741,"1,494",328,"2,109",234,407,586,"1,227",294,359
French,989,611,206,199,206,97,518,94,99,100,293,52,471,112,100,106,318,45,49
Gaelic (Learners),11,10,10,0,0,0,5,4,0,0,4,0,6,6,0,0,6,0,3
Gàidhlig,,,,,,,,,,,,,,,,,,,
German,197,144,57,52,35,11,96,18,20,20,58,9,101,39,32,15,86,2,26
Italian,131,113,80,18,15,4,35,16,6,6,28,1,96,64,12,9,85,3,23
Latin,1,1,0,1,0,0,1,0,1,0,1,0,-,-,-,-,-,0,1
Russian,9,8,4,3,1,0,5,2,1,1,4,0,4,2,2,0,4,0,3
Spanish,663,586,402,107,77,16,183,81,32,30,143,6,480,321,75,47,443,10,82
,,,,,,,,,,,,,,,,,,,
Accounting and Finance,190,157,104,23,30,7,62,26,6,11,43,3,128,78,17,19,114,4,27
Mathematics,"6,240","3,333",980,"1,140","1,213",601,"3,033",480,543,592,"1,615",313,"3,207",500,597,621,"1,718",288,367
,,,,,,,,,,,,,,,,,,,
Biology,"2,813","1,671",356,598,717,372,"1,026",127,221,249,597,152,"1,787",229,377,468,"1,074",220,163
Chemistry,"1,408",774,215,255,304,127,770,110,133,163,406,72,638,105,122,141,368,55,128
Geology,55,52,28,16,8,1,31,15,14,1,30,0,24,13,2,7,22,1,10
Managing Environmental Resources,12,8,5,2,1,0,9,4,1,0,5,0,3,1,1,1,3,0,3
Physics,"1,073",550,112,205,233,129,923,97,181,206,484,109,150,15,24,27,66,20,111
,,,,,,,,,,,,,,,,,,,
Classical Studies,11,6,2,2,2,0,3,1,1,0,2,0,8,1,1,2,4,0,3
Economics,6,6,4,1,1,0,1,1,0,0,1,0,5,3,1,1,5,0,1
Geography,384,141,15,46,80,26,250,6,34,53,93,15,134,9,12,27,48,11,113
History,673,457,120,202,135,42,354,46,94,71,211,29,319,74,108,64,246,13,135
Modern Studies,347,221,52,84,85,26,147,20,37,32,89,11,200,32,47,53,132,15,95
Psychology,64,39,34,1,4,0,20,8,0,2,10,0,44,26,1,2,29,0,10
"Religious, Moral and Philosophical Studies",688,414,127,149,138,62,325,36,65,65,166,37,363,91,84,73,248,25,20
Sociology,10,8,4,2,2,0,2,0,0,1,1,0,8,4,2,1,7,0,1
,,,,,,,,,,,,,,,,,,,
Administration,"1,033",900,388,367,145,27,369,115,136,54,305,12,664,273,231,91,595,15,167
Applied Practical Electronics,30,23,5,9,9,2,29,4,9,9,22,2,1,1,0,0,1,0,4
Business Management,193,148,97,30,21,8,87,46,12,9,67,3,106,51,18,12,81,5,35
Care,207,145,76,37,32,13,15,5,2,3,10,0,192,71,35,29,135,13,16
Computing Studies,"1,488","1,195",543,407,245,84,946,327,257,161,745,52,542,216,150,84,450,32,132
Engineering Craft Skills,54,43,10,19,14,1,50,9,18,13,40,1,4,1,1,1,3,0,19
Home Economics: Fashion and Textile Technology,319,299,138,119,42,6,11,4,3,3,10,0,308,134,116,39,289,6,30
Home Economics: Health and Food Technology,989,794,386,291,117,29,313,85,102,45,232,14,676,301,189,72,562,15,76
Home Economics: Lifestyle and Consumer Technology,705,633,325,230,78,19,17,7,6,1,14,0,688,318,224,77,619,19,59
Hospitality: Practical Cookery,"1,792","1,578",611,670,297,67,641,182,213,147,542,36,"1,151",429,457,150,"1,036",31,144
Personal and Social Education,37,34,23,6,5,1,8,6,1,1,8,0,29,17,5,4,26,1,6
Travel and Tourism,556,356,146,100,110,30,183,44,28,26,98,15,373,102,72,84,258,15,67
Woodworking Skills,872,731,183,254,294,5,761,154,215,265,634,4,111,29,39,29,97,1,144
,,,,,,,,,,,,,,,,,,,
Art and Design,801,628,284,176,168,51,384,102,90,101,293,27,417,182,86,67,335,24,135
Drama,42,33,13,16,4,2,19,6,7,2,15,0,23,7,9,2,18,2,10
Media Studies,211,145,71,27,47,17,113,34,15,30,79,8,98,37,12,17,66,9,21
Music,557,422,89,186,147,27,266,43,76,67,186,15,291,46,110,80,236,12,100
,,,,,,,,,,,,,,,,,,,
Physical Education,435,391,326,50,15,4,331,257,35,6,298,1,104,69,15,9,93,3,69
