Subject,all-Entries,male-entries,female-entries,male-level2,female-level2,male-level3,female-level3,male-level4,female-level4,male-level5,female-level5,male-level6,female-level6
Achieving Excellence in Sport,80,74,6,,,,,,,,,74,6
Acting and Performance,120,41,79,,,,,,,,,41,79
Administration: Information Technology and Audio,200,26,174,,,,,,,26,174,,
Administration: Office Skills and Services,258,64,194,,,,,,,64,194,,
Administrative Activities,128,45,83,,,,,45,83,,,,
Angling and the Aquatic Environment,14,5,9,,,5,9,,,,,,
Art and Design: Digital Media,94,41,53,,,,,,,41,53,,
Bakery,285,105,180,,,,,105,180,,,,
Beauty Skills,141,4,137,,,,,4,137,,,,
Building Services Engineering,274,272,2,,,,,,,272,2,,
Business Skills,55,31,24,,,,,,,,,31,24
Business with Information Technology,310,136,174,,,,,,,49,58,87,116
Computer Games Development,"1,771",1567,204,,,,,401,83,844,90,322,31
Construction,666,632,34,,,,,,,632,34,,
Construction: Carpentry and Joinery at SCQF Level 5,146,131,15,,,,,,,131,15,,
Cosmetology,549,29,520,,,,,29,520,,,,
Creative Industries,113,64,49,,,,,64,49,,,,
Cyber Security,774,651,123,,,,,151,28,345,77,155,18
Dance,157,6,151,,,,,6,151,,,,
Digital Literacy,85,57,28,,,57,28,,,,,,
Digital Media Editing,185,163,22,,,,,,,,,163,22
Digital Passport,197,159,38,,,,,,,159,38,,
Enterprise and Business,63,27,36,,,,,,,,,27,36
Enterprise and Employability,"1,776",813,963,,,,,472,547,341,416,,
Exercise and Fitness Leadership,799,568,231,,,,,,,,,568,231
Health & Social Care: Skills for Practice,227,25,202,,,,,,,,,25,202
Health and Social Care: Promoting Reablement,139,14,125,,,,,14,125,,,,
Legal Studies,96,27,69,,,,,,,,,27,69
Make-Up Skills,93,0,93,,,,,,,0,93,,
Musical Theatre,116,28,88,,,,,,,,,28,88
PC Passport,"1,161",580,581,,,,,234,194,199,157,147,230
Photography,898,358,540,,,,,90,152,268,388,,
Play in a Sports Environment,162,98,64,,,,,98,64,,,,
Playwork and Childcare,590,28,562,,,,,,,28,562,,
Professional Cookery,216,110,106,,,34,30,76,76,,,,
Professional Theatre Preparation,87,30,57,,,,,,,,,30,57
Scottish Bagpipes,362,262,100,91,40,58,19,113,41,,,,
Scottish Pipe Band Drumming,37,26,11,,,26,11,,,,,,
Social Services and Healthcare,151,10,141,,,,,10,141,,,,
"Social Services, Children and Young People",489,25,464,,,,,,,,,25,464
Software Development,166,151,15,,,,,151,15,,,,
Sport and Fitness: Team Sports,102,79,23,,,,,,,79,23,,
Sports Coaching: Basketball (UKCC Level 1),127,85,42,,,,,85,42,,,,
Sports Coaching: General Gymnastics (UKCC Level 1),125,22,103,,,,,22,103,,,,
Sports Coaching: Gymnastics Women's Artistic (UKCC Level 1),109,3,106,,,,,3,106,,,,
Sports Coaching: Netball (UKCC Level 1),228,14,214,,,,,14,214,,,,
Sports Coaching: Rugby Union (UKCC Level 1),459,399,60,,,,,399,60,,,,
Sports Coaching: Rugby Union (UKCC Level 2),284,250,34,,,,,,,250,34,,
Sports Coaching: Teaching Aquatics (UKCC Level 1),673,212,461,,,,,212,461,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 2),152,47,105,,,,,,,47,105,,
Sports Coaching: Tennis (UKCC Level 1),251,167,84,,,,,167,84,,,,
Sports Development,484,311,173,,,,,,,,,311,173
Technical Theatre in Practice,60,33,27,,,,,,,,,33,27
Web Design Fundamentals,131,109,22,,,,,,,109,22,,
