Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-D,male-E,female-Entries,female-percentage,female-A,female-B,female-C,female-D,female-E,all-Entries,all-A,all-B,all-C,all-D,all-E,Number of centres
Art and Design (Enquiry),86,0.26625387,7,13,25,29,12,237,0.73374613,10,31,95,79,22,323,17,44,120,108,34,127
Art and Design (Research and Appreciation),3,0.15,-,1,1,1,-,17,0.85,2,9,4,2,-,20,2,10,5,3,-,14
Biology,186,0.343807763,12,40,81,31,22,355,0.656192237,44,91,135,66,19,541,56,131,216,97,41,163
Chemistry,866,0.587118644,125,213,306,148,74,609,0.412881356,69,160,248,101,31,1475,194,373,554,249,105,296
Economics,41,0.759259259,6,9,20,5,1,13,0.240740741,-,3,8,2,-,54,6,12,28,7,1,18
Engineering,3,1,2,1,-,-,-,-,0,-,-,-,-,-,3,2,1,-,-,-,3
English,449,0.342486651,31,80,185,110,43,862,0.657513349,70,165,386,198,43,1311,101,245,571,308,86,316
French,113,0.192176871,16,31,44,19,2,475,0.807823129,51,155,201,55,13,588,67,186,245,74,15,201
Gaelic,1,0.166666667,1,-,-,-,-,5,0.833333333,2,1,2,-,-,6,3,1,2,-,-,3
Geography,178,0.534534535,12,57,90,18,1,155,0.465465465,16,66,64,9,-,333,28,123,154,27,1,148
German,37,0.194736842,10,7,15,4,1,153,0.805263158,26,52,69,6,-,190,36,59,84,10,1,107
Greek,4,0.666666667,1,2,1,-,-,2,0.333333333,1,-,-,1,-,6,2,2,1,1,-,5
History,306,0.454005935,18,91,156,40,1,368,0.545994065,28,129,178,30,3,674,46,220,334,70,4,228
Italian,-,0,-,-,-,-,-,5,1,1,2,1,1,-,5,1,2,1,1,-,3
Latin,17,0.395348837,6,5,2,2,1,26,0.604651163,3,9,6,3,5,43,9,14,8,5,6,34
Mathematics I,480,0.662983425,65,93,112,127,80,244,0.337016575,19,48,72,76,28,724,84,141,184,203,108,183
Mathematics II,1270,0.662493479,155,231,272,259,266,647,0.337506521,64,150,176,134,102,1917,219,381,448,393,368,341
Mathematics III,161,0.624031008,19,28,32,38,44,97,0.375968992,9,18,25,22,20,258,28,46,57,60,64,45
Mathematics IV,460,0.773109244,57,95,126,93,88,135,0.226890756,13,21,33,44,24,595,70,116,159,137,112,150
Mathematics V,125,0.82781457,16,21,32,28,17,26,0.17218543,2,5,10,6,2,151,18,26,42,34,19,47
Modern Studies ,59,0.526785714,7,22,23,6,1,53,0.473214286,4,14,26,9,-,112,11,36,49,15,1,60
Physics,831,0.847094801,130,160,205,210,120,150,0.152905199,24,32,43,37,14,981,154,192,248,247,134,259
Russian,3,0.375,2,1,-,-,-,5,0.625,-,1,2,1,1,8,2,2,2,1,1,5
Secretarial Studies,1,0.020408163,-,1,-,-,-,48,0.979591837,-,18,28,2,-,49,-,19,28,2,-,28
Spanish,2,0.076923077,-,1,1,-,-,24,0.923076923,2,6,8,3,5,26,2,7,9,3,5,16
