Subject,all-Entries,male-Entries,female-Entries,all-SCQF2,male-SCQF2,female-SCQF2,all-SCQF3,male-SCQF3,female-SCQF3,all-SCQF4,male-SCQF4,female-SCQF4,all-SCQF5,male-SCQF5,female-SCQF5,all-SCQF6,male-SCQF6,female-SCQF6
Achieving Excellence in Sport,72,61,11,,,,,,,,,,,,,72,61,11
Acting and Performance,158,61,97,,,,,,,,,,,,,158,61,97
Administration: Information Technology and Audio,95,13,82,,,,,,,,,,95,13,82,,,
Administration: Office Skills and Services,144,35,109,,,,,,,,,,144,35,109,,,
Angling and the Aquatic Environment,17,15,2,,,,17,15,2,,,,,,,,,
Art and Design: Digital Media,93,54,39,,,,,,,,,,,,,93,54,39
Bakery,151,55,96,,,,,,,151,55,96,,,,,,
Beauty Skills,142,1,141,,,,,,,142,1,141,,,,,,
Building Services Engineering,75,75,0,,,,,,,,,,75,75,0,,,
Business with Information Technology,186,71,115,,,,,,,,,,106,46,60,80,25,55
Computer Games Development,"1,885",1700,185,,,,,,,424,367,57,1065,969,96,396,364,32
Computer Networks and Systems,82,74,8,,,,,,,,,,82,74,8,,,
Computers and Digital Photography,86,47,39,,,,,,,,,,86,47,39,,,
Construction,"1,687",1602,85,,,,,,,,,,1687,1602,85,,,
Cosmetology,414,20,394,,,,,,,414,20,394,,,,,,
Dance,222,9,213,,,,,,,90,6,84,132,3,129,,,
Digital Literacy,85,45,40,,,,85,45,40,,,,,,,,,
Digital Media Basics,100,71,29,,,,,,,100,71,29,,,,,,
Digital Media Editing,163,122,41,,,,,,,,,,163,122,41,,,
Digital Media Production,61,40,21,,,,,,,,,,,,,61,40,21
Digital Passport,135,109,26,,,,,,,,,,135,109,26,,,
Enterprise and Business,73,34,39,,,,,,,,,,,,,73,34,39
Enterprise and Employability,"1,623",794,829,,,,,,,945,502,443,678,292,386,,,
Exercise and Fitness Leadership,520,380,140,,,,,,,,,,,,,520,380,140
Health & Social Care: Skills for Practice,69,13,56,,,,,,,,,,,,,69,13,56
Health and Social Care: Promoting Reablement,162,21,141,,,,,,,,,,,,,162,21,141
Horse Care,178,13,165,,,,,,,92,7,85,,,,86,6,80
Journalism,41,15,26,,,,,,,,,,,,,41,15,26
Legal Studies,56,13,43,,,,,,,,,,,,,56,13,43
Musical Theatre,134,22,112,,,,,,,,,,,,,134,22,112
PC Passport: Advanced,35,17,18,,,,,,,,,,,,,35,17,18
PC Passport: Beginner,448,220,228,,,,,,,448,220,228,,,,,,
PC Passport: Intermediate,140,80,60,,,,,,,,,,140,80,60,,,
Photography,382,131,251,,,,,,,160,52,108,222,79,143,,,
Play in a Sports Environment,148,95,53,,,,,,,,,,,,,148,95,53
Playwork and Childcare,546,26,520,,,,,,,,,,546,26,520,,,
Professional Computer Fundamentals,40,37,3,,,,,,,,,,,,,40,37,3
Professional Cookery,190,96,94,,,,23,19,4,167,77,90,,,,,,
Professional Theatre Preparation,38,13,25,,,,,,,,,,,,,38,13,25
Scottish Bagpipes,205,148,57,76,52,24,43,28,15,86,68,18,,,,,,
Scottish Pipe Band Drumming,35,29,6,,,,35,29,6,,,,,,,,,
Sound Production: Recording,104,77,27,,,,,,,,,,,,,104,77,27
Sport and Fitness: Team Sports,90,73,17,,,,,,,,,,90,73,17,,,
Sporting Events: Personal Best,125,82,43,,,,,,,125,82,43,,,,,,
Sports Coaching: Basketball (UKCC Level 1),173,112,61,,,,,,,173,112,61,,,,,,
Sports Coaching: Canoeing (UKCC Level 1),223,159,64,,,,,,,223,159,64,,,,,,
Sports Coaching: Hockey (UKCC Level 1),166,88,78,,,,,,,166,88,78,,,,,,
Sports Coaching: Netball (UKCC Level 1),154,6,148,,,,,,,154,6,148,,,,,,
Sports Coaching: Rugby Union (UKCC Level 1),410,343,67,,,,,,,410,343,67,,,,,,
Sports Coaching: Rugby Union (UKCC Level 2),386,362,24,,,,,,,,,,386,362,24,,,
Sports Coaching: Teaching Aquatics (UKCC Level 1),648,216,432,,,,,,,648,216,432,,,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 2),163,59,104,,,,,,,,,,163,59,104,,,
Sports Coaching: Tennis (UKCC Level 1),285,193,92,,,,,,,285,193,92,,,,,,
Sports Development,81,51,30,,,,,,,,,,,,,81,51,30
Television Production,109,69,40,,,,,,,,,,109,69,40,,,
Web Design Fundamentals,320,255,65,,,,,,,,,,320,255,65,,,
