Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-D,male-E,female-Entries,female-percentage,female-A,female-B,female-C,female-D,female-E,all-Entries,all-A,all-B,all-C,all-D,all-E,Number of centres
English,319,0.315217391,32,90,144,40,9,693,0.684782609,96,233,301,51,7,1012,128,323,445,91,16,-
French,35,0.2,6,15,8,2,4,140,0.8,18,41,60,16,5,175,24,56,68,18,9,-
Gàidhlig,2,0.222222222,-,1,1,-,-,7,0.777777778,2,3,2,-,-,9,2,4,3,0,0,-
German,17,0.22972973,6,4,7,-,-,57,0.77027027,14,15,25,2,1,74,20,19,32,2,1,-
Italian,-,0,-,-,-,-,-,2,1,-,2,-,-,-,2,0,2,0,0,0,-
Latin,7,0.583333333,3,2,2,-,-,5,0.416666667,2,2,1,-,-,12,5,4,3,0,0,-
Russian,1,0.333333333,-,1,-,-,-,2,0.666666667,2,-,-,-,-,3,2,1,0,0,0,-
Spanish,15,0.326086957,5,2,6,1,-,31,0.673913043,6,16,8,1,-,46,11,18,14,2,0,-
Accounting and Finance,5,0.625,2,3,-,-,-,3,0.375,2,-,1,-,-,8,4,3,1,0,0,-
Mathematics I,894,0.637205987,144,202,236,157,109,509,0.362794013,70,125,162,88,47,1403,214,327,398,245,156,-
Mathematics II,43,0.671875,12,7,12,8,4,21,0.328125,3,6,8,1,3,64,15,13,20,9,7,-
Mathematics III,118,0.564593301,25,22,31,15,23,91,0.435406699,17,20,25,14,15,209,42,42,56,29,38,-
Mathematics IV,5,0.833333333,-,1,3,1,-,1,0.166666667,1,-,-,-,-,6,1,1,3,1,0,-
Mathematics V,64,0.820512821,23,11,16,4,7,14,0.179487179,7,4,-,-,3,78,30,15,16,4,10,-
Biology,267,0.278996865,42,59,96,40,26,690,0.721003135,135,208,246,78,22,957,177,267,342,118,48,-
Chemistry,501,0.467787115,105,113,172,66,40,570,0.532212885,88,163,204,91,22,1071,193,276,376,157,62,-
Physics,199,0.836134454,29,33,60,39,36,39,0.163865546,6,3,18,8,4,238,35,36,78,47,40,-
Classical Studies,3,0.375,1,1,1,-,-,5,0.625,4,1,-,-,-,8,5,2,1,0,0,-
Economics,19,0.863636364,5,2,7,1,3,3,0.136363636,-,1,1,1,-,22,5,3,8,2,3,-
Geography,161,0.473529412,6,61,74,14,-,179,0.526470588,20,82,69,4,-,340,26,143,143,18,0,-
History,142,0.452229299,7,51,57,20,5,172,0.547770701,17,69,60,19,5,314,24,120,117,39,10,-
Modern Studies,92,0.381742739,16,39,34,3,-,149,0.618257261,25,76,43,5,-,241,41,115,77,8,0,-
Religious Studies,1,0.111111111,-,-,1,-,-,8,0.888888889,-,2,5,-,1,9,0,2,6,0,1,-
Computing Studies,167,0.907608696,22,38,69,34,4,17,0.092391304,3,3,9,2,-,184,25,41,78,36,4,-
Technological Studies,14,0.875,10,2,1,1,-,2,0.125,-,-,1,-,-,16,10,2,2,1,0,-
Art and Design (Enquiry),222,0.296395194,21,40,78,65,16,527,0.703604806,63,86,227,132,19,749,84,126,305,197,35,-
Art and Design (Research and Appreciation),4,0.133333333,-,2,2,-,-,26,0.866666667,2,7,15,2,-,30,2,9,17,2,0,-
Music,138,0.349367089,51,43,36,3,-,257,0.650632911,84,68,93,8,1,395,135,111,129,11,1,-
