Subject,all-Entries,all-Attainment,male-percentage,male-percentageAttainment,female-percentage,female-percentageAttainment,NumberOfCentres
Administration and IT,"2,857","2,720",42,94,58,96,
Art and Design,"5,263","4,917",40,94,60,93,
Biology,"10,471","9,896",39,94,61,95,
Business,"2,961","2,821",54,95,46,95,
Care,280,233,8,83,92,83,
Chemistry,"7,277","6,919",52,95,48,95,
Chinese Languages,68,67,50,97,50,100,
Classical Studies,50,50,48,100,52,100,
Computing Science,"3,633","3,411",80,93,20,96,
Design and Manufacture,"1,988","1,782",84,89,16,94,
Drama,"1,292","1,205",45,92,55,94,
Engineering Science,475,433,95,91,5,88,
English,"20,765","19,925",62,96,38,96,
English for Speakers of Other Languages,260,235,42,85,58,94,
Environmental Science,231,212,53,94,47,89,
Fashion and Textile Technology,198,171,3,80,97,87,
French,"4,395","4,292",51,98,49,97,
Gaelic (Learners),41,39,49,95,51,95,
Gàidhlig,20,18,60,100,40,75,
Geography,"4,705","4,516",63,96,37,96,
German,819,795,56,98,44,96,
Graphic Communication,"1,476","1,338",82,91,18,90,
Health and Food Technology,"1,098","1,052",35,97,65,95,
History,"7,435","7,130",57,96,43,96,
Hospitality: Practical Cookery,"3,933","3,755",43,95,57,96,
Italian,37,36,43,100,57,95,
Latin,7,6,29,***,71,80,
Lifeskills Mathematics,"4,164","3,656",55,88,45,87,
Mathematics,"27,903","26,151",51,94,49,94,
Media,"1,032",974,58,94,42,95,
Modern Studies,"4,914","4,688",53,95,47,96,
Music,"1,706","1,469",50,84,50,88,
Music Technology,149,134,72,90,28,90,
People and Society,365,314,44,81,56,90,
Physical Education,"5,058","4,759",72,94,28,94,
Physics,"5,876","5,591",83,95,17,94,
Practical Electronics,130,116,94,89,6,100,
Practical Metalworking,198,157,94,80,6,73,
Practical Woodworking,"1,949","1,655",87,85,13,85,
"Religious, Moral and Philosophical Studies","2,400","2,216",45,91,55,93,
Science,591,569,60,95,40,97,
Spanish,"1,663","1,600",48,96,52,97,
Urdu,18,18,67,100,33,100,
