Subject,male-Attainment,male-Entries,female-Attainment,female-Entries,all-Attainment,all-Entries,NumberOfCentres
Administration and IT,350,366,273,291,624,658,
Applications of Mathematics,"3,693","3,955","2,732","2,944","6,425","6,900",
Art and Design,338,412,252,302,590,714,
Biology,285,307,285,306,570,613,
Business,206,229,149,162,355,391,
Chemistry,274,291,205,225,479,516,
Chinese Languages,***,3,4,5,7,8,
Classical Studies,13,13,9,10,22,23,
Computing Science,409,436,176,185,585,621,
Design and Technology,75,86,17,20,92,106,
Drama,114,134,68,79,182,213,
English,"1,187","1,300",661,735,"1,848","2,037",
English for Speakers of Other Languages,156,164,271,281,432,450,
Environmental Science,51,54,47,49,98,103,
Fashion and Textile Technology,7,7,16,21,23,28,
French,256,264,224,233,480,497,
Gaelic (Learners),12,13,8,10,20,23,
Geography,399,431,256,276,655,707,
German,95,96,66,66,161,162,
Health and Food Technology,11,14,24,27,35,41,
History,578,622,391,420,970,"1,043",
Italian,12,14,7,7,19,21,
Latin,-,0,***,1,***,1,
Media,232,263,144,161,377,425,
Modern Studies,706,743,445,465,"1,151","1,208",
Music,169,206,98,125,267,331,
Music Technology,34,48,***,3,37,51,
People and Society,187,197,117,122,304,319,
Physical Education,455,517,210,230,665,748,
Physics,196,220,80,86,276,306,
Practical Cookery (Hospitality: Practical Cookery)*,449,491,366,392,815,883,
Practical Craft Skills,301,345,41,49,342,394,
"Religious, Moral and Philosophical Studies",305,400,315,399,620,799,
Science,98,109,63,73,161,182,
Spanish,115,126,118,128,233,254,
Urdu,15,15,11,11,26,26,
