Subject,all-Entries,all-Pass,all-A,all-B,all-C,male-Entries,male-A,male-B,male-C,male-Pass,female-Entries,female-A,female-B,female-C,female-Pass,NumberOfCentres
Classical Greek,1,1 ,0,0,1,1,0 ,0 ,1 ,1 ,-,-,-,-,-,1
English and Communication,842,534 ,53,215,266,477,32,126,138,296 ,365,21,89,128,238,73
French,23,19 ,11,6,2,8,2,4,0,6 ,15,9,2,2,13,5
Gaelic (Learners),5,2 ,2,0,0,5,2 ,0 ,0 ,2 ,-,-,-,-,-,2
German,23,20 ,14,6,0,4,2,1,0,3 ,19,12,5,0,17,4
Italian,43,39 ,23,11,5,5,3,0,0,3 ,38,20,11,5,36,7
Latin,4,4 ,3,1,0,1,1,0,0,1 ,3,2,1,0,3,2
Spanish,181,148 ,100,31,17,51,25 ,9 ,4 ,38 ,130,75,22,13,110,22
,,,,,,,,,,,,,,,,
Accounting and Finance,455,351 ,146,132,73,162,42 ,43 ,28 ,113 ,293,104,89,45,238,60
Mathematics,"2,971","1,829 ",598,623,608,"1,423",310,286,270,866 ,"1,548",288,337,338,963,252
,,,,,,,,,,,,,,,,
Biology,38,37 ,17,12,8,14,4 ,6 ,4 ,14 ,24,13,6,4,23,5
Chemistry,11,8 ,5,0,3,7,4 ,0 ,1 ,5 ,4,1,0,2,3,3
Geology,50,42 ,23,8,11,31,13,5,8,26 ,19,10,3,3,16,8
Managing Environmental Resources,10,10 ,6,2,2,10,6,2,2,10 ,-,-,-,-,-,1
Physics,74,53 ,11,22,20,59,9,20,13,42 ,15,2,2,7,11,23
,,,,,,,,,,,,,,,,
Classical Studies,4,4 ,3,1,0,3,2 ,1 ,0 ,3 ,1,1,0,0,1,1
Geography,182,123 ,28,47,48,119,21,35,31,87 ,63,7,12,17,36,63
History,174,108 ,49,32,27,68,15,16,9,40 ,106,34,16,18,68,60
Modern Studies,126,77 ,23,21,33,63,14,7,15,36 ,63,9,14,18,41,43
Psychology,14,6 ,2,4,0,3,0,1,0,1 ,11,2,3,0,5,3
"Religious, Moral and Philosophical Studies",26,24 ,17,6,1,11,6,4,0,10 ,15,11,2,1,14,4
Sociology,1,1 ,0,1,0,-,-,-,-,-,1,0,1,0,1,1
,,,,,,,,,,,,,,,,
Administration,492,423 ,358,49,16,173,111 ,16 ,9 ,136 ,319,247,33,7,287,66
Business Management,104,90 ,76,9,5,42,31 ,4 ,1 ,36 ,62,45,5,4,54,16
Computing Studies,297,221 ,93,97,31,201,58 ,65 ,21 ,144 ,96,35,32,10,77,37
Engineering Craft Skills,38,34 ,7,12,15,34,6 ,11 ,15 ,32 ,4,1,1,0,2,11
Health and Food Technology,912,810 ,288,422,100,270,58 ,131 ,37 ,226 ,642,230,291,63,584,111
Home Economics - Fashion and Textile Technology,68,57 ,25,23,9,5,0,2,1,3 ,63,25,21,8,54,8
Home Economics - Lifestyle and Consumer Technology,172,152 ,49,72,31,7,2,3,1,6 ,165,47,69,30,146,21
Travel and Tourism,208,158 ,122,27,9,74,36,10,2,48 ,134,86,17,7,110,27
Woodworking Skills,242,206 ,63,78,65,195,52,64,56,172 ,47,11,14,9,34,70
,,,,,,,,,,,,,,,,
Art and Design,82,56 ,23,17,16,38,11 ,10 ,8 ,29 ,44,12,7,8,27,19
Drama,31,27 ,12,10,5,11,3 ,4 ,4 ,11 ,20,9,6,1,16,5
Media Studies,20,6 ,2,2,2,9,0 ,1 ,2 ,3 ,11,2,1,0,3,3
Music,59,32 ,8,16,8,34,5,8,3,16 ,25,3,8,5,16,26
,,,,,,,,,,,,,,,,
Physical Education,113,92 ,84,5,3,88,65,4,1,70 ,25,19,1,2,22,19
