Subject,all-Entries,all-Pass,male-percentage,male-percentagePass,female-percentage,female-percentagePass,NumberOfCentres
Administration and IT,487,435,51,88,49,91,
Art and Design,710,644,61,90,39,92,
Biology,"1,132","1,033",45,91,55,91,
Business,180,155,56,89,44,83,
Chemistry,"1,077",994,63,92,37,93,
Chinese Languages,23,12,39,67,61,43,
Computing Science,439,402,74,91,26,94,
Design and Technology,173,164,86,95,14,96,
Drama,252,206,53,85,47,78,
English,"1,771","1,653",68,93,32,93,
English for Speakers of Other Languages,58,54,50,90,50,97,
Environmental Science,106,92,66,89,34,83,
Fashion and Textile Technology,33,32,3,***,97,100,
French,446,416,58,96,42,90,
Gaelic (Learners),18,17,61,91,39,100,
Gàidhlig,3,***,67,***,33,***,
Geography,610,518,60,87,40,82,
German,101,94,60,95,40,90,
Health and Food Technology,137,113,49,82,51,83,
History,521,453,64,86,36,88,
Hospitality: Practical Cookery,402,359,60,88,40,91,
Italian,1,***,100,***,0,-,
Latin,1,***,100,***,0,-,
Lifeskills Mathematics,"4,989","4,674",57,93,43,94,
Media,65,52,65,88,35,65,
Modern Studies,444,371,63,84,37,83,
Music,434,356,64,82,36,83,
Music Technology,33,19,76,52,24,75,
People and Society,69,62,70,92,30,86,
Physical Education,345,309,75,90,25,90,
Physics,460,422,83,92,17,91,
Practical Craft Skills,412,354,82,86,18,86,
"Religious, Moral and Philosophical Studies",229,169,56,75,44,72,
Science,169,148,59,85,41,91,
Spanish,309,298,58,96,42,97,
Urdu,11,10,91,90,9,***,
