Subject,all-Entries,all-Pass,all-A,all-B,all-C,male-Entries,male-A,male-B,male-C,male-Pass,female-Entries,female-A,female-B,female-C,female-Pass,NumberOfCentres
Classical Greek,,,,,,,,,,,,,,,,
English,"4,514","2,669",478,945,"1,246","2,690",286,542,743,"1,571","1,824",192,403,503,"1,098",347
French,574,317,85,106,126,315,34,61,58,153,259,51,45,68,164,38
Gaelic (Learners),25,24,20,4,0,10,8,1,0,9,15,12,3,0,15,5
Gàidhlig,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
German,149,92,37,21,34,75,12,9,21,42,74,25,12,13,50,24
Italian,195,158,124,18,16,73,38,6,9,53,122,86,12,7,105,28
Latin,4,4,3,1,0,1,0,1,0,1,3,3,0,0,3,1
Russian,1,1,1,0,0,-,-,-,-,-,1,1,0,0,1,1
Spanish,598,508,383,72,53,172,86,23,22,131,426,297,49,31,377,81
,,,,,,,,,,,,,,,,
Accounting and Finance,313,211,149,22,40,109,40,9,18,67,204,109,13,22,144,39
Mathematics,"5,314","2,843",828,936,"1,079","2,706",424,446,557,"1,427","2,608",404,490,522,"1,416",370
,,,,,,,,,,,,,,,,
Biology,"1,370",743,156,251,336,522,53,96,137,286,848,103,155,199,457,106
Chemistry,723,387,85,136,166,415,27,82,94,203,308,58,54,72,184,81
Geology,54,51,31,12,8,28,16,5,5,26,26,15,7,3,25,8
Managing Environmental Resources,10,10,10,0,0,7,7,0,0,7,3,3,0,0,3,1
Physics,769,359,72,110,177,611,57,88,143,288,158,15,22,34,71,79
,,,,,,,,,,,,,,,,
Classical Studies,10,6,3,2,1,4,2,1,1,4,6,1,1,0,2,3
Economics,2,2,0,1,1,2,0,1,1,2,-,-,-,-,-,1
Geography,315,197,45,66,86,174,27,41,44,112,141,18,25,42,85,111
History,504,356,167,106,83,278,91,63,42,196,226,76,43,41,160,135
Modern Studies,220,148,42,55,51,109,19,22,32,73,111,23,33,19,75,84
Psychology,40,24,22,0,2,4,1,0,1,2,36,21,0,1,22,9
"Religious, Moral and Philosophical Studies",573,363,141,102,120,241,51,36,60,147,332,90,66,60,216,22
Sociology,13,9,6,1,2,2,1,0,0,1,11,5,1,2,8,2
,,,,,,,,,,,,,,,,
Administration,"1,048",898,468,320,110,373,164,104,39,307,675,304,216,71,591,178
Business Management,163,129,90,20,19,80,46,9,9,64,83,44,11,10,65,31
Care,167,138,76,47,15,12,6,2,2,10,155,70,45,13,128,17
Computing Studies,"1,023",808,404,269,135,651,245,170,85,500,372,159,99,50,308,120
Engineering Craft Skills,81,63,9,32,22,77,9,31,21,61,4,0,1,1,2,19
Health and Food Technology,"2,225","1,900",785,765,350,765,166,275,164,605,"1,460",619,490,186,"1,295",182
Home Economics - Fashion and Textile Technology,275,256,114,104,38,5,0,4,1,5,270,114,100,37,251,32
Home Economics - Lifestyle and Consumer Technology,582,508,242,191,75,21,7,6,4,17,561,235,185,71,491,53
Personal and Social Education,21,19,16,3,0,-,-,-,-,-,21,16,3,0,19,3
Travel and Tourism,603,436,211,107,118,228,62,41,51,154,375,149,66,67,282,70
Woodworking Skills,597,511,133,196,182,523,116,174,164,454,74,17,22,18,57,113
,,,,,,,,,,,,,,,,
Art and Design,518,428,184,126,118,260,93,69,52,214,258,91,57,66,214,106
Drama,46,41,31,9,1,19,12,5,0,17,27,19,4,1,24,12
Media Studies,193,111,41,41,29,88,14,17,14,45,105,27,24,15,66,19
Music,341,231,58,82,91,162,29,33,42,104,179,29,49,49,127,82
,,,,,,,,,,,,,,,,
Physical Education,440,377,348,25,4,345,282,14,1,297,95,66,11,3,80,80
