Subject,all-Entries,all-percentageA,all-percentageB,all-percentageC,all-percentageD,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentagePass,female-percentagePass
Accounting,846,49,22,15,4,53,47,47,51,84,86
Administration and IT,"5,474",29,30,20,8,33,67,22,33,75,81
Art and Design,"9,369",49,26,17,4,22,78,37,52,86,93
Biology,"21,412",27,23,21,10,33,67,26,28,70,72
Business Management,"8,013",33,23,21,8,48,52,27,39,74,82
Care,829,35,25,21,5,9,91,32,36,75,83
Chemistry,"16,398",35,22,19,9,48,52,34,36,76,77
Chinese Languages,144,69,18,5,5,45,55,63,73,91,92
Classical Studies,73,52,15,14,3,56,44,41,66,68,97
Computing Science,"7,441",29,28,25,8,81,19,28,35,81,86
Dance,499,53,24,16,3,2,98,60,53,100,93
Design and Manufacture,"4,980",35,27,21,7,75,25,31,47,82,88
Drama,"4,474",53,25,14,4,32,68,44,58,90,94
Economics,292,58,21,11,2,74,26,53,71,89,92
Engineering Science,"1,744",46,18,15,6,91,9,44,62,79,85
English,"46,241",37,31,20,5,49,51,29,44,84,91
English for Speakers of Other Languages,867,40,25,20,5,40,60,34,44,83,88
Environmental Science,290,17,19,22,12,52,48,14,19,54,61
Fashion and Textile Technology,549,65,19,8,2,3,97,50,65,93,93
French,"9,078",60,17,12,4,34,66,53,63,86,91
Gaelic (Learners),115,52,17,14,9,20,80,48,53,78,84
Gàidhlig,151,60,21,17,1,38,62,53,64,96,97
Geography,"10,756",35,20,20,8,53,47,30,41,71,79
German,"1,899",57,18,14,4,42,58,49,62,86,92
Graphic Communication,"6,302",36,28,21,6,70,30,30,50,82,92
Health and Food Technology,"1,786",13,28,31,11,23,77,5,16,60,77
History,"15,073",32,25,20,7,45,55,28,36,73,79
Hospitality: Practical Cake Craft,"1,731",35,33,23,4,21,79,16,39,82,93
Hospitality: Practical Cookery,"5,649",36,32,21,5,30,70,25,41,84,91
Italian,241,71,14,10,2,26,74,76,69,97,93
Latin,363,96,3,1,0,41,59,95,97,100,100
Lifeskills Mathematics,"2,604",13,15,19,11,47,53,10,15,44,49
Mathematics,"42,188",31,17,16,7,48,52,31,32,64,64
Media,"1,002",23,22,22,8,51,49,17,30,61,74
Modern Studies,"12,383",32,23,21,7,42,58,27,36,71,80
Music,"7,343",62,21,11,2,42,58,60,64,93,95
Music Technology,852,50,22,16,5,70,30,50,49,87,91
Philosophy,276,32,18,21,4,38,62,23,37,71,71
Physical Education,"15,211",49,30,16,3,67,33,45,57,94,96
Physics,"14,164",32,21,20,9,72,28,29,40,70,81
Practical Electronics,210,37,23,17,7,95,5,37,40,78,80
Practical Metalworking,"1,244",47,25,20,3,92,8,46,61,93,90
Practical Woodworking,"4,563",49,25,19,3,86,14,49,49,93,92
Psychology,622,36,19,15,6,27,73,34,37,64,73
"Religious, Moral and Philosophical Studies","2,623",31,18,19,8,32,68,28,33,62,71
Sociology,241,40,21,16,6,29,71,44,39,79,77
Spanish,"4,488",59,18,12,4,34,66,51,63,86,92
Urdu,74,68,15,9,4,45,55,64,71,88,95
