Subject,all-Entries,all-percentageA,all-percentageB,all-percentageC,all-percentageD,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentagePass,female-percentagePass
Accounting,895,48,20,15,5,49,51,48,49,84,82
Administration and IT,"5,443",31,28,20,7,31,69,25,33,75,81
Art and Design,"9,650",42,28,19,5,23,77,29,46,83,92
Biology,"21,208",29,21,23,9,34,66,29,30,74,73
Business Management,"7,988",38,27,19,7,46,54,34,42,82,85
Care,809,35,24,22,6,8,92,29,35,82,81
Chemistry,"17,043",34,23,19,7,49,51,34,35,75,77
Chinese Languages,98,74,11,4,1,40,60,69,78,85,93
Classical Studies,109,50,21,16,6,38,62,39,56,76,93
Computing Science,"7,926",33,27,23,8,82,18,31,39,82,86
Dance,521,50,23,17,3,2,98,54,49,85,89
Design and Manufacture,"4,901",35,28,21,7,73,27,31,47,82,89
Drama,"4,589",53,24,15,4,32,68,43,57,90,93
Economics,289,65,23,8,2,71,29,60,79,96,100
Engineering Science,"1,831",45,20,16,6,92,8,44,47,81,81
English,"45,813",36,28,22,5,49,51,29,44,83,90
English for Speakers of Other Languages,868,36,31,20,5,36,64,36,36,88,87
Environmental Science,194,9,13,23,16,49,51,6,12,46,45
Fashion and Textile Technology,572,61,21,11,4,2,98,9,62,91,93
French,"9,292",54,18,14,5,35,65,48,57,82,88
Gaelic (Learners),145,42,20,17,12,35,65,33,47,73,82
Gàidhlig,158,68,22,7,2,40,60,62,72,95,97
Geography,"11,017",36,24,20,8,54,46,32,42,79,83
German,"2,025",53,19,14,5,42,58,46,58,83,88
Graphic Communication,"6,505",21,28,27,9,71,29,18,29,72,86
Health and Food Technology,"1,904",31,31,21,7,22,78,17,34,72,86
History,"15,942",36,23,18,7,45,55,30,41,74,81
Hospitality: Practical Cake Craft,"1,785",31,32,25,7,21,79,14,35,73,91
Hospitality: Practical Cookery,"6,257",24,35,27,7,31,69,14,28,78,88
Italian,332,64,17,14,2,25,75,53,67,90,96
Latin,445,94,4,1,1,44,56,95,93,100,98
Lifeskills Mathematics,"2,796",7,12,17,11,50,50,6,8,35,38
Mathematics,"41,778",29,17,17,8,48,52,29,30,62,64
Media,889,28,20,20,9,50,50,20,35,60,75
Modern Studies,"11,595",34,22,19,8,43,57,30,36,72,76
Music,"7,542",62,22,11,2,40,60,59,63,93,95
Music Technology,745,50,24,14,4,66,34,49,52,88,92
Philosophy,299,29,18,20,7,33,67,32,28,63,69
Physical Education,"14,405",52,29,15,3,68,32,48,60,94,97
Physics,"14,886",31,23,19,8,73,27,28,42,71,83
Practical Electronics,119,24,23,29,4,94,6,23,43,75,100
Practical Metalworking,"1,149",53,25,17,1,92,8,53,53,95,95
Practical Woodworking,"4,366",53,24,17,2,87,13,52,56,94,96
Psychology,631,33,19,17,8,25,75,23,36,62,71
"Religious, Moral and Philosophical Studies","2,521",33,18,19,9,30,70,27,36,64,72
Sociology,259,12,17,26,10,29,71,13,11,55,54
Spanish,"4,417",59,19,12,4,34,66,52,63,87,92
Urdu,62,73,10,10,5,42,58,77,69,92,92
