Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
Psychology (New),197,89,12,39,38,14,-,37,1,7,12,20,0 ,-,160,11,32,26,69,14,-,23
"Religious, Moral and Philosophical Studies",73,39,10,17,12,7,-,33,2,8,5,15,6 ,-,40,8,9,7,24,1,-,3
"Religious, Moral and Philosophical Studies (New)",537,279,106,89,84,43,-,258,42,39,39,120,24 ,-,279,64,50,45,159,19,-,26
Sociology,23,14,7,6,1,2,-,6,0,2,1,3,0 ,-,17,7,4,0,11,2,-,4
,,,,,,,,,,,,,,,,,,,,,,
Administration,"1,371","1,188",585,430,173,52,-,434,155,153,53,361,23 ,-,937,430,277,120,827,29,-,186
Applied Practical Electronics,55,47,25,16,6,0,-,52,24,15,5,44,0 ,-,3,1,1,1,3,0,-,6
Business Management,338,268,154,70,44,19,-,169,74,33,20,127,8 ,-,169,80,37,24,141,11,-,48
Care,351,288,180,69,39,10,-,29,16,6,5,27,0 ,-,322,164,63,34,261,10,-,25
Computing Studies (New),"1,552","1,323",634,429,260,54,-,"1,006",409,281,180,870,35 ,-,546,225,148,80,453,19,-,114
Construction Crafts,97,59,-,-,-,-,59,96,-,-,-,59,-,59,1,-,-,-,0,-,0,8
Early Education and Childcare,111,62,-,-,-,-,62,3,-,-,-,1,-,1,108,-,-,-,61,-,61,4
Engineering Craft Skills,63,50,13,12,25,1,-,56,13,10,20,43,1 ,-,7,0,2,5,7,0,-,17
Home Economics: Fashion and Textile Technology,405,354,122,162,70,16,-,6,0,4,2,6,0 ,-,399,122,158,68,348,16,-,38
Home Economics: Health and Food Technology,489,455,216,199,40,5,-,149,56,61,14,131,3 ,-,340,160,138,26,324,2,-,37
Home Economics: Lifestyle and Consumer Technology,795,735,298,313,124,20,-,30,9,12,4,25,1 ,-,765,289,301,120,710,19,-,62
Hospitality: Practical Cookery,"3,839","3,408","1,154","1,485",769,188,-,"1,407",318,506,359,"1,183",107 ,-,"2,432",836,979,410,"2,225",81,-,211
Personal and Social Education,70,56,31,15,10,4,-,19,4,5,2,11,3 ,-,51,27,10,8,45,1,-,7
Travel and Tourism,655,577,364,109,104,8,-,230,124,40,38,202,0 ,-,425,240,69,66,375,8,-,80
Woodworking Skills,"1,279","1,116",302,378,436,7,-,"1,126",268,342,370,980,6 ,-,153,34,36,66,136,1,-,156
,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"1,606","1,412",689,448,275,59,-,715,253,215,140,608,38 ,-,891,436,233,135,804,21,-,159
Drama,77,71,53,9,9,2,-,26,18,1,5,24,0 ,-,51,35,8,4,47,2,-,19
Media Studies,425,226,60,69,97,44,-,192,15,33,41,89,24 ,-,233,45,36,56,137,20,-,38
Music,752,598,131,270,197,37,-,339,71,119,87,277,14 ,-,413,60,151,110,321,23,-,109
,,,,,,,,,,,,,,,,,,,,,,
Physical Education,968,814,433,224,157,29,-,717,334,166,109,609,18 ,-,251,99,58,48,205,11,-,92
Sport and Recreation,18,17,-,-,-,-,17,18,-,-,-,17,-,17,-,-,-,-,-,-,-,2
