Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
English,"5,828","3,674",603,"1,286","1,785",625,-,"3,312",308,707,"1,027","2,042",352,-,"2,516",295,579,758,"1,632",273,-,369
French,"1,470","1,211",701,297,213,63,-,747,317,158,118,593,40,-,723,384,139,95,618,23,-,52
Gaelic (Learners),13,12,11,0,1,0,-,5,5,0,0,5,0,-,8,6,0,1,7,0,-,6
German,246,172,57,70,45,17,-,128,22,33,25,80,10,-,118,35,37,20,92,7,-,26
Italian,188,135,86,27,22,13,-,76,29,8,8,45,7,-,112,57,19,14,90,6,-,26
Latin,1,1,1,0,0,0,-,1,1,0,0,1,0 ,-,-,-,-,-,-,-,-,1
Russian,14,13,12,0,1,1,-,7,5,0,1,6,1,-,7,7,0,0,7,0,-,2
Spanish,851,691,439,119,133,39,-,320,139,43,65,247,20,-,531,300,76,68,444,19,-,95
,,,,,,,,,,,,,,,,,,,,,,
Accounting,119,82,45,25,12,3,-,52,20,12,3,35,0,-,67,25,13,9,47,3,-,23
Mathematics,"10,317","6,408","3,201","1,460","1,747",758,-,"5,180","1,651",744,883,"3,278",348,-,"5,137","1,550",716,864,"3,130",410,-,387
,,,,,,,,,,,,,,,,,,,,,,
Biology,"3,975","2,875",807,"1,105",963,376,-,"1,519",325,427,366,"1,118",127 ,-,"2,456",482,678,597,"1,757",249,-,229
Chemistry,"1,929","1,140",357,343,440,200,-,"1,100",191,188,275,654,109 ,-,829,166,155,165,486,91,-,181
Geology,44,43,36,6,1,0,-,32,25,5,1,31,0 ,-,12,11,1,0,12,0,-,9
Managing Environmental Resources,36,32,9,11,12,2,-,13,1,3,6,10,1 ,-,23,8,8,6,22,1,-,5
Physics,"1,845","1,140",381,367,392,135,-,"1,558",323,318,340,981,109 ,-,287,58,49,52,159,26,-,182
,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,8,8,6,1,1,0,-,4,3,0,1,4,0 ,-,4,3,1,0,4,0,-,3
Economics,10,9,3,5,1,1,-,8,3,4,0,7,1 ,-,2,0,1,1,2,0,-,4
Geography (New),514,262,36,82,144,95,-,295,23,55,84,162,54 ,-,219,13,27,60,100,41,-,121
History,"1,105",807,211,342,254,121,-,588,100,178,140,418,62 ,-,517,111,164,114,389,59,-,160
Modern Studies,515,322,76,130,116,60,-,225,32,53,57,142,27 ,-,290,44,77,59,180,33,-,99
