Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
English,"6,960","4,946",919,"1,803","2,224",729,-,"3,900",476,"1,007","1,246","2,729",415,-,"3,060",443,796,978,"2,217",314,-,363
French,"1,966","1,514",677,482,355,126,-,"1,041",299,273,183,755,88,-,925,378,209,172,759,38,-,68
Gaelic (Learners),24,22,13,7,2,1,-,11,5,2,2,9,1,-,13,8,5,0,13,0,-,6
Gaidhlig,14,12,7,4,1,0,-,9,4,2,1,7,0,-,5,3,2,0,5,0,-,3
German,214,177,76,58,43,9,-,115,35,33,27,95,7,-,99,41,25,16,82,2,-,26
Italian,86,70,38,15,17,5,-,16,4,6,3,13,0,-,70,34,9,14,57,5,-,20
Latin,1,1,1,0,0,0,-,0,-,-,-,-,-,-,1,1,0,0,1,0,-,1
Mandarin (Simplified),6,6,5,1,0,0,-,1,1,0,0,1,0,-,5,4,1,0,5,0,-,2
Mandarin (Traditional),3,3,2,0,1,0,-,3,2,0,1,3,0,-,0,-,-,-,-,-,-,1
Spanish,805,653,386,164,103,44,-,335,119,76,46,241,29,-,470,267,88,57,412,15,-,93
,,,,,,,,,,,,,,,,,,,,,,
Accounting,76,46,22,14,10,1,-,31,9,7,3,19,1,-,45,13,7,7,27,0,-,15
Mathematics,"12,082","7,260","2,981","2,049","2,230",884,-,"5,953","1,506","1,053","1,079","3,638",402,-,"6,129","1,475",996,"1,151","3,622",482,-,402
,,,,,,,,,,,,,,,,,,,,,,
Biology,"5,750","4,122","1,225","1,442","1,455",615,-,"2,185",434,587,535,"1,556",216,-,"3,565",791,855,920,"2,566",399,-,283
Chemistry,"3,058","2,368",874,800,694,233,-,"1,687",467,460,384,"1,311",129,-,"1,371",407,340,310,"1,057",104,-,235
Geology,71,66,40,14,12,2,-,36,19,6,9,34,1,-,35,21,8,3,32,1,-,10
Managing Environmental Resources,71,59,31,13,15,4,-,37,17,8,5,30,3,-,34,14,5,10,29,1,-,8
Physics,"2,558","1,955",873,634,448,135,-,"2,126",708,538,371,"1,617",118,-,432,165,96,77,338,17,-,216
,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,24,13,4,5,4,2,-,12,4,3,2,9,1,-,12,0,2,2,4,1,-,7
Economics,7,6,1,1,4,1,-,6,1,1,3,5,1,-,1,0,0,1,1,0,-,5
Geography (New),782,560,178,196,186,60,-,456,102,119,108,329,31,-,326,76,77,78,231,29,-,146
History,"1,606","1,249",363,510,376,126,-,906,209,285,201,695,77,-,700,154,225,175,554,49,-,186
