Subject,all-Entries,all-Pass,all-A,all-B,all-C,all-D,all-PassesInUngradedCourses,male-Entries,male-A,male-B,male-C,male-Pass,male-D,male-PassesInUngradedCourses,female-Entries,female-A,female-B,female-C,female-Pass,female-D,female-PassesInUngradedCourses,NumberOfCentres
English,"6,811","4,463",713,"1,596","2,154",709,-,"3,732",334,871,"1,174","2,379",408,-,"3,079",379,725,980,"2,084",301,-,370
French,"1,578","1,210",607,319,284,88,-,773,257,158,157,572,53,-,805,350,161,127,638,35,-,71
Gaelic (Learners),24,18,7,6,5,1,-,8,1,3,1,5,0,-,16,6,3,4,13,1,-,8
Gàidhlig,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
German,271,230,98,84,48,11,-,141,46,40,29,115,8,-,130,52,44,19,115,3,-,28
Italian,111,91,53,16,22,3,-,40,14,5,12,31,0,-,71,39,11,10,60,3,-,17
Latin,6,6,5,1,0,0,-,1,1,0,0,1,0,-,5,4,1,0,5,0,-,2
Russian,3,2,1,1,0,0,-,2,0,1,0,1,0,-,1,1,0,0,1,0,-,3
Spanish,708,561,356,124,81,28,-,270,98,53,37,188,10,-,438,258,71,44,373,18,-,79
,,,,,,,,,,,,,,,,,,,,,,
Accounting,84,62,31,16,15,4,-,38,16,8,4,28,2,-,46,15,8,11,34,2,-,18
Mathematics,"11,446","6,935","2,873","1,992","2,070",788,-,"5,644","1,458",973,"1,030","3,461",375,-,"5,802","1,415","1,019","1,040","3,474",413,-,390
,,,,,,,,,,,,,,,,,,,,,,
Biology,"5,146","3,533","1,130","1,277","1,126",548,-,"1,954",415,488,430,"1,333",190,-,"3,192",715,789,696,"2,200",358,-,255
Chemistry,"2,479","1,683",699,538,446,159,-,"1,405",398,304,252,954,90,-,"1,074",301,234,194,729,69,-,213
Geology,35,32,23,5,4,1,-,23,18,3,1,22,0,-,12,5,2,3,10,1,-,6
Managing Environmental Resources,84,66,26,19,21,1,-,39,13,9,14,36,0,-,45,13,10,7,30,1,-,7
Physics,"2,092","1,219",399,357,463,236,-,"1,782",349,305,407,"1,061",191,-,310,50,52,56,158,45,-,202
,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,12,9,2,3,4,0,-,3,1,0,2,3,0,-,9,1,3,2,6,0,-,5
Economics,42,25,8,10,7,6,-,15,4,5,2,11,0,-,27,4,5,5,14,6,-,6
Geography,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Geography (New),659,379,54,131,194,97,-,391,36,79,118,233,58,-,268,18,52,76,146,39,-,121
History,"1,295",999,286,425,288,98,-,674,149,219,163,531,51,-,621,137,206,125,468,47,-,172
Modern Studies,688,471,199,146,126,34,-,314,86,67,58,211,17,-,374,113,79,68,260,17,-,116
Psychology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Psychology (New),109,70,25,19,26,4,-,23,6,3,5,14,0,-,86,19,16,21,56,4,-,19
"Religious, Moral and Philosophical Studies",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Religious, Moral and Philosophical Studies (New)",711,389,125,126,138,63,-,309,41,52,60,153,29,-,402,84,74,78,236,34,-,32
Sociology,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Administration,"1,883","1,464",654,491,319,116,-,545,156,146,100,402,42,-,"1,338",498,345,219,"1,062",74,-,199
Applied Practical Electronics,59,35,22,6,7,0,-,55,20,6,5,31,0,-,4,2,0,2,4,0,-,6
Business Management,364,314,188,70,56,15,-,165,82,33,25,140,6,-,199,106,37,31,174,9,-,68
Care,326,299,217,58,24,8,-,27,18,3,5,26,0,-,299,199,55,19,273,8,-,23
Computing Studies,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Computing Studies (New),"2,024","1,763",954,550,259,63,-,"1,335",644,346,166,"1,156",44,-,689,310,204,93,607,19,-,134
Construction Crafts,517,418,-,-,-,-,418,501,-,-,-,404,-,404,16,-,-,-,14,-,14,27
Early Education and Childcare,391,326,-,-,-,-,326,9,-,-,-,8,-,8,382,-,-,-,318,-,318,30
Engineering Craft Skills,73,62,14,26,22,5,-,68,13,25,19,57,5,-,5,1,1,3,5,0,-,16
Hairdressing,139,135,-,-,-,-,135,7,-,-,-,7,-,7,132,-,-,-,128,-,128,6
Home Economics: Fashion and Textile Technology,415,380,142,180,58,17,-,10,3,2,4,9,0,-,405,139,178,54,371,17,-,40
Home Economics: Health and Food Technology,591,566,257,247,62,9,-,173,54,85,23,162,4,-,418,203,162,39,404,5,-,39
Home Economics: Lifestyle and Consumer Technology,829,782,274,367,141,17,-,19,7,8,4,19,0,-,810,267,359,137,763,17,-,58
Hospitality: Practical Cookery,"4,297","3,853","1,447","1,687",719,158,-,"1,551",400,622,317,"1,339",76,-,"2,746","1,047","1,065",402,"2,514",82,-,229
Personal and Social Education,75,71,55,13,3,1,-,16,12,2,2,16,0,-,59,43,11,1,55,1,-,11
Rural Skills,19,18,-,-,-,-,18,16,-,-,-,16,-,16,3,-,-,-,2,-,2,2
Travel and Tourism,703,643,470,108,65,4,-,232,147,45,21,213,0,-,471,323,63,44,430,4,-,79
Woodworking Skills,"1,706","1,438",404,499,535,21,-,"1,456",354,418,467,"1,239",16,-,250,50,81,68,199,5,-,175
,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"2,127","1,970","1,128",493,349,61,-,962,466,230,179,875,32,-,"1,165",662,263,170,"1,095",29,-,181
Drama,235,182,85,51,46,12,-,104,29,22,22,73,7,-,131,56,29,24,109,5,-,24
Media Studies,509,279,83,99,97,39,-,286,27,56,60,143,24,-,223,56,43,37,136,15,-,53
Music,798,514,102,191,221,84,-,355,53,80,88,221,34,-,443,49,111,133,293,50,-,113
