Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,53,57,43,37,17,83,65,28,21,26,8,
Art and Design (Design),487,21,79,38,41,95,95,40,30,25,3,
Art and Design (Expressive),821,15,85,35,38,94,96,37,33,25,3,
Biology,"2,252",30,70,17,19,70,76,19,28,28,13,
Business Management,450,42,58,24,34,79,81,30,27,23,8,
Chemistry,"2,523",46,54,30,32,82,85,31,29,24,7,
Chinese Languages,31,39,61,100,74,100,100,84,6,10,0,
Classical Studies,32,38,63,25,55,100,95,44,38,16,0,
Computing Science,641,88,12,20,28,70,78,21,24,26,11,
Design and Manufacture,82,49,51,10,10,53,57,10,21,24,15,
Drama,592,30,70,35,31,84,82,32,29,21,9,
Economics,82,68,32,45,62,98,96,50,34,13,1,
Engineering Science,79,95,5,9,***,52,***,10,15,28,6,
English,"2,626",28,72,22,21,75,77,22,25,30,11,
French,774,24,76,33,33,78,79,33,26,21,7,
Gaelic (Learners),9,44,56,***,40,***,100,33,44,11,11,
Gaidhlig,28,21,79,33,55,83,100,50,11,36,4,
Geography,779,40,60,19,26,85,93,23,38,28,5,
German,172,33,67,58,46,89,83,50,22,13,6,
Graphic Communication,543,66,34,7,11,57,76,8,25,30,13,
Health and Food Technology,38,13,87,60,21,80,73,26,13,34,8,
History,"1,541",40,60,29,30,83,85,30,30,25,7,
Italian,28,36,64,50,56,90,89,54,18,18,11,
Latin,54,35,65,53,51,84,94,52,28,11,4,
Mathematics,"3,586",63,37,36,40,72,78,37,20,17,8,
Mathematics of Mechanics,272,81,19,53,58,79,79,54,13,12,3,
Modern Studies,859,29,71,23,30,77,83,28,27,26,8,
Music,"1,662",41,59,68,67,97,95,67,19,9,2,
Music: Portfolio,7,43,57,***,***,***,***,57,14,0,0,
Physical Education,350,54,46,22,37,76,84,29,25,27,7,
Physics,"1,860",79,21,29,36,77,84,30,26,22,8,
"Religious, Moral and Philosophical Studies",172,33,67,46,30,74,73,35,17,20,9,
Spanish,433,28,72,32,35,78,75,34,25,16,9,
Statistics,189,57,43,37,38,78,77,38,22,17,6,
