Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-D,male-E,female-Entries,female-percentage,female-A,female-B,female-C,female-D,female-E,all-Entries,all-A,all-B,all-C,all-D,all-E,Number of centres
Art and Design (Enquiry),261,0.354138399,21,40,75,98,27,476,0.645861601,20,64,142,208,41,737,41,104,217,306,68,188
Art and Design (Research and Appreciation),9,0.257142857,2,4,3,-,-,26,0.742857143,4,12,9,1,-,35,6,16,12,1,-,26
Biology (Revised),85,0.344129555,5,26,26,14,14,162,0.655870445,33,37,55,20,17,247,38,63,81,34,31,71
Biology,155,0.291353383,18,35,58,25,19,377,0.708646617,41,115,140,47,34,532,59,150,198,72,53,128
Chemistry (Revised),144,0.585365854,24,38,51,20,11,102,0.414634146,16,33,44,9,-,246,40,71,95,29,11,55
Chemistry,698,0.535276074,132,197,231,79,59,606,0.464723926,109,180,223,72,22,1304,241,377,454,151,81,241
Economics,53,0.736111111,11,15,20,7,-,19,0.263888889,3,8,7,1,-,72,14,23,27,8,-,26
Engineering,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
English,527,0.326517968,32,117,205,117,51,1087,0.673482032,79,241,447,248,66,1614,111,358,652,365,117,312
French,91,0.171374765,7,21,50,9,4,440,0.828625235,49,150,174,54,13,531,56,171,224,63,17,174
Gaidhlig,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1
Gaelic,2,0.166666667,-,1,-,1,-,10,0.833333333,3,4,3,-,-,12,3,5,3,1,-,4
Geography (Revised),79,0.454022989,7,30,31,11,-,95,0.545977011,8,47,32,8,-,174,15,77,63,19,-,47
Geography,154,0.553956835,9,49,67,26,3,124,0.446043165,9,54,45,15,-,278,18,103,112,41,3,118
German (Revised),29,0.210144928,7,6,12,2,2,109,0.789855072,19,36,47,4,3,138,26,42,59,6,5,64
German,11,0.174603175,3,1,7,-,-,52,0.825396825,14,20,18,-,-,63,17,21,25,-,-,28
Greek,-,0,-,-,-,-,-,1,1,1,-,-,-,-,1,1,-,-,-,-,1
History (Revised),51,0.421487603,4,22,22,3,-,70,0.578512397,4,24,33,7,2,121,8,46,55,10,2,24
History,289,0.439878234,24,115,120,30,-,368,0.560121766,30,138,167,33,-,657,54,253,287,63,-,192
Italian (Revised),2,0.5,-,1,1,-,-,2,0.5,2,-,-,-,-,4,2,1,1,-,-,4
Italian,-,0,-,-,-,-,-,1,1,-,-,1,-,-,1,-,-,1,-,-,1
Latin,12,0.235294118,3,2,3,1,3,39,0.764705882,4,8,18,4,5,51,7,10,21,5,8,34
Mathematics I (Revised),585,0.669336384,73,98,141,158,94,289,0.330663616,44,68,76,52,40,874,117,166,217,210,134,131
Mathematics I,254,0.639798489,35,43,55,50,55,143,0.360201511,19,32,35,31,22,397,54,75,90,81,77,93
Mathematics II (Revised),118,0.694117647,21,12,29,33,23,52,0.305882353,10,14,10,8,10,170,31,26,39,41,33,36
Mathematics II,876,0.655198205,115,153,190,212,164,461,0.344801795,78,100,122,100,52,1337,193,253,312,312,216,211
Mathematics III (Revised),104,0.641975309,13,21,37,23,9,58,0.358024691,12,17,18,9,2,162,25,38,55,32,11,33
Mathematics III,71,0.572580645,11,9,19,17,12,53,0.427419355,5,10,16,14,6,124,16,19,35,31,18,23
Mathematics IV,129,0.777108434,22,28,34,26,19,37,0.222891566,5,8,13,7,4,166,27,36,47,33,23,47
Mathematics V (Revised),65,0.82278481,15,8,16,13,12,14,0.17721519,4,1,5,2,2,79,19,9,21,15,14,19
Mathematics V,56,0.823529412,9,3,21,11,11,12,0.176470588,4,4,2,-,1,68,13,7,23,11,12,23
Modern Studies (Revised),67,0.452702703,4,24,25,11,3,81,0.547297297,10,28,36,7,-,148,14,52,61,18,3,60
Modern Studies ,59,0.453846154,6,22,26,4,1,71,0.546153846,3,21,36,10,1,130,9,43,62,14,2,42
Physics (Revised),178,0.859903382,22,22,59,49,24,29,0.140096618,3,2,12,8,4,207,25,24,71,57,28,54
Physics,622,0.80465718,70,80,182,167,119,151,0.19534282,27,25,51,31,17,773,97,105,233,198,136,196
Russian (Revised),-,0,-,-,-,-,-,4,1,1,2,1,-,-,4,1,2,1,-,-,2
Russian,-,0,-,-,-,-,-,3,1,1,2,-,-,-,3,1,2,-,-,-,2
Secretarial Studies (Audio-typewriting),-,0,-,-,-,-,-,10,1,-,2,7,1,-,10,-,2,7,1,-,5
Secretarial Studies (Word Processing),1,0.016393443,-,-,-,1,-,60,0.983606557,4,18,35,3,-,61,4,18,35,4,-,24
Spanish (Revised),7,0.291666667,-,4,3,-,-,17,0.708333333,4,8,5,-,-,24,4,12,8,-,-,11
Spanish,2,0.125,-,1,1,-,-,14,0.875,2,6,4,1,1,16,2,7,5,1,1,9
Technological Studies,14,1,4,7,2,1,-,-,0,-,-,-,-,-,14,4,7,2,1,-,8
