Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek,7,5,2,-,7,-,8,5,2,-,7,-,15,10,4,-,14,-,12
English,"14,418","1,811","2,938","4,578","9,327","3,279","19,742","3,109","4,426","6,048","13,583","4,043","34,160","4,920","7,364","10,626","22,910","7,322",477
French,"1,184",332,349,282,963,153,"3,435",944,966,953,"2,863",408,"4,619","1,276","1,315","1,235","3,826",561,411
Gáidhlig,11,6,5,-,11,-,43,24,15,4,43,-,54,30,20,4,54,-,7
Gaelic (Learners),49,22,11,9,42,7,99,47,32,15,94,1,148,69,43,24,136,8,24
German,483,119,129,131,379,63,"1,479",384,417,414,"1,215",208,"1,962",503,546,545,"1,594",271,298
Italian,45,16,11,8,35,6,156,58,35,32,125,23,201,74,46,40,160,29,51
Latin,147,47,42,34,123,13,208,83,33,41,157,26,355,130,75,75,280,39,68
Russian,13,12,1,-,13,-,6,4,-,2,6,-,19,16,1,2,19,-,12
Spanish,194,70,38,34,142,27,680,206,168,146,520,87,874,276,206,180,662,114,126
,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,271",175,321,387,883,228,"1,570",227,402,441,"1,070",299,"2,841",402,723,828,"1,953",527,323
Mathematics,"10,558","1,489","2,634","2,894","7,017","1,816","9,663","1,445","2,581","2,766","6,792","1,658","20,221","2,934","5,215","5,660","13,809","3,474",449
,,,,,,,,,,,,,,,,,,,
Biology,"3,483",473,758,"1,016","2,247",825,"7,864",937,"1,797","2,269","5,003","1,864","11,347","1,410","2,555","3,285","7,250","2,689",436
Chemistry,"5,525","1,039","1,372","1,585","3,996","1,111","5,547",925,"1,384","1,642","3,951","1,238","11,072","1,964","2,756","3,227","7,947","2,349",433
Geology,31,2,5,9,16,8,21,-,6,4,10,6,52,2,11,13,26,14,8
Human Biology,676,111,136,184,431,142,"2,098",258,460,611,"1,329",469,"2,774",369,596,795,"1,760",611,174
Physics,"7,893","1,593","2,016","1,769","5,378","1,333","3,556",912,"1,023",789,"2,724",499,"11,449","2,505","3,039","2,558","8,102","1,832",441
,,,,,,,,,,,,,,,,,,,
Classical Studies,140,31,28,41,100,18,259,68,84,60,212,25,399,99,112,101,312,43,43
Economics,933,176,263,263,702,138,767,144,192,227,563,118,"1,700",320,455,490,"1,265",256,165
Geography,"4,614",640,"1,161","1,446","3,247",931,"3,823",768,"1,095","1,110","2,973",599,"8,437","1,408","2,256","2,556","6,220","1,530",426
History,"2,957",360,863,878,"2,101",483,"4,420",656,"1,329","1,258","3,243",659,"7,377","1,016","2,192","2,136","5,344","1,142",430
Modern Studies,"2,888",402,711,879,"1,992",523,"4,923",847,"1,368","1,394","3,609",823,"7,811","1,249","2,079","2,273","5,601","1,346",386
,,,,,,,,,,,,,,,,,,,
Computing Studies,"3,352",548,722,904,"2,174",716,"1,224",150,313,374,837,251,"4,576",698,"1,035","1,278","3,011",967,379
Craft and Design,"2,180",213,481,708,"1,402",488,830,162,254,254,670,102,"3,010",375,735,962,"2,072",590,311
Graphic Communication,"1,843",261,414,555,"1,230",371,575,72,172,155,399,115,"2,418",333,586,710,"1,629",486,261
Home Economics,43,-,8,11,19,7,677,62,139,190,391,183,720,62,147,201,410,190,153
Management and Information Studies,"1,468",191,370,429,990,257,"2,821",533,807,828,"2,168",358,"4,289",724,"1,177","1,257","3,158",615,284
Secretarial Studies,260,20,61,91,172,45,"3,686",462,"1,127","1,130","2,719",507,"3,946",482,"1,188","1,221","2,891",552,326
Technological Studies,888,121,184,238,543,178,63,8,14,23,45,12,951,129,198,261,588,190,162
,,,,,,,,,,,,,,,,,,,
Art and Design ,"2,627",377,711,864,"1,952",505,"4,644","1,210","1,469","1,350","4,029",496,"7,271","1,587","2,180","2,214","5,981","1,001",430
Drama,256,33,66,82,181,38,852,162,253,254,669,127,"1,108",195,319,336,850,165,127
Music,958,340,375,181,896,46,"1,710",615,654,315,"1,584",108,"2,668",955,"1,029",496,"2,480",154,476
,,,,,,,,,,,,,,,,,,,
Physical Education,"2,627",135,419,816,"1,370",734,993,83,193,293,569,240,"3,620",218,612,"1,109","1,939",974,293
,,,,,,,,,,,,,,,,,,,
Religious Studies,268,28,54,79,161,59,"1,075",125,232,325,682,239,"1,343",153,286,404,843,298,147
