Subject,all-Entries,male-entries,female-entries,male-level2,female-level2,male-level3,female-level3,male-level4,female-level4,male-level5,female-level5,male-level6,female-level6
Acting and Performance,73,29,44,,,,,,,,,29,44
Administration: Information Technology and Audio,72,12,60,,,,,,,12,60,,
Angling and the Aquatic Environment,12,11,1,,,11,1,,,,,,
Art and Design: Digital Media,151,106,45,,,,,,,48,28,58,17
Bakery,134,35,99,,,,,35,99,,,,
Building Services Engineering,91,91,0,,,,,,,91,0,,
Business with Information Technology,58,29,29,,,,,,,,,29,29
Computer Games Development,1676,1506,170,,,,,401,49,860,104,245,17
Computer Networks and Systems,89,79,10,,,,,,,79,10,,
Computers and Digital Photography,63,36,27,,,,,,,36,27,,
Construction,"2,056",1943,113,,,,,,,1943,113,,
Cosmetology,402,9,393,,,,,9,393,,,,
Creative Facial Techniques and Digital Media,113,0,113,,,,,0,113,,,,
Dance,287,12,275,,,,,4,150,8,125,,
Digital Literacy,119,76,43,,,76,43,,,,,,
Digital Media Basics,108,74,34,,,,,74,34,,,,
Digital Media Editing,139,98,41,,,,,,,98,41,,
Digital Media Production,48,34,14,,,,,,,,,34,14
Enterprise and Employability,982,480,502,,,,,335,328,145,174,,
Exercise and Fitness Leadership,402,297,105,,,,,,,,,297,105
Health and Social Care: Promoting Reablement,98,12,86,,,,,,,,,12,86
Horse Care,137,11,126,,,,,8,93,,,3,33
Laboratory Science,63,26,37,,,,,,,,,26,37
Music Business,51,32,19,,,,,,,,,32,19
Music Performing,27,20,7,,,,,,,,,20,7
Musical Theatre,103,16,87,,,,,,,,,16,87
PC Passport: Beginner,236,120,116,,,,,120,116,,,,
PC Passport: Intermediate,200,127,73,,,,,,,127,73,,
Photography,328,88,240,,,,,44,88,44,152,,
Play in a Sports Environment,104,64,40,,,,,,,,,64,40
Playwork and Childcare,646,28,618,,,,,,,28,618,,
Professional Computer Fundamentals,44,39,5,,,,,,,,,39,5
Professional Cookery,20,18,2,,,18,2,,,,,,
Professional Theatre Preparation,41,16,25,,,,,,,,,16,25
Scottish Bagpipes,138,99,39,52,24,19,7,,,,,28,8
Scottish Pipe Band Drumming,31,25,6,,,25,6,,,,,,
Sound Production: Live,43,39,4,,,,,,,,,39,4
Sound Production: Recording,127,95,32,,,,,,,,,95,32
Sport and Fitness: Team Sports,104,74,30,,,,,,,74,30,,
Sporting Events: Personal Best,129,96,33,,,,,96,33,,,,
Sports Coaching: Badminton (UKCC Level 1),131,80,51,,,,,80,51,,,,
Sports Coaching: Basketball (UKCC Level 1),218,137,81,,,,,137,81,,,,
Sports Coaching: Canoeing (UKCC Level 1),203,149,54,,,,,149,54,,,,
Sports Coaching: Coaching Swimming (UKCC Level 1),142,53,89,,,,,53,89,,,,
Sports Coaching: Hockey (UKCC Level 1),129,54,75,,,,,54,75,,,,
Sports Coaching: Multi-skills,69,33,36,,,,,,,33,36,,
Sports Coaching: Netball (UKCC Level 1),111,1,110,,,,,1,110,,,,
Sports Coaching: Paddlesport Canoe and Kayak (UKCC Level 2),59,47,12,,,,,,,47,12,,
Sports Coaching: Rugby Union (UKCC Level 1),324,289,35,,,,,289,35,,,,
Sports Coaching: Rugby Union (UKCC Level 2),181,170,11,,,,,,,170,11,,
Sports Coaching: Rugby Union (UKCC Level 3),39,39,0,,,,,,,,,39,0
Sports Coaching: Teaching Aquatics (UKCC Level 1),645,253,392,,,,,253,392,,,,
Sports Coaching: Teaching Aquatics (UKCC Level 2),151,45,106,,,,,,,45,106,,
Sports Coaching: Tennis (UKCC Level 1),171,114,57,,,,,114,57,,,,
Sports Coaching: Tennis (UKCC Level 2),57,44,13,,,,,,,44,13,,
Sports Development,66,41,25,,,,,,,,,41,25
Web Design Fundamentals,237,206,31,,,,,,,206,31,,
