Subject,all-Entries,all-Pass,all-A,all-B,all-C,male-Entries,male-A,male-B,male-C,male-Pass,female-Entries,female-A,female-B,female-C,female-Pass,NumberOfCentres
Classical Greek,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
English and Communication,"3,578","2,085",213,684,"1,188","2,074",118,415,670,"1,203","1,504",95,269,518,882,298
French,61,42,21,11,10,25,4,5,6,15,36,17,6,4,27,20
Gaelic (Learners),13,5,5,0,0,5,1,0,0,1,8,4,0,0,4,5
German,47,41,28,11,2,12,6,3,1,10,35,22,8,1,31,13
Italian,178,133,76,30,27,49,16,8,11,35,129,60,22,16,98,27
Latin,4,4,2,1,1,1,0,0,1,1,3,2,1,0,3,2
Spanish,398,347,219,86,42,95,42,23,11,76,303,177,63,31,271,61
,,,,,,,,,,,,,,,,
Accounting and Finance,423,282,116,87,79,148,29,25,34,88,275,87,62,45,194,54
Mathematics,"3,933","1,684",303,586,795,"1,896",157,316,388,861,"2,037",146,270,407,823,352
,,,,,,,,,,,,,,,,
Biology,270,176,21,65,90,99,8,19,33,60,171,13,46,57,116,39
Chemistry,41,29,9,12,8,23,5,6,6,17,18,4,6,2,12,11
Geology,84,73,35,24,14,52,17,13,12,42,32,18,11,2,31,12
Managing Environmental Resources,14,13,5,6,2,14,5,6,2,13,-,-,-,-,-,2
Physics,147,100,51,29,20,125,46,22,16,84,22,5,7,4,16,30
,,,,,,,,,,,,,,,,
Classical Studies,9,7,5,1,1,3,2,1,0,3,6,3,0,1,4,2
Economics,3,3,1,0,2,3,1,0,2,3,-,-,-,-,-,2
Geography,329,242,43,92,107,197,26,54,63,143,132,17,38,44,99,103
History,320,219,87,66,66,164,43,33,31,107,156,44,33,35,112,105
Modern Studies,192,139,42,48,49,83,16,18,22,56,109,26,30,27,83,62
Psychology,6,4,0,2,2,2,0,0,1,1,4,0,2,1,3,3
"Religious, Moral and Philosophical Studies",146,81,27,25,29,54,5,7,5,17,92,22,18,24,64,9
Sociology,1,0,0,0,0,-,-,-,-,-,1,0,0,0,0,1
,,,,,,,,,,,,,,,,
Administration,986,777,328,290,159,343,102,90,58,250,643,226,200,101,527,173
Business Management,122,99,65,26,8,48,24,11,4,39,74,41,15,4,60,18
Care,43,37,32,5,0,5,4,0,0,4,38,28,5,0,33,6
Computing Studies,781,620,317,209,94,442,177,124,46,347,339,140,85,48,273,94
Engineering Craft Skills,61,50,9,26,15,59,9,26,13,48,2,0,0,2,2,14
Health and Food Technology,"1,482","1,275",395,611,269,454,75,167,120,362,"1,028",320,444,149,913,171
Home Economics - Fashion and Textile Technology,135,129,40,69,20,5,1,1,3,5,130,39,68,17,124,18
Home Economics - Lifestyle and Consumer Technology,367,325,77,169,79,17,1,5,6,12,350,76,164,73,313,48
Personal and Social Education,12,10,8,1,1,2,1,0,0,1,10,7,1,1,9,2
Travel and Tourism,501,400,327,39,34,149,96,6,3,105,352,231,33,31,295,67
Woodworking Skills,449,392,100,162,130,386,87,134,112,333,63,13,28,18,59,108
,,,,,,,,,,,,,,,,
Art and Design,283,207,129,51,27,128,55,21,12,88,155,74,30,15,119,75
Drama,18,8,2,5,1,11,2,4,1,7,7,0,1,0,1,8
Media Studies,66,38,12,18,8,33,5,7,5,17,33,7,11,3,21,9
Music,141,111,23,50,38,70,13,23,23,59,71,10,27,15,52,58
,,,,,,,,,,,,,,,,
Physical Education,337,257,226,24,7,258,174,16,3,193,79,52,8,4,64,56
