Subject,male-Entries,male-A,male-A-B,male-A-C,male-A-D,male-NoAward,female-Entries,female-A,female-A-B,female-A-C,female-A-D,female-NoAward,all-Entries,all-A,all-A-B,all-A-C,all-A-D,all-NoAward,NumberOfCentres
Accounting,470,257,354,422,452,18,438,259,353,408,428,10,907,467,674,794,849,58,
Administration and IT,"1,889",610,"1,180","1,693","1,839",50,"3,299","1,391","2,350","3,091","3,251",48,"5,187","1,661","3,168","4,238","4,850",337,
Applications of Mathematics,"5,153","1,526","2,536","3,916","4,534",619,"5,275","1,492","2,545","3,934","4,608",667,"10,430","2,691","4,724","7,023","8,737","1,693",
Art and Design,"2,457",771,"1,607","2,308","2,422",35,"7,460","3,797","6,008","7,248","7,394",66,"9,914","4,420","7,351","9,079","9,729",185,
Biology,"7,389","2,588","4,259","6,102","6,997",392,"14,397","5,100","8,462","12,060","13,656",741,"21,765","7,060","11,965","16,154","19,733","2,032",
Business Management,"4,034","1,389","2,446","3,539","3,901",133,"3,821","1,653","2,635","3,497","3,727",94,"7,853","2,896","4,800","6,528","7,419",434,
Care,45,11,23,33,39,6,442,159,274,365,397,45,488,167,287,389,437,51,
Chemistry,"7,663","3,303","4,997","6,679","7,412",251,"8,417","3,636","5,659","7,499","8,180",237,"16,069","6,030","9,616","12,598","15,069","1,000",
Chinese Languages,124,87,109,120,123,1,134,109,122,132,134,0,258,196,229,251,257,1,
Classical Studies,62,31,50,59,61,1,67,38,55,63,66,1,129,65,100,119,127,2,
Computing Science,"4,959","1,909","3,187","4,415","4,777",182,"1,256",634,946,"1,181","1,234",22,"6,206","2,077","3,524","4,748","5,639",567,
Dance,19,11,15,16,18,1,846,472,678,812,838,8,865,441,669,808,850,15,
Design and Manufacture,"3,397",812,"1,877","3,044","3,332",65,"1,202",505,847,"1,123","1,187",15,"4,598","1,089","2,548","3,875","4,448",150,
Drama,"1,684",826,"1,306","1,622","1,664",20,"3,422","2,250","2,970","3,345","3,399",23,"5,106","2,959","4,177","4,866","5,053",53,
Economics,243,169,221,238,242,1,66,54,61,66,66,0,309,214,275,303,308,1,
Engineering Science,"1,490",755,"1,076","1,371","1,448",42,151,90,128,147,149,2,"1,641",807,"1,164","1,408","1,546",95,
English,"22,888","7,120","13,701","20,272","22,276",612,"23,766","11,295","17,647","22,350","23,483",283,"46,626","17,111","30,713","40,854","45,389","1,237",
English for Speakers of Other Languages,413,124,269,379,406,7,672,275,476,636,661,11,"1,087",395,739,956,"1,061",26,
Environmental Science,145,29,69,126,142,3,113,35,59,96,111,2,257,51,113,172,221,36,
Fashion and Textile Technology,18,4,9,14,16,2,395,113,250,364,388,7,413,67,191,330,377,36,
French,"2,653","1,414","1,985","2,436","2,606",47,"5,099","3,229","4,156","4,877","5,049",50,"7,752","4,528","5,925","6,902","7,461",291,
Gaelic (Learners),29,12,23,28,29,0,96,51,75,89,93,3,125,63,98,112,122,3,
Gàidhlig,79,44,58,77,79,0,104,70,92,103,104,0,183,114,150,176,183,0,
Geography,"5,115","1,832","3,062","4,470","4,945",170,"4,583","2,322","3,323","4,225","4,502",81,"9,688","2,951","5,361","7,245","8,744",944,
German,742,388,564,689,728,14,970,604,809,935,964,6,"1,711",968,"1,338","1,559","1,668",43,
Graphic Communication,"3,674","1,111","2,229","3,326","3,584",90,"1,572",749,"1,209","1,510","1,558",14,"5,244","1,428","2,866","4,077","4,883",361,
Health and Food Technology,331,69,182,290,321,10,"1,164",409,768,"1,089","1,148",16,"1,495",430,873,"1,248","1,453",42,
History,"6,835","2,627","4,253","6,035","6,609",226,"8,226","4,077","5,877","7,569","8,069",157,"15,048","5,948","9,578","12,146","13,963","1,085",
Italian,93,49,68,86,93,0,187,113,147,178,184,3,280,157,212,263,277,3,
