Subject,male-Entries,male-1,male-2,male-3,male-4,male-5,male-6,male-7,female-Entries,female-1,female-2,female-3,female-4,female-5,female-6,female-7,all-Entries,all-1,all-2,all-3,all-4,all-5,all-6,all-7,NumberOfCentres
Classical Greek,3,3,-,-,-,- ,-,-,7,7,-,-,-,-,-,-,10,10,-,-,-,-,-,-,5
English,"29,844","2,435","7,481","10,046","7,199","1,950",91,-,"29,111","4,436","9,957","9,346","4,205",741,26,-,"58,955","6,871","17,438","19,392","11,404","2,691",117,-,475
English - Alternative Communication,-,-,-,-,-,-,-,-,3,-,-,1,2,-,-,-,3,-,-,1,2,-,-,-,3
English - Spoken,4,-,1,1,2,-,-,-,3,-,-,3,-,-,-,-,7,-,1,4,2,-,-,-,4
French,"18,215","1,738","2,964","3,910","4,060","2,977","1,252",66,"19,506","3,750","4,676","4,336","3,349","1,870",602,23,"37,721","5,488","7,640","8,246","7,409","4,847","1,854",89,426
French  (Writing)*,"6,500",616,"1,057","1,712","1,657",-,-,-,"10,511","1,490","2,283","2,928","2,194",-,-,-,"17,011","2,106","3,340","4,640","3,851",-,-,-,414
Gàidhlig,49,14,27,4,1,-,-,-,46,25,13,5,1,-,-,-,95,39,40,9,2,-,-,-,14
Gaelic (Learners),145,18,27,30,31,32,5,-,184,64,50,24,22,19,1,-,329,82,77,54,53,51,6,-,28
Gaelic (Learners) (Writing)*,40,8,7,15,6,-,-,-,93,28,26,21,11,-,-,-,133,36,33,36,17,-,-,-,21
German,"8,153",845,"1,411","1,967","1,882","1,021",439,16,"8,271","1,879","2,079","1,909","1,338",560,150,5,"16,424","2,724","3,490","3,876","3,220","1,581",589,21,323
German (Writing)*,"3,413",295,501,696,"1,049",-,-,-,"4,950",783,"1,032","1,173","1,178",-,-,-,"8,363","1,078","1,533","1,869","2,227",-,-,-,317
Italian,330,50,52,72,66,44,24,3,459,137,106,103,56,29,10,1,789,187,158,175,122,73,34,4,48
Italian (Writing)*,114,12,22,12,16,-,-,-,231,54,58,17,24,-,-,-,345,66,80,29,40,-,-,-,41
Latin,460,257,94,27,28,20,10,3,549,360,95,38,26,16,2,1,"1,009",617,189,65,54,36,12,4,70
Russian,9,6,2,1,-,-,-,-,5,2,2,1,-,-,-,-,14,8,4,2,-,-,-,-,4
Russian (Writing)*,9,3,2,1,2,-,-,-,3,2,-,-,1,-,-,-,12,5,2,1,3,-,-,-,3
Spanish,"1,092",146,192,242,252,138,68,8,"1,583",424,459,339,212,89,29,-,"2,675",570,651,581,464,227,97,8,123
Spanish (Writing)*,452,46,68,72,154,-,-,-,"1,034",167,220,198,286,-,-,-,"1,486",213,288,270,440,-,-,-,115
Urdu,44,13,11,10,4,2,-,-,80,34,25,14,3,1,-,-,124,47,36,24,7,3,-,-,24
Urdu (Writing),22,12,6,-,3,-,-,-,44,27,7,1,6,-,-,-,66,39,13,1,9,-,-,-,18
,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"2,162",545,585,326,338,215,96,3,"2,541",631,700,432,359,225,96,6,"4,703","1,176","1,285",758,697,440,192,9,286
Mathematics,"30,332","5,031","4,187","6,388","5,039","6,598","2,144",337,"29,357","5,478","4,497","6,015","4,934","5,840","1,765",300,"59,689","10,509","8,684","12,403","9,973","12,438","3,909",637,470
,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,"6,767","1,664","1,566","1,781",865,561,206,27,"15,950","3,948","4,132","4,253","1,895","1,124",382,31,"22,717","5,612","5,698","6,034","2,760","1,685",588,58,421
Chemistry,"11,215","3,720","2,606","2,906",899,673,218,44,"11,730","4,257","2,864","2,897",752,601,189,27,"22,945","7,977","5,470","5,803","1,651","1,274",407,71,418
Physics,"13,363","4,198","3,359","3,326","1,420",547,322,42,"6,028","2,587","1,505","1,249",361,152,110,17,"19,391","6,785","4,864","4,575","1,781",699,432,59,416
Science,"8,693",89,310,"1,866","2,801","2,020",793,107,"6,448",57,174,"1,311","2,004","1,559",692,78,"15,141",146,484,"3,177","4,805","3,579","1,485",185,399
,,,,,,,,,,,,,,,,,,,,,,,,,
Classical Studies,151,28,26,22,25,19,8,3,162,35,38,29,18,18,6,-,313,63,64,51,43,37,14,3,19
Contemporary Social Studies,254,-,1,15,60,98,55,5,155,-,-,7,53,52,27,3,409,-,1,22,113,150,82,8,28
Economics,690,184,214,123,100,49,13,6,476,120,128,83,63,44,32,6,"1,166",304,342,206,163,93,45,12,72
Geography,"13,185","2,262","3,020","2,963","2,063","1,575",995,301,"9,368","2,254","2,262","1,866","1,259",909,647,168,"22,553","4,516","5,282","4,829","3,322","2,484","1,642",469,424
History,"9,827","1,509","2,363","1,715","1,568","1,462",980,223,"11,346","2,574","3,115","1,939","1,613","1,248",712,140,"21,173","4,083","5,478","3,654","3,181","2,710","1,692",363,418
Modern Studies,"5,763","1,174","1,162","1,084",859,919,461,99,"7,751","2,239","1,754","1,330","1,151",832,377,64,"13,514","3,413","2,916","2,414","2,010","1,751",838,163,314
Social and Vocational Skills,"1,537",97,223,392,411,232,73,1,"1,625",236,427,458,281,96,20,1,"3,162",333,650,850,692,328,93,2,138
,,,,,,,,,,,,,,,,,,,,,,,,,
Business  Management,389,72,133,75,61,28,9,2,486,117,169,88,55,32,10,4,875,189,302,163,116,60,19,6,41
Computing Studies,"12,132","2,371","2,680","2,502","2,276","1,492",369,39,"6,870","1,511","1,639","1,507","1,179",652,171,5,"19,002","3,882","4,319","4,009","3,455","2,144",540,44,402
Craft and Design,"10,898",846,"2,106","2,689","2,525","1,540",456,45,"2,885",411,699,627,526,300,86,6,"13,783","1,257","2,805","3,316","3,051","1,840",542,51,390
Graphic Communication,"5,620",667,"1,540","1,353","1,021",592,218,20,"2,240",349,697,545,362,154,41,2,"7,860","1,016","2,237","1,898","1,383",746,259,22,330
Home Economics,"2,362",34,171,435,677,546,163,1,"7,313",476,"1,551","1,997","1,847",720,167,1,"9,675",510,"1,722","2,432","2,524","1,266",330,2,361
Office and Information Studies,"3,234",267,650,755,734,384,129,27,"12,938","2,194","3,700","3,070","2,063",972,267,17,"16,172","2,461","4,350","3,825","2,797","1,356",396,44,380
Technological Studies,"3,370",611,711,693,618,450,127,6,279,50,75,60,48,26,12,-,"3,649",661,786,753,666,476,139,6,238
,,,,,,,,,,,,,,,,,,,,,,,,,
Art and Design,"8,505",825,"2,328","3,078","1,474",342,42,-,"11,614","2,389","4,350","3,389",948,165,25,-,"20,119","3,214","6,678","6,467","2,422",507,67,-,423
Drama,"1,576",126,345,389,343,166,49,4,"2,955",496,899,761,447,141,23,-,"4,531",622,"1,244","1,150",790,307,72,4,140
Music,"3,564",975,986,672,406,209,66,7,"6,012","2,080","1,803","1,073",536,204,39,2,"9,576","3,055","2,789","1,745",942,413,105,9,408
,,,,,,,,,,,,,,,,,,,,,,,,,
Physical Education,"11,854","1,205","3,599","3,863","1,883",497,74,6,"5,033",473,"1,360","1,548","1,001",330,48,5,"16,887","1,678","4,959","5,411","2,884",827,122,11,389
,,,,,,,,,,,,,,,,,,,,,,,,,
Religious Studies,284,22,59,57,45,45,14,6,708,118,163,150,125,74,27,2,992,140,222,207,170,119,41,8,77
