Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,39,67,33,35,46,77,92,38,28,15,3,
Art and Design (Design),560,20,80,39,27,96,93,30,30,34,5,
Art and Design (Expressive),862,15,85,33,31,93,92,31,32,29,5,
Biology,"2,362",34,66,22,26,76,82,24,28,27,10,
Business Management,363,45,55,23,28,78,81,26,28,26,7,
Chemistry,"2,614",48,52,32,37,82,84,35,28,21,8,
Chinese Languages,32,38,63,83,100,100,100,94,6,0,0,
Classical Studies,66,38,62,68,71,88,95,70,17,6,2,
Computing Science,485,86,14,24,43,73,88,27,25,24,8,
Design and Manufacture,70,46,54,3,0,44,53,1,13,34,10,
Drama,537,29,71,25,30,81,82,28,29,25,9,
Economics,96,65,35,34,50,90,97,40,33,20,4,
Engineering Science,75,95,5,25,***,76,***,25,31,21,9,
English,"2,303",27,73,26,26,79,83,26,27,29,10,
French,697,22,78,38,39,81,86,39,27,19,6,
Gaelic (Learners),24,21,79,80,37,80,89,46,29,13,8,
Gàidhlig,31,10,90,***,54,***,93,52,26,13,10,
Geography,900,40,60,21,24,88,92,22,38,30,5,
German,146,34,66,41,47,84,88,45,25,16,5,
Graphic Communication,671,64,36,10,12,62,73,11,24,31,11,
Health and Food Technology,25,12,88,***,9,***,82,8,36,28,12,
History,"1,578",38,62,29,31,85,88,30,30,27,6,
Italian,22,18,82,***,56,***,89,59,27,5,5,
Latin,79,38,62,47,57,83,92,53,23,13,3,
Mathematics,"3,358",64,36,40,44,71,78,41,17,16,7,
Mathematics of Mechanics,222,80,20,43,48,72,82,44,14,15,9,
Modern Studies,851,33,67,23,26,79,83,25,32,25,9,
Music,"1,675",43,57,64,60,95,94,62,23,10,2,
Music: Portfolio,15,80,20,42,***,83,***,40,33,13,13,
Physical Education,239,60,40,16,33,73,80,23,26,27,8,
Physics,"1,923",79,21,35,41,77,85,36,24,19,7,
"Religious, Moral and Philosophical Studies",212,23,77,39,32,88,82,33,26,24,8,
Spanish,480,26,74,36,36,78,82,36,23,22,7,
Statistics,182,59,41,44,46,78,77,45,14,19,8,
