Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Computing Studies,"2,922",402,609,808,"1,819",621,946,98,218,284,600,209,"3,868",500,827,"1,092","2,419",830,373
Craft and Design (Revised),"1,697",155,360,570,"1,085",364,405,56,115,138,309,72,"2,102",211,475,708,"1,394",436,281
Engineering,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Graphic Communication (Revised),"1,562",208,378,452,"1,038",323,326,38,70,97,205,88,"1,888",246,448,549,"1,243",411,245
Home Economics (Revised),22,-,1,1,2,7,496,28,69,156,253,130,518,28,70,157,255,137,121
Horticultural Science,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Management and Information Studies,"1,159",130,257,345,732,206,"2,148",306,495,643,"1,444",351,"3,307",436,752,988,"2,176",557,253
Navigation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Secretarial Studies (Audio-typewriting),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Secretarial Studies (Word Processing),235,20,64,67,151,57,"3,984",581,"1,260","1,161","3,002",579,"4,219",601,"1,324","1,228","3,153",636,336
Technical Drawing,21,3,3,9,15,2,1,-,-,-,-,1,22,3,3,9,15,3,11
Technological Studies,"1,079",170,217,281,668,227,67,18,7,18,43,9,"1,146",188,224,299,711,236,197
,,,,,,,,,,,,,,,,,,,
Art and Design (Revised) ,"2,585",311,670,908,"1,889",514,"4,204",905,"1,275","1,284","3,464",550,"6,789","1,216","1,945","2,192","5,353","1,064",441
Drama,180,22,32,46,100,43,511,102,158,149,409,74,691,124,190,195,509,117,87
Music (Revised) - Performing*,1,-,-,-,1,-,1,-,-,-,1,-,2,-,-,-,2,-,2
Music (Revised) - Listening*,4,-,-,-,3,-,4,-,-,-,1,-,8,-,-,-,4,-,7
Music (Revised) -  Inventing (Comp)*,4,-,-,-,3,-,2,-,-,-,1,-,6,-,-,-,4,-,6
Music (Revised) - Inventing Paper 1*,2,-,-,-,1,-,4,-,-,-,3,-,6,-,-,-,4,-,5
Music (Revised),743,294,240,154,688,41,"1,500",568,529,308,"1,405",67,"2,243",862,769,462,"2,093",108,386
Music (Practical Harmony)*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Music Part II*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Music Part III*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Music Part IV*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Music Part V*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Music Part VI*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Music,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,
Physical Education,"1,898",79,270,485,834,487,794,53,117,221,391,169,"2,692",132,387,706,"1,225",656,208
,,,,,,,,,,,,,,,,,,,
Religious Studies (Revised),223,30,39,77,146,43,837,102,191,275,568,177,"1,060",132,230,352,714,220,131
Religious Studies,9,-,2,3,5,1,34,-,4,16,20,8,43,-,6,19,25,9,5
