Subject,male-Entries,male-A,male-B,male-C,male-Passes,male-D,female-Entries,female-A,female-B,female-C,female-Passes,female-D,all-Entries,all-A,all-B,all-C,all-Passes,all-D,NumberOfCentres
Classical Greek (Optional Paper III) ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Classical Greek,5,5,-,-,5,-,6,5,1,-,6,-,11,10,1,-,11,-,10
Classical Greek (Unrevised),2,1,-,-,1,-,-,-,-,-,-,-,2,1,-,-,1,-,1
English (Revised),"14,706","1,772","2,971","4,842","9,585","3,344","19,249","2,990","4,246","6,357","13,593","3,919","33,955","4,762","7,217","11,199","23,178","7,263",519
French (Revised),"1,297",305,363,368,"1,036",207,"3,814",781,"1,132","1,108","3,021",594,"5,111","1,086","1,495","1,476","4,057",801,427
Gáidhlig (Revised),8,5,2,-,7,1,32,13,8,11,32,-,40,18,10,11,39,1,7
Gáidhlig,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gaelic (Learners) (Revised),48,19,13,12,44,1,92,39,21,25,85,3,140,58,34,37,129,4,27
Gaelic (Learners),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
German (Revised),566,113,118,186,417,108,"1,601",360,397,467,"1,224",302,"2,167",473,515,653,"1,641",410,317
German,3,-,-,2,2,1,-,-,-,-,-,-,3,-,-,2,2,1,1
Hebrew,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Italian (Revised),54,14,13,15,42,5,160,51,36,33,120,24,214,65,49,48,162,29,56
Italian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Latin (Revised),183,68,41,43,152,16,259,71,73,68,212,22,442,139,114,111,364,38,96
Norwegian,4,-,-,1,1,2,1,1,-,-,1,-,5,1,-,1,2,2,5
Portuguese,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russian (Revised),2,1,1,-,2,-,12,10,1,-,11,1,14,11,2,-,13,1,6
Russian,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spanish (Revised),153,68,35,29,132,12,499,181,127,105,413,45,652,249,162,134,545,57,114
Spanish,-,-,-,-,-,-,1,-,1,-,1,-,1,-,1,-,1,-,1
Swedish,-,-,-,-,-,-,1,-,1,-,1,-,1,-,1,-,1,-,1
,,,,,,,,,,,,,,,,,,,
Accounting and Finance,"1,397",180,353,437,970,257,"1,592",174,397,510,"1,081",324,"2,989",354,750,947,"2,051",581,305
Accounting,108,23,21,32,76,13,208,21,37,66,124,40,316,44,58,98,200,53,43
Mathematics (Revised),"10,708","1,432","2,484","3,011","6,927","2,114","9,554","1,325","2,397","2,925","6,647","1,824","20,262","2,757","4,881","5,936","13,574","3,938",479
,,,,,,,,,,,,,,,,,,,
"Anatomy, Physiology and Health",1,-,-,1,1,-,2,-,-,1,1,1,3,-,-,2,2,1,3
Biology (Revised),"3,714",594,927,"1,022","2,543",741,"8,423","1,063","2,003","2,370","5,436","1,940","12,137","1,657","2,930","3,392","7,979","2,681",464
Biology,1,-,-,-,-,1,2,-,1,1,2,-,3,-,1,1,2,1,1
Chemistry (Revised),"6,001","1,151","1,521","1,758","4,430","1,155","5,650",928,"1,311","1,730","3,969","1,259","11,651","2,079","2,832","3,488","8,399","2,414",443
Chemistry,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Geology,17,2,3,3,8,5,14,1,4,5,10,2,31,3,7,8,18,7,6
Human Biology,481,58,104,136,298,127,"1,432",173,286,417,876,386,"1,913",231,390,553,"1,174",513,126
Physics (Revised),"8,234","1,277","1,834","2,320","5,431","1,825","3,717",640,950,"1,148","2,738",703,"11,951","1,917","2,784","3,468","8,169","2,528",452
Physics,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,1
,,,,,,,,,,,,,,,,,,,
Classical Studies,142,27,37,33,97,21,285,65,78,57,200,38,427,92,115,90,297,59,55
Economic History,1,-,-,1,1,-,-,-,-,-,-,-,1,-,-,1,1,-,1
Economics (Revised),"1,296",213,346,351,910,261,"1,076",120,255,346,721,245,"2,372",333,601,697,"1,631",506,220
Economics,17,2,7,4,13,2,11,-,2,3,5,4,28,2,9,7,18,6,7
Geography (Revised),"4,048",527,940,"1,315","2,782",845,"3,452",634,952,"1,094","2,680",573,"7,500","1,161","1,892","2,409","5,462","1,418",433
Geography,8,-,3,5,8,-,4,-,1,3,4,-,12,-,4,8,12,-,6
History (Revised),"2,994",382,724,924,"2,030",577,"4,793",662,"1,241","1,552","3,455",797,"7,787","1,044","1,965","2,476","5,485","1,374",447
History (Traditional),7,-,1,4,5,1,2,-,-,1,1,1,9,-,1,5,6,2,5
History (Alternative),21,2,4,9,15,4,40,6,11,10,27,6,61,8,15,19,42,10,21
Modern Studies (Revised),"3,196",462,794,989,"2,245",539,"4,905",832,"1,216","1,564","3,612",778,"8,101","1,294","2,010","2,553","5,857","1,317",401
Modern Studies,1,1,-,-,1,-,1,-,-,1,1,-,2,1,-,1,2,-,1
,,,,,,,,,,,,,,,,,,,
Agricultural Science,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
