Subject,all-Entries,all-Pass,male-percentage,male-percentagePass,female-percentage,female-percentagePass,NumberOfCentres
Administration and IT,"2,326","2,190",42,94,58,94,
Art and Design,"3,967","3,623",41,91,59,92,
Biology,"9,771","9,310",38,95,62,95,
Business,"2,739","2,587",56,94,44,96,
Care,296,276,15,86,85,94,
Chemistry,"5,888","5,628",53,95,47,96,
Chinese Languages,43,43,42,100,58,100,
Classical Studies,45,44,62,96,38,100,
Computing Science,"2,873","2,697",83,94,17,94,
Design and Manufacture,"1,484","1,280",82,85,18,90,
Drama,939,868,46,92,54,93,
Engineering Science,521,474,96,91,4,91,
English,"16,513","15,872",63,96,37,96,
English for Speakers of Other Languages,541,510,38,92,62,96,
Environmental Science,403,375,55,94,45,92,
Fashion and Textile Technology,153,124,5,86,95,81,
French,"3,185","3,085",49,97,51,97,
Gaelic (Learners),39,37,44,100,56,91,
Gàidhlig,15,15,60,100,40,100,
Geography,"4,396","4,187",62,95,38,95,
German,663,639,61,97,39,96,
Graphic Communication,"1,334","1,193",80,89,20,92,
Health and Food Technology,880,825,36,94,64,93,
History,"6,952","6,668",56,95,44,97,
Hospitality: Practical Cookery,"3,398","3,192",45,93,55,94,
Italian,77,73,43,94,57,95,
Latin,13,13,46,100,54,100,
Lifeskills Mathematics,"3,412","2,945",55,87,45,85,
Mathematics,"28,450","26,546",51,93,49,93,
Media,899,839,61,94,39,93,
Modern Studies,"5,048","4,793",53,95,47,95,
Music,"1,329","1,137",51,84,49,87,
Music Technology,229,200,74,88,26,85,
People and Society,479,438,45,92,55,91,
Physical Education,"4,924","4,609",71,94,29,94,
Physics,"5,054","4,828",82,95,18,96,
Practical Electronics,115,66,97,56,3,***,
Practical Metalworking,206,158,95,77,5,70,
Practical Woodworking,"1,569","1,338",85,85,15,85,
"Religious, Moral and Philosophical Studies","2,364","2,103",43,87,57,90,
Science,433,409,57,93,43,96,
Spanish,"1,670","1,578",49,95,51,94,
Urdu,14,13,71,100,29,***,
