Subject,male-Entries,male-A,male-A-B,male-A-C,male-A-D,male-NoAward,female-Entries,female-A,female-A-B,female-A-C,female-A-D,female-NoAward,all-Entries,all-A,all-A-B,all-A-C,all-A-D,all-NoAward,NumberOfCentres
Accounting,626,299,454,559,586,40,524,285,404,490,515,9,"1,149",523,771,952,"1,049",100,
Administration and IT,"1,432",506,955,"1,274","1,386",46,"2,516","1,084","1,816","2,356","2,468",48,"3,947","1,191","2,334","3,171","3,693",254,
Art and Design,963,306,630,906,949,14,"4,331","1,882","3,281","4,172","4,286",45,"5,292","1,658","3,283","4,599","5,193",99,
Biology,"2,592",925,"1,558","2,195","2,455",137,"4,836","1,730","2,961","4,116","4,610",226,"7,412","2,241","4,072","5,653","6,822",590,
Business Management,"3,699","1,282","2,371","3,276","3,556",143,"4,473","1,898","3,171","4,065","4,341",132,"8,161","2,676","4,843","6,417","7,507",654,
Care,73,19,37,53,64,9,644,131,338,534,588,56,719,109,282,467,611,108,
Chemistry,"4,687","1,924","3,107","4,104","4,496",191,"5,351","2,162","3,536","4,759","5,147",204,"10,022","3,086","5,550","7,705","9,441",581,
Childcare and Development,14,4,8,11,11,3,284,85,177,242,265,19,299,58,131,223,275,24,
Chinese Languages,67,58,63,67,67,0,84,71,79,84,84,0,151,129,142,151,151,0,
Classical Studies,182,86,133,167,175,7,268,136,208,254,265,3,450,178,298,371,420,30,
Computing Science,"2,609",967,"1,647","2,310","2,509",100,557,274,413,515,542,15,"3,152",844,"1,606","2,272","2,717",435,
Dance,25,12,23,24,25,0,485,274,396,469,481,4,510,191,347,489,506,4,
Design and Manufacture,"1,330",315,711,"1,143","1,280",50,633,222,457,588,628,5,"1,956",301,821,"1,321","1,702",254,
Drama,933,373,658,875,921,12,"2,146","1,103","1,720","2,055","2,120",26,"3,075","1,246","2,110","2,710","2,939",136,
Economics,361,172,271,332,354,7,204,117,161,189,197,7,565,254,395,477,512,53,
Engineering Science,944,378,629,836,910,34,122,55,90,114,121,1,"1,063",351,590,782,934,129,
English,"15,284","3,873","8,208","12,816","14,556",728,"21,084","7,664","13,806","18,973","20,533",551,"36,205","8,954","19,078","27,736","34,052","2,153",
English for Speakers of Other Languages,323,159,244,312,323,0,417,241,348,412,415,2,739,264,514,679,727,12,
Environmental Science,156,35,77,137,151,5,204,77,140,185,200,4,358,90,185,281,328,30,
Fashion and Textile Technology,8,4,4,8,8,0,161,58,116,152,157,4,169,34,95,142,161,8,
French,816,532,682,780,803,13,"2,351","1,582","2,044","2,287","2,334",17,"3,164","1,613","2,320","2,802","3,053",111,
Gaelic (Learners),17,10,15,17,17,0,44,20,36,41,44,0,62,30,49,59,62,0,
Gàidhlig,37,14,30,35,36,1,93,55,84,93,93,0,130,66,114,126,129,1,
Geography,"2,891",980,"1,709","2,482","2,761",130,"3,546","1,653","2,544","3,243","3,452",94,"6,432","1,979","3,748","5,165","6,007",425,
German,278,197,235,268,276,2,502,351,445,493,499,3,780,450,624,727,768,12,
Graphic Communication,"2,271",788,"1,548","2,123","2,245",26,"1,028",477,819,989,"1,018",10,"3,292",741,"1,742","2,635","3,103",189,
Health and Food Technology,228,38,112,203,219,9,884,310,616,818,869,15,"1,111",214,487,785,976,135,
History,"3,750","1,313","2,379","3,302","3,592",158,"6,169","2,813","4,497","5,699","6,014",155,"9,902","3,466","6,119","7,921","9,138",764,
Human Biology,"2,027",664,"1,168","1,687","1,905",122,"4,941","1,580","2,865","4,181","4,669",272,"6,954","1,914","3,486","5,045","6,319",635,
Italian,83,64,79,83,83,0,159,131,151,159,159,0,242,190,221,237,242,0,
Latin,108,76,96,103,108,0,157,114,139,152,156,1,265,190,235,255,262,3,
Mathematics,"10,102","3,946","6,087","8,196","9,072","1,030","9,080","3,839","5,879","7,784","8,479",601,"19,160","6,443","10,515","13,852","16,485","2,675",
Media,387,101,220,336,364,23,531,222,381,494,526,5,918,257,503,719,847,71,
Modern Studies,"3,088","1,184","1,962","2,729","2,954",134,"5,386","2,570","3,956","4,965","5,226",160,"8,458","3,032","5,138","6,762","7,757",701,
Music,"2,223","1,297","1,858","2,167","2,208",15,"2,865","1,826","2,526","2,821","2,855",10,"5,084","2,519","4,077","4,767","4,999",85,
Music Technology,563,248,433,539,554,9,272,153,234,271,272,0,833,298,595,748,803,30,
Philosophy,193,70,121,163,180,13,395,150,270,358,377,18,587,178,321,420,503,84,
Photography,711,238,454,647,686,25,"1,642",677,"1,234","1,561","1,615",27,"2,353",594,"1,362","1,984","2,288",65,
Physical Education,"7,018","2,411","4,780","6,590","6,958",60,"3,626","1,713","2,754","3,435","3,594",32,"10,639","3,322","6,862","9,597","10,460",179,
Physics,"6,082","2,368","3,821","5,170","5,729",353,"2,310","1,116","1,671","2,099","2,242",68,"8,377","2,487","4,628","6,432","7,726",651,
Politics,537,240,384,499,516,21,775,386,574,711,749,26,"1,312",536,911,"1,172","1,255",57,
Psychology,725,192,402,571,643,82,"2,378",831,"1,436","1,992","2,177",201,"3,102",551,"1,253","1,992","2,446",656,
"Religious, Moral and Philosophical Studies",904,337,580,786,867,37,"2,627","1,215","1,931","2,427","2,565",62,"3,521","1,252","2,092","2,675","3,095",426,
Sociology,194,63,106,155,175,19,563,218,363,464,512,51,757,202,377,536,626,131,
Spanish,801,472,640,765,790,11,"2,100","1,291","1,744","2,024","2,084",16,"2,897","1,462","2,075","2,515","2,783",114,
Urdu,38,28,38,38,38,0,80,68,79,79,80,0,118,94,117,117,117,1,
