Subject,all-Entries,all-percentageA,all-percentageB,all-percentageC,all-percentageD,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentagePass,female-percentagePass
Accounting,898,49,20,15,7,51,49,46,52,81,86
Administration and IT,"4,885",30,27,22,13,34,66,23,33,75,81
Applications of Mathematics,"4,459",24,16,19,18,47,53,26,22,61,57
Art and Design,"9,323",35,29,23,10,24,76,23,39,80,89
Biology,"21,549",30,21,20,18,34,66,28,30,69,71
Business Management,"7,576",35,23,21,13,49,51,29,41,76,81
Care,481,34,24,22,12,10,90,29,34,83,79
Chemistry,"16,035",35,21,21,16,47,53,34,36,77,77
Chinese Languages,190,75,8,13,2,46,54,72,78,98,95
Classical Studies,108,52,14,14,12,41,59,41,59,70,86
Computing Science,"6,344",32,22,21,14,80,20,30,39,73,80
Dance,693,41,26,20,9,3,97,41,41,91,87
Design and Manufacture,"4,482",18,25,27,19,74,26,14,29,67,81
Drama,"4,866",59,21,13,5,34,66,48,64,92,94
Economics,268,65,16,9,6,73,27,62,74,91,92
Engineering Science,"1,646",48,22,14,9,90,10,46,64,83,91
English,"45,593",35,30,21,10,49,51,27,44,82,91
English for Speakers of Other Languages,"1,048",26,26,26,16,40,60,26,25,76,80
Environmental Science,207,12,18,19,28,50,50,5,19,41,56
Fashion and Textile Technology,382,13,22,25,23,2,98,13,13,50,59
French,"7,873",54,17,14,9,35,65,49,57,82,87
Gaelic (Learners),135,41,16,16,16,38,62,35,45,65,79
Gàidhlig,195,51,30,11,7,35,65,32,61,85,95
Geography,"9,795",29,23,20,15,53,47,24,35,69,76
German,"1,805",54,18,14,10,41,59,49,58,83,88
Graphic Communication,"5,406",22,25,25,17,72,28,19,30,69,81
Health and Food Technology,"1,461",21,26,27,16,22,78,10,25,65,77
History,"14,735",38,24,18,12,44,56,33,42,75,83
Hospitality: Practical Cake Craft,"1,276",14,22,24,25,24,76,4,17,45,65
Hospitality: Practical Cookery,"4,939",20,35,29,12,32,68,12,24,75,87
Italian,217,57,20,13,8,26,74,57,57,91,89
Latin,376,85,9,2,3,45,55,83,86,96,97
Mathematics,"41,587",31,18,17,15,47,53,31,31,65,66
Media,972,30,19,17,17,52,48,21,40,57,75
Modern Studies,"11,967",30,23,21,14,42,58,25,34,70,76
Music,"7,203",61,22,11,4,43,57,56,65,93,95
Music Technology,"1,110",32,33,20,11,74,26,29,41,83,89
Philosophy,272,27,18,15,18,37,63,25,29,54,64
Physical Education,"16,771",46,31,17,5,66,34,42,54,94,95
Physics,"13,791",32,22,20,15,71,29,28,41,72,82
Practical Electronics,209,39,25,22,9,95,5,39,36,87,82
Practical Metalworking,"1,267",37,28,18,9,94,6,36,47,82,90
Practical Woodworking,"5,300",35,30,21,9,87,13,33,43,85,90
Psychology,992,25,16,17,16,23,77,16,27,47,61
"Religious, Moral and Philosophical Studies","2,419",35,17,17,13,30,70,30,36,62,71
Sociology,259,29,19,21,11,24,76,23,31,63,71
Spanish,"5,122",53,20,14,8,34,66,47,56,84,90
Urdu,74,86,11,1,1,34,66,84,88,100,98
