Subject,male-Entries,male-percentage,male-A,male-B,male-C,male-D,male-E,female-Entries,female-percentage,female-A,female-B,female-C,female-D,female-E,all-Entries,all-A,all-B,all-C,all-D,all-E,Number of centres
Art and Design (Enquiry),154,0.308617234,6,19,49,65,15,345,0.691382766,10,42,110,155,28,499,16,61,159,220,43,175
Art and Design (Research and Appreciation),5,0.161290323,-,-,3,1,1,26,0.838709677,2,10,10,4,-,31,2,10,13,5,1,25
Biology,218,0.301104972,28,45,66,42,37,506,0.698895028,64,136,178,84,44,724,92,181,244,126,81,199
Chemistry,933,0.562048193,164,254,321,133,61,727,0.437951807,102,213,260,111,41,1660,266,467,581,244,102,306
Economics,71,0.855421687,8,21,29,12,1,12,0.144578313,2,1,7,2,-,83,10,22,36,14,1,23
Engineering,7,1,2,-,1,3,1,-,0,-,-,-,-,-,7,2,-,1,3,1,5
English,498,0.316592498,42,105,206,104,41,1075,0.683407502,97,252,480,196,50,1573,139,357,686,300,91,323
French,133,0.225806452,16,51,48,14,4,456,0.774193548,58,138,185,58,17,589,74,189,233,72,21,206
Gaelic,3,0.375,-,2,1,-,-,5,0.625,3,1,1,-,-,8,3,3,2,-,-,5
Geography,197,0.510362694,11,65,95,23,2,189,0.489637306,15,68,89,15,2,386,26,133,184,38,4,163
German,41,0.238372093,8,11,17,4,1,131,0.761627907,23,40,58,9,1,172,31,51,75,13,2,94
Greek,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-
History,325,0.448895028,21,121,145,37,1,399,0.551104972,33,154,181,29,2,724,54,275,326,66,3,229
Italian,1,0.2,-,1,-,-,-,4,0.8,2,1,1,-,-,5,2,2,1,-,-,4
Latin,21,0.5,4,9,3,4,1,21,0.5,2,6,6,5,2,42,6,15,9,9,3,25
Mathematics I,461,0.659513591,62,78,137,101,68,238,0.340486409,25,62,76,50,21,699,87,140,213,151,89,169
Mathematics II,1430,0.664498141,194,293,314,287,271,722,0.335501859,105,209,178,140,79,2152,299,502,492,427,350,335
Mathematics III,210,0.67961165,24,49,46,51,28,99,0.32038835,8,23,36,13,14,309,32,72,82,64,42,48
Mathematics IV,343,0.734475375,58,103,88,49,45,124,0.265524625,14,28,30,32,20,467,72,131,118,81,65,112
Mathematics V,141,0.839285714,24,29,37,12,32,27,0.160714286,3,2,8,5,6,168,27,31,45,17,38,51
Modern Studies ,92,0.481675393,7,27,49,9,-,99,0.518324607,10,32,41,15,1,191,17,59,90,24,1,83
Physics,847,0.823129252,102,117,254,236,130,182,0.176870748,21,30,65,44,22,1029,123,147,319,280,152,264
Russian,3,0.272727273,1,1,1,-,-,8,0.727272727,2,3,1,2,-,11,3,4,2,2,-,4
Secretarial Studies,3,0.048387097,-,2,1,-,-,59,0.951612903,1,25,29,4,-,62,1,27,30,4,-,30
Spanish,3,0.107142857,-,1,2,-,-,25,0.892857143,5,7,9,3,1,28,5,8,11,3,1,16
