Subject,all-Entries,all-percentagePass,all-percentageA,all-percentageB,all-percentageC,all-percentageD,male-percentage,male-percentageA,male-percentagePass,female-percentage,female-percentageA,female-percentagePass,NumberOfCentres
Accounting,0,-,-,-,-,-,-,-,-,-,-,-,
Administration,34,62,26,18,18,6,38,23,46,62,29,71,
Applied Practical Electronics,13,100,8,38,54,0,100,8,100,0,-,-,
Art and Design,19,68,42,5,21,0,58,36,55,42,50,88,
Biology,42,69,29,29,12,12,52,23,59,48,35,80,
Business Management,38,55,21,24,11,18,39,27,40,61,17,65,
Care,59,80,42,22,15,3,12,43,71,88,42,81,
Chemistry,9,100,56,33,11,0,56,40,100,44,***,***,
Chinese Languages,5,100,60,40,0,0,20,***,***,80,***,***,
Classical Studies,2,***,***,***,***,***,100,***,***,0,-,-,
Computing Studies,19,89,32,32,26,0,74,21,86,26,60,100,
Drama,1,***,***,***,***,***,0,-,-,100,***,***,
Engineering Craft Skills,6,67,50,0,17,0,83,60,60,17,***,***,
English,311,87,20,40,28,5,62,21,90,38,19,84,
French,12,83,67,8,8,8,42,80,80,58,57,86,
Gaelic (Learners),0,-,-,-,-,-,-,-,-,-,-,-,
Gàidhlig,0,-,-,-,-,-,-,-,-,-,-,-,
Geography,25,60,4,20,36,8,52,8,54,48,0,67,
Geology,24,92,54,29,8,4,46,27,82,54,77,100,
German,9,78,44,33,0,0,44,***,***,56,40,60,
Graphic Communication,0,-,-,-,-,-,-,-,-,-,-,-,
History,57,98,37,40,21,0,67,34,100,33,42,95,
Home Economics: Fashion and Textile Technology,0,-,-,-,-,-,-,-,-,-,-,-,
Home Economics: Health and Food Technology,0,-,-,-,-,-,-,-,-,-,-,-,
Home Economics: Lifestyle and Consumer Technology,0,-,-,-,-,-,-,-,-,-,-,-,
Hospitality: Practical Cookery,88,99,44,49,6,1,36,41,100,64,46,98,
Italian,20,100,90,10,0,0,35,100,100,65,85,100,
Latin,6,100,100,0,0,0,50,***,***,50,***,***,
Managing Environmental Resources,17,71,24,12,35,24,76,31,77,24,***,***,
Mathematics,393,55,24,12,19,6,48,26,58,52,21,53,
Media Studies,40,68,30,23,15,5,60,25,54,40,38,88,
Modern Studies,55,64,24,15,25,5,56,16,58,44,33,71,
Music,1,***,***,***,***,***,0,-,-,100,***,***,
Physical Education,6,100,17,67,17,0,100,17,100,0,-,-,
Physics,18,94,50,28,17,0,67,50,92,33,50,100,
Psychology,33,85,52,27,6,3,55,56,89,45,47,80,
"Religious, Moral and Philosophical Studies",8,88,50,25,13,0,0,-,-,100,50,88,
Russian,0,-,-,-,-,-,-,-,-,-,-,-,
Spanish,36,75,42,14,19,3,58,33,76,42,53,73,
Travel and Tourism,138,85,36,31,17,5,41,37,89,59,36,81,
Woodworking Skills,9,89,11,22,56,0,89,13,88,11,***,***,
