Subject,all-Entries,all-Pass,male-percentage,male-percentagePass,female-percentage,female-percentagePass,NumberOfCentres
Administration and IT,"2,030","1,884",44,91,56,94,
Applications of Mathematics*,"2,585","2,171",55,85,45,83,
Art and Design,"3,443","3,088",43,90,57,89,
Biology,"7,475","7,026",37,94,63,94,
Business,"2,688","2,543",55,94,45,95,
Care,268,217,11,83,89,81,
Chemistry,"4,434","4,202",51,95,49,95,
Chinese Languages,57,46,49,75,51,86,
Classical Studies,32,30,59,89,41,100,
Computing Science,"2,938","2,714",84,92,16,92,
Design and Manufacture,"1,669","1,393",82,84,18,81,
Drama,886,775,49,88,51,87,
Engineering Science,382,341,93,89,7,92,
English,"14,667","13,807",63,94,37,94,
English for Speakers of Other Languages,394,369,38,90,62,96,
Environmental Science,270,240,58,92,42,85,
Fashion and Textile Technology,179,167,5,89,95,94,
French,"2,510","2,404",46,97,54,95,
Gaelic (Learners),46,43,46,86,54,100,
Gàidhlig,13,13,62,100,38,100,
Geography,"3,767","3,571",61,95,39,95,
German,501,481,53,97,47,95,
Graphic Communication,"1,280","1,143",83,89,17,90,
Health and Food Technology,599,557,38,92,62,94,
History,"5,991","5,678",56,95,44,94,
Hospitality: Practical Cookery,"3,699","3,411",45,92,55,93,
Italian,143,143,55,100,45,100,
Latin,3,***,67,***,33,***,
Mathematics,"24,958","22,808",51,91,49,92,
Media,"1,012",913,63,89,37,92,
Modern Studies,"4,522","4,236",51,94,49,93,
Music,"1,117",944,53,83,47,86,
Music Technology,281,243,78,85,22,90,
People and Society,342,311,50,91,50,91,
Physical Education,"3,870","3,552",72,91,28,93,
Physics,"3,899","3,689",83,95,17,94,
Practical Electronics,165,115,96,69,4,86,
Practical Metalworking,163,123,94,75,6,78,
Practical Woodworking,"1,564","1,302",88,84,12,81,
"Religious, Moral and Philosophical Studies","2,607","2,328",45,88,55,90,
Science,535,513,58,96,42,95,
Spanish,"1,636","1,506",48,94,52,90,
Urdu,24,24,79,100,21,100,
