Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,37,54,46,15,29,40,65,22,16,14,14,
Applied Mathematics,346,71,29,47,43,80,86,46,21,15,7,
Art and Design: Design,556,19,81,38,31,89,94,32,31,30,5,
Art and Design: Expressive,837,15,85,42,34,96,93,35,32,27,5,
Biology,"2,518",33,67,21,22,71,74,22,27,24,12,
Biology (Revised),15,47,53,29,50,71,100,40,27,20,13,
Business Management,221,38,62,13,13,64,66,13,23,30,13,
Chemistry,"2,393",48,52,22,25,73,80,24,28,25,10,
Chemistry (Revised),278,50,50,42,40,83,89,41,31,14,7,
Chinese Languages,26,54,46,86,100,100,100,92,8,0,0,
Classical Greek,1,100,0,***,-,***,-,***,***,***,***,
Classical Studies,49,47,53,83,81,100,100,82,16,2,0,
Computing,440,86,14,31,33,84,87,31,28,25,6,
Drama,358,27,73,24,21,83,81,22,26,34,9,
Economics,66,79,21,54,57,98,100,55,18,26,2,
English,"1,716",27,73,24,22,83,87,23,30,33,8,
French,618,23,77,44,31,82,81,34,25,22,8,
Gaelic (Learners),20,35,65,43,62,100,92,55,30,10,5,
Gàidhlig,26,27,73,14,37,100,100,31,42,27,0,
Geography,883,46,54,19,27,86,92,23,34,33,6,
German,142,29,71,49,42,83,87,44,22,20,5,
Graphic Communication,956,68,32,29,45,88,96,34,36,21,3,
History,"1,356",41,59,31,31,86,90,31,30,27,5,
Home Economics: Health and Food Technology,38,13,87,20,15,60,88,16,32,37,8,
Information Systems,32,50,50,50,56,88,81,53,19,13,9,
Italian,35,31,69,27,54,91,92,46,29,17,3,
Latin,28,39,61,91,53,100,88,68,14,11,0,
Mathematics,"3,444",62,38,24,27,67,75,25,22,22,10,
Modern Studies,785,33,67,23,30,84,89,27,32,27,7,
Music,"1,497",46,54,66,63,97,97,65,22,10,1,
Physical Education,162,57,43,14,9,63,57,12,20,29,15,
Physics,"1,815",79,21,35,43,79,87,36,24,20,7,
Physics (Revised),133,84,16,29,29,71,57,29,23,16,8,
Product Design,75,48,52,6,18,56,51,12,11,31,12,
"Religious, Moral and Philosophical Studies",220,25,75,44,40,81,87,41,25,20,6,
Spanish,239,27,73,39,30,89,80,32,26,25,9,
Technological Studies,70,93,7,54,40,85,100,53,13,20,4,
