Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,"1,364",53,47,37,38,78,76,38,21,19,7,
Administration and IT,"3,963",31,69,28,32,77,79,31,26,21,7,
Art and Design,"5,500",19,81,19,27,75,83,26,27,28,9,
Biology,"7,492",34,66,23,25,68,70,24,23,22,10,
Business Management,"9,108",43,57,25,30,73,77,28,24,23,8,
Care,"1,130",8,92,11,18,54,67,18,22,26,9,
Chemistry,"10,077",49,51,30,30,76,77,30,25,21,9,
Childcare and Development,524,2,98,20,21,60,77,21,25,31,5,
Chinese Languages,111,39,61,77,84,93,100,81,14,3,0,
Classical Studies,422,32,68,28,30,82,81,29,28,23,7,
Computing Science,"4,454",83,17,20,23,70,76,20,23,27,12,
Dance,427,3,97,50,56,92,93,56,24,13,4,
Design and Manufacture,"3,079",71,29,10,24,58,74,14,22,26,12,
Drama,"3,115",29,71,36,50,84,91,46,25,18,5,
Economics,558,62,38,39,44,81,83,41,23,17,7,
Engineering Science,"1,029",91,9,21,36,74,83,22,27,26,10,
English,"36,345",42,58,21,30,75,83,26,26,27,10,
English for Speakers of Other Languages,689,49,51,45,47,91,88,46,29,14,5,
Environmental Science,392,55,45,6,11,60,62,8,20,33,10,
Fashion and Textile Technology,305,4,96,46,33,92,88,34,35,19,5,
French,"4,581",26,74,45,46,88,89,46,26,18,6,
Gaelic (Learners),84,30,70,36,42,84,86,40,27,18,5,
Gàidhlig,132,32,68,24,44,67,87,38,20,22,8,
Geography,"8,157",48,52,22,32,69,79,27,25,22,9,
German,"1,020",32,68,48,51,89,93,50,27,15,5,
Graphic Communication,"4,611",70,30,11,20,66,79,14,28,29,11,
Health and Food Technology,"1,448",16,84,15,21,61,72,20,23,27,8,
History,"11,165",41,59,33,41,84,90,38,30,20,5,
Human Biology,"5,990",30,70,20,20,67,69,20,24,25,11,
Italian,219,32,68,77,71,99,94,73,13,10,2,
Latin,310,39,61,67,69,97,94,68,18,9,1,
Mathematics,"18,871",52,48,31,31,73,75,31,23,20,8,
Media,"1,055",42,58,18,25,63,72,22,21,25,10,
Modern Studies,"9,849",37,63,26,35,68,78,32,21,21,7,
Music,"5,181",41,59,60,58,95,96,59,25,11,2,
Music Technology,486,72,28,53,59,87,94,55,22,12,3,
Philosophy,"1,006",39,61,26,28,67,72,27,23,20,9,
Photography,"2,260",27,73,22,27,74,83,25,26,29,6,
Physical Education,"9,714",69,31,22,39,89,92,28,36,27,6,
Physics,"9,129",73,27,26,34,72,81,28,26,20,8,
Politics,781,41,59,37,35,84,77,36,27,18,6,
Psychology,"3,589",24,76,16,22,61,68,20,22,24,10,
"Religious, Moral and Philosophical Studies","4,383",30,70,21,23,60,68,22,20,23,11,
Sociology,953,29,71,13,19,63,63,18,21,25,9,
Spanish,"2,600",27,73,53,52,86,90,52,22,14,4,
Urdu,92,40,60,68,85,89,96,78,7,9,2,
