Subject,all-Entries,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentageA-C,female-percentageA-C,all-percentageA,all-percentageB,all-percentageC,all-percentageD,NumberOfCentres
Accounting,"1,254",58,42,33,38,75,81,35,23,19,7,
Administration and IT,"4,051",36,64,25,33,75,80,30,28,20,8,
Art and Design,"5,299",19,81,21,30,80,85,28,29,27,9,
Biology,"7,306",34,66,26,25,72,74,25,24,24,9,
Business Management,"8,755",45,55,28,35,75,82,32,27,20,7,
Care,"1,285",9,91,13,11,55,56,11,17,28,12,
Chemistry,"9,992",47,53,29,28,75,79,29,25,23,9,
Childcare and Development,766,3,97,4,15,50,70,14,26,29,8,
Chinese Languages,152,43,57,73,77,92,98,75,13,8,3,
Classical Studies,400,34,66,32,41,73,86,38,22,22,9,
Computing Science,"4,099",84,16,20,26,67,77,21,23,25,12,
Dance,461,4,96,59,55,94,95,55,28,12,2,
Design and Manufacture,"2,820",70,30,10,25,55,76,14,20,27,12,
Drama,"2,946",30,70,26,35,76,85,32,27,23,8,
Economics,656,65,35,47,48,82,90,47,24,14,5,
Engineering Science,"1,014",90,10,22,28,69,76,22,26,22,11,
English,"36,181",42,58,19,27,70,81,24,26,26,11,
English for Speakers of Other Languages,732,45,55,38,42,90,91,40,32,19,4,
Environmental Science,423,49,51,22,18,65,65,20,25,21,10,
Fashion and Textile Technology,370,3,97,9,25,82,83,25,32,26,7,
French,"3,780",26,74,45,43,87,88,43,24,20,6,
Gaelic (Learners),75,17,83,54,39,100,79,41,23,19,4,
Gàidhlig,130,33,67,47,47,91,91,47,29,15,4,
Geography,"7,329",46,54,22,32,70,77,28,23,23,9,
German,817,35,65,50,49,87,90,50,23,16,6,
Graphic Communication,"4,133",69,31,17,28,72,84,20,28,28,10,
Health and Food Technology,"1,375",19,81,7,13,56,66,12,22,30,12,
History,"10,301",39,61,26,35,79,85,31,30,22,7,
Human Biology,"5,938",29,71,22,24,68,71,24,24,23,11,
Italian,252,28,72,68,65,93,91,65,17,10,4,
Latin,226,34,66,73,78,95,96,76,12,8,2,
Mathematics,"18,753",52,48,33,34,73,77,34,22,19,8,
Media,"1,062",43,57,14,18,61,71,17,25,25,12,
Modern Studies,"9,332",37,63,26,36,71,80,32,23,21,7,
Music,"5,061",40,60,55,54,94,96,55,26,14,3,
Music Technology,669,72,28,36,49,83,88,40,23,22,7,
Philosophy,743,37,63,23,23,63,64,23,22,18,11,
Photography,"2,320",31,69,24,31,81,90,28,29,29,6,
Physical Education,"10,089",67,33,21,35,85,91,25,34,28,7,
Physics,"8,280",72,28,26,34,74,82,28,25,23,9,
Politics,"1,214",46,54,29,31,71,73,30,22,20,8,
Psychology,"3,488",24,76,10,15,53,59,14,20,24,13,
"Religious, Moral and Philosophical Studies","3,658",27,73,27,33,66,76,32,22,20,8,
Sociology,"1,067",30,70,15,17,64,60,17,21,24,13,
Spanish,"2,795",26,74,45,45,83,84,45,22,17,6,
Urdu,103,38,62,69,88,95,97,81,10,6,2,
