Subject,all-Entries,all-percentageA,all-percentageB,all-percentageC,all-percentageD,male-percentage,female-percentage,male-percentageA,female-percentageA,male-percentagePass,female-percentagePass
Accounting,895,49,16,15,11,56,44,47,51,79,79
Administration and IT,"4,767",30,28,21,12,33,67,23,34,75,82
Applications of Mathematics,"2,482",19,20,20,20,47,53,18,19,58,57
Art and Design,"9,196",42,27,19,9,23,77,29,46,82,91
Biology,"20,929",31,22,20,17,33,67,29,32,70,74
Business Management,"7,412",39,21,19,12,48,52,33,44,77,82
Care,645,33,24,21,14,8,92,28,33,81,78
Chemistry,"15,928",36,22,19,14,48,52,34,38,75,79
Chinese Languages,186,65,17,7,5,44,56,59,69,88,90
Classical Studies,78,45,18,22,6,38,62,53,40,80,88
Computing Science,"6,441",29,24,21,14,80,20,27,38,73,81
Dance,558,51,24,17,7,3,97,56,51,89,92
Design and Manufacture,"4,600",13,18,26,24,74,26,10,21,53,69
Drama,"4,509",56,23,14,5,33,67,45,61,90,94
Economics,277,72,16,6,4,70,30,69,80,94,95
Engineering Science,"1,804",41,21,16,10,91,9,40,49,78,84
English,"44,439",36,27,22,10,48,52,28,44,80,90
English for Speakers of Other Languages,"1,035",31,25,24,13,41,59,30,32,78,81
Environmental Science,272,8,21,23,24,45,55,5,11,44,59
Fashion and Textile Technology,444,14,22,29,21,2,98,0,14,40,65
French,"8,145",57,17,13,8,34,66,51,60,83,90
Gaelic (Learners),107,50,24,11,12,21,79,35,54,78,87
Gàidhlig,183,63,17,13,5,42,58,49,73,91,94
Geography,"9,794",30,20,21,15,53,47,26,34,68,75
German,"1,859",53,20,14,9,44,56,46,58,85,89
Graphic Communication,"5,433",21,26,26,17,71,29,17,30,69,81
Health and Food Technology,"1,472",16,25,26,18,21,79,8,18,55,70
History,"14,475",32,25,21,12,43,57,26,36,74,81
Hospitality: Practical Cake Craft,"1,394",12,25,25,20,20,80,6,14,44,67
Hospitality: Practical Cookery,"5,036",7,26,33,21,31,69,3,8,55,71
Italian,286,50,20,17,9,35,65,45,52,87,87
Latin,390,93,5,1,1,43,57,92,93,98,100
Mathematics,"41,587",31,18,15,14,48,52,32,31,64,65
Media,"1,007",25,20,23,17,48,52,15,34,60,75
Modern Studies,"11,867",29,21,20,15,42,58,24,33,64,75
Music,"7,098",58,25,12,4,41,59,55,61,94,95
Music Technology,883,44,24,17,10,71,29,41,52,84,87
Philosophy,269,36,16,17,12,35,65,27,41,68,71
Physical Education,"15,396",46,31,18,5,67,33,42,53,94,95
Physics,"13,698",31,23,20,15,72,28,28,40,72,84
Practical Electronics,179,34,21,16,12,97,3,32,67,69,100
Practical Metalworking,"1,259",39,26,17,10,92,8,38,44,81,80
Practical Woodworking,"4,748",39,27,19,8,87,13,38,48,85,88
Psychology,775,31,16,17,14,27,73,25,34,59,67
"Religious, Moral and Philosophical Studies","2,309",34,19,17,15,30,70,28,37,64,73
Sociology,206,27,21,19,13,27,73,29,26,73,64
Spanish,"4,938",58,19,13,7,35,65,54,60,88,91
Urdu,45,78,11,11,0,47,53,76,79,100,100
