Subject,male-Entries,male-SCQF3,male-SCQF4,male-SCQF5,male-SCQF6,female-Entries,female-SCQF3,female-SCQF4,female-SCQF5,female-SCQF6,all-Entries,all-SCQF3,all-SCQF4,all-SCQF5,all-SCQF6,NumberOfCentres
Accounting,52,,,52,,62,,,62,,114,,,114,,
Acting and Theatre Performance,88,,,,88,117,,,,117,205,,,,205,
Administration,123,,,123,,506,,,506,,629,,,629,,
An Introduction to Horticulture,72,,72,,,14,,14,,,86,,86,,,
Animal Care,29,,,29,,223,,,223,,252,,,252,,
Applied Sciences,183,,,94,89,228,,,115,113,411,,,209,202,
Army Preparation,29,,29,,,12,,12,,,41,,41,,,
Art and Design,186,,,,186,361,,,,361,547,,,,547,
Beauty Care,5,,,,5,483,,,,483,488,,,,488,
Beauty Care and Make-Up,4,,,4,,379,,,379,,383,,,383,,
Built Environment,205,,,,205,28,,,,28,233,,,,233,
Business,186,,26,160,,232,,43,189,,418,,69,349,,
"Child, Health and Social Care",32,,,32,,450,,,450,,482,,,482,,
Digital Media Computing,626,,94,375,157,92,,25,52,15,718,,119,427,172,
Early Education and Childcare,55,,,,55,1179,,,,1179,1234,,,,1234,
Electrical Engineering,752,,,341,411,22,,,11,11,774,,,352,422,
Employability and Citizenship,23,23,,,,26,26,,,,49,49,,,,
Engineering Systems,256,,,,256,17,,,,17,273,,,,273,
ESOL for Employability,8,,8,,,28,,28,,,36,,36,,,
Fabrication and Welding Engineering,497,,,497,,10,,,10,,507,,,507,,
Hairdressing,43,,,30,13,1144,,,713,431,1187,,,743,444,
Health and Social Care,71,,,,71,677,,,,677,748,,,,748,
Horse Care,14,,,14,,176,,,176,,190,,,190,,
Hospitality,50,,,50,,75,,,75,,125,,,125,,
Land-based Engineering: An Introduction,29,,29,,,2,,2,,,31,,31,,,
Make-Up Artistry,5,,,,5,203,,,,203,208,,,,208,
Manufacturing Engineering,499,,,307,192,57,,,51,6,556,,,358,198,
Mechanical Engineering,312,,,,312,31,,,,31,343,,,,343,
Mechanical Maintenance Engineering,128,,,128,,7,,,7,,135,,,135,,
Personal and Vocational Skills,65,,65,,,176,,176,,,241,,241,,,
Photography,92,,,,92,175,,,,175,267,,,,267,
Professional Cookery,203,,,107,96,197,,,111,86,400,,,218,182,
Rural Skills,60,,60,,,7,,7,,,67,,67,,,
Shipping and Maritime Operations,186,,,,186,3,,,,3,189,,,,189,
Social Sciences,256,,,121,135,576,,,286,290,832,,,407,425,
Sound Production,247,,,,247,34,,,,34,281,,,,281,
Sport and Fitness,492,,106,386,,156,,31,125,,648,,137,511,,
Travel and Tourism,44,,,44,,178,,,178,,222,,,222,,
Horticulture,101,,,101,,28,,,28,,129,,,129,,
Music,110,,,,110,53,,,,53,163,,,,163,
