Subject,male-Entries,male-SCQF3,male-SCQF4,male-SCQF5,male-SCQF6,female-Entries,female-SCQF3,female-SCQF4,female-SCQF5,female-SCQF6,all-Entries,all-SCQF3,all-SCQF4,all-SCQF5,all-SCQF6,NumberOfCentres
Accounting,61,,,61,,76,,,76,,137,,,137,,
Acting and Theatre Performance,81,,,,81,128,,,,128,209,,,,209,
Administration,80,,,80,,344,,,344,,424,,,424,,
An Introduction to Horticulture,48,,48,,,15,,15,,,63,,63,,,
Animal Care,39,,,39,,214,,,214,,253,,,253,,
Applied Sciences,177,,,73,104,200,,,105,95,377,,,178,199,
Army Preparation,33,,33,,,9,,9,,,42,,42,,,
Art and Design,165,,,,165,343,,,,343,508,,,,508,
Beauty Care,6,,,,6,522,,,,522,528,,,,528,
Beauty Care and Make-Up,9,,,9,,543,,,543,,552,,,552,,
Built Environment,190,,,,190,39,,,,39,229,,,,229,
Business,229,,25,204,,238,,13,225,,467,,38,429,,
"Child, Health and Social Care",59,,,59,,660,,,660,,719,,,719,,
Computing with Digital Media,476,,26,272,178,45,,3,29,13,521,,29,301,191,
Digital Media Computing,162,,20,142,,42,,12,30,,204,,32,172,,
Early Education and Childcare,59,,,,59,1162,,,,1162,1221,,,,1221,
Electrical Engineering,879,,,358,521,33,,,14,19,912,,,372,540,
Employability and Citizenship,9,9,,,,6,6,,,,15,15,,,,
Engineering Systems,368,,,144,224,22,,,5,17,390,,,149,241,
ESOL for Employability,23,,23,,,52,,52,,,75,,75,,,
Fabrication and Welding Engineering,434,,,434,,5,,,5,,439,,,439,,
Greenkeeping: An Introduction,10,,10,,,0,,0,,,10,,10,,,
Hairdressing,48,,,27,21,882,,,539,343,930,,,566,364,
Health and Social Care,81,,,,81,906,,,,906,987,,,,987,
Hospitality,7,,7,,,6,,6,,,13,,13,,,
Land-based Engineering: An Introduction,33,,33,,,0,,0,,,33,,33,,,
Make-Up Artistry,7,,,,7,249,,,,249,256,,,,256,
Manufacturing Engineering,259,,,259,,13,,,13,,272,,,272,,
Mechanical Engineering,316,,,,316,38,,,,38,354,,,,354,
Mechanical Maintenance Engineering,125,,,125,,10,,,10,,135,,,135,,
Personal and Vocational Skills,97,,97,,,53,,53,,,150,,150,,,
Photography,82,,,,82,174,,,,174,256,,,,256,
Professional Cookery,297,,,178,119,296,,,168,128,593,,,346,247,
Rural Skills,50,,50,,,14,,14,,,64,,64,,,
Shipping and Maritime Operations,159,,,,159,6,,,,6,165,,,,165,
Social Sciences,376,,,142,234,689,,,277,412,1065,,,419,646,
Sound Production,209,,,,209,49,,,,49,258,,,,258,
Sport and Fitness,420,,52,368,,140,,21,119,,560,,73,487,,
Travel and Tourism,94,,,50,44,356,,,167,189,450,,,217,233,
Horticulture,97,,,97,,30,,,30,,127,,,127,,
Civil Engineering,155,,,,155,12,,,,12,167,,,,167,
