Subject,SubjectGroup,CommonSubjectLabel,qualification,year,SubjectTaken,SCQFLevel
English,English,English,AdvancedHigher,2016,Yes,7
English,English,English,AdvancedHigher,2017,Yes,7
English,English,English,AdvancedHigher,2018,Yes,7
English,English,English,AdvancedHigher,2019,Yes,7
English,English,English,AdvancedHigher,2020,Yes,7
English,English,English,AdvancedHigher,2021,Yes,7
English - Alternative Communication,English,English,StandardGrade,1994,Yes,5
English - Alternative Communication,English,English,StandardGrade,1995,Yes,5
English - Alternative Communication,English,English,StandardGrade,1996,Yes,5
English - Alternative Communication,English,English,StandardGrade,1997,Yes,5
English - Alternative Communication,English,English,StandardGrade,1998,Yes,5
English - Alternative Communication,English,English,StandardGrade,1999,Yes,5
English - Alternative Communication,English,English,StandardGrade,2000,Yes,5
English - Alternative Communication,English,English,StandardGrade,2001,Yes,5
English - Alternative Communication,English,English,StandardGrade,2002,Yes,5
English - Alternative Communication,English,English,StandardGrade,2003,Yes,5
English - Alternative Communication,English,English,StandardGrade,2004,Yes,5
English - Alternative Communication,English,English,StandardGrade,2005,Yes,5
English - Alternative Communication,English,English,StandardGrade,2006,Yes,5
English - Alternative Communication,English,English,StandardGrade,2007,Yes,5
English - Alternative Communication,English,English,StandardGrade,2008,No uptake,5
English - Alternative Communication,English,English,StandardGrade,2010,Yes,5
English - Alternative Communication,English,English,StandardGrade,2011,Yes,5
English - Alternative Communication,English,English,StandardGrade,2012,Yes,5
English - Spoken,English,English,StandardGrade,1994,Yes,5
English - Spoken,English,English,StandardGrade,1995,Yes,5
English - Spoken,English,English,StandardGrade,1996,Yes,5
English - Spoken,English,English,StandardGrade,1997,Yes,5
English - Spoken,English,English,StandardGrade,1998,Yes,5
English - Spoken,English,English,StandardGrade,1999,Yes,5
English - Spoken,English,English,StandardGrade,2000,Yes,5
English - Spoken,English,English,StandardGrade,2001,Yes,5
English - Spoken,English,English,StandardGrade,2002,Yes,5
English - Spoken,English,English,StandardGrade,2003,Yes,5
English - Spoken,English,English,StandardGrade,2004,Yes,5
English (Revised),English,English,Higher,1989,Yes,6
English (Revised),English,English,Higher,1990,Yes,6
English (Revised),English,English,Higher,1991,Yes,6
English (Revised),English,English,Higher,1992,Yes,6
English (Revised),English,English,Higher,1993,Yes,6
English (Revised),English,English,Higher,1994,Yes,6
English (Revised),English,English,Higher,1995,Yes,6
English (Revised),English,English,CSYS,1990,Yes,7
English and Communication,English,English,National2,2014,Yes,2
English and Communication,English,English,National2,2015,Yes,2
English and Communication,English,English,National2,2016,Yes,2
English and Communication,English,English,National2,2017,Yes,2
English and Communication,English,English,National2,2018,Yes,2
English and Communication,English,English,National2,2019,Yes,2
English and Communication,English,English,National2,2020,Yes,2
English and Communication,English,English,National2,2021,Yes,2
English and Communication,English,English,Intermediate1,2000,Yes,4
English and Communication,English,English,Intermediate1,2001,Yes,4
English and Communication,English,English,Intermediate1,2002,Yes,4
English and Communication,English,English,Intermediate2,2000,Yes,5
English and Communication,English,English,Intermediate2,2001,Yes,5
English and Communication,English,English,Intermediate2,2002,Yes,5
English and Communication,English,English,NewHigher,2000,Yes,6
English and Communication,English,English,NewHigher,2001,Yes,6
English and Communication,English,English,NewHigher,2002,Yes,6
English and Communication,English,English,AdvancedHigher,2001,Yes,7
English and Communication,English,English,AdvancedHigher,2002,Yes,7
Applications of Mathematics,Maths,Math,National3,2020,Yes,3
Applications of Mathematics,Maths,Math,National3,2021,Yes,3
Applications of Mathematics,Maths,Math,National4,2020,Yes,4
Applications of Mathematics,Maths,Math,National4,2021,Yes,4
Applications of Mathematics,Maths,Math,National5,2018,Yes,5
Applications of Mathematics,Maths,Math,National5,2019,Yes,5
Applications of Mathematics,Maths,Math,National5,2020,Yes,5
Applications of Mathematics,Maths,Math,National5,2021,Yes,5
Applications of Mathematics*,Maths,Math,National3,2018,Yes,3
Applications of Mathematics*,Maths,Math,National3,2019,Yes,3
Applications of Mathematics*,Maths,Math,National4,2018,Yes,4
Applications of Mathematics*,Maths,Math,National4,2019,Yes,4
Applied Mathematics,Maths,Math,AdvancedHigher,2001,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2002,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2003,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2004,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2005,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2006,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2007,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2008,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2009,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2010,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2011,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2012,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2013,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2014,Yes,7
Applied Mathematics,Maths,Math,AdvancedHigher,2015,Yes,7
Arithmetic,Maths,Arithmetic,OrdinaryGrade,1986,Yes,5
Arithmetic,Maths,Arithmetic,OrdinaryGrade,1987,Yes,5
Arithmetic,Maths,Arithmetic,OrdinaryGrade,1988,Yes,5
Arithmetic,Maths,Arithmetic,OrdinaryGrade,1989,Yes,5
Arithmetic,Maths,Arithmetic,OrdinaryGrade,1990,Yes,5
Arithmetic,Maths,Arithmetic,OrdinaryGrade,1991,Yes,5
Arithmetic,Maths,Arithmetic,OrdinaryGrade,1992,Yes,5
Lifeskills Mathematics,Maths,Math,National2,2014,Yes,2
Lifeskills Mathematics,Maths,Math,National2,2015,Yes,2
Lifeskills Mathematics,Maths,Math,National2,2016,Yes,2
Lifeskills Mathematics,Maths,Math,National2,2017,Yes,2
Lifeskills Mathematics,Maths,Math,National2,2018,Yes,2
Lifeskills Mathematics,Maths,Math,National2,2019,Yes,2
Lifeskills Mathematics,Maths,Math,National2,2020,Yes,2
Lifeskills Mathematics,Maths,Math,National2,2021,Yes,2
Lifeskills Mathematics,Maths,Math,National3,2014,Yes,3
Lifeskills Mathematics,Maths,Math,National3,2015,Yes,3
Lifeskills Mathematics,Maths,Math,National3,2016,Yes,3
Lifeskills Mathematics,Maths,Math,National3,2017,Yes,3
Lifeskills Mathematics,Maths,Math,National4,2014,Yes,4
Lifeskills Mathematics,Maths,Math,National4,2015,Yes,4
Lifeskills Mathematics,Maths,Math,National4,2016,Yes,4
Lifeskills Mathematics,Maths,Math,National4,2017,Yes,4
Lifeskills Mathematics,Maths,Math,National5,2014,Yes,5
Lifeskills Mathematics,Maths,Math,National5,2015,Yes,5
Lifeskills Mathematics,Maths,Math,National5,2016,Yes,5
Lifeskills Mathematics,Maths,Math,National5,2017,Yes,5
Mathematics,Maths,Math,Intermediate1,2000,Yes,4
Mathematics,Maths,Math,Intermediate1,2001,Yes,4
Mathematics,Maths,Math,Intermediate1,2002,Yes,4
Mathematics,Maths,Math,Intermediate1,2003,Yes,4
Mathematics,Maths,Math,Intermediate1,2004,Yes,4
Mathematics,Maths,Math,Intermediate1,2005,Yes,4
Mathematics,Maths,Math,Intermediate1,2006,Yes,4
Mathematics,Maths,Math,Intermediate1,2007,Yes,4
Mathematics,Maths,Math,Intermediate1,2008,Yes,4
Mathematics,Maths,Math,Intermediate1,2009,Yes,4
Mathematics,Maths,Math,Intermediate1,2010,Yes,4
Mathematics,Maths,Math,Intermediate1,2011,Yes,4
Mathematics,Maths,Math,Intermediate1,2012,Yes,4
Mathematics,Maths,Math,Intermediate1,2013,Yes,4
Mathematics,Maths,Math,Intermediate1,2014,Yes,4
Mathematics,Maths,Math,Intermediate1,2015,Yes,4
Mathematics,Maths,Math,National4,2014,Yes,4
Mathematics,Maths,Math,National4,2015,Yes,4
Mathematics,Maths,Math,National4,2016,Yes,4
Mathematics,Maths,Math,National4,2017,Yes,4
Mathematics,Maths,Math,National4,2018,Yes,4
Mathematics,Maths,Math,National4,2019,Yes,4
Mathematics,Maths,Math,National4,2020,Yes,4
Mathematics,Maths,Math,National4,2021,Yes,4
Mathematics,Maths,Math,OrdinaryGrade,1986,Yes,5
Mathematics,Maths,Math,OrdinaryGrade,1987,Yes,5
Mathematics,Maths,Math,OrdinaryGrade,1988,Yes,5
Mathematics,Maths,Math,OrdinaryGrade,1989,Yes,5
Mathematics,Maths,Math,OrdinaryGrade,1990,Yes,5
Mathematics,Maths,Math,OrdinaryGrade,1991,Yes,5
Mathematics,Maths,Math,OrdinaryGrade,1992,Yes,5
Mathematics,Maths,Math,StandardGrade,1986,Yes,5
Mathematics,Maths,Math,StandardGrade,1987,Yes,5
