Subject,male-Entries,male-SCQF3,male-SCQF4,male-SCQF5,male-SCQF6,female-Entries,female-SCQF3,female-SCQF4,female-SCQF5,female-SCQF6,all-Entries,all-SCQF3,all-SCQF4,all-SCQF5,all-SCQF6,NumberOfCentres
Accounting,67,,,67,,78,,,78,,145,,,145,,
Acting and Theatre Performance,70,,,,70,103,,,,103,173,,,,173,
Administration,37,,,37,,186,,,186,,223,,,223,,
An Introduction to Horticulture,45,,45,,,9,,9,,,54,,54,,,
Animal Care,50,9,,41,,289,60,,229,,339,,69,270,,
Applied Sciences,140,,,72,68,207,,,106,101,347,,,178,169,
Army Preparation,35,,35,,,11,,11,,,46,,46,,,
Art and Design,140,,,,140,337,,,,337,477,,,,477,
Beauty Care,4,,,,4,335,,,,335,339,,,,339,
Beauty Care and Make-Up,6,,,6,,438,,,438,,444,,,444,,
Built Environment,143,,,,143,22,,,,22,165,,,,165,
Business,115,,6,109,,108,,17,91,,223,,23,200,,
"Child, Health and Social Care",40,,,40,,495,,,495,,535,,,535,,
Computing with Digital Media,344,,36,181,127,53,,4,31,18,397,,40,212,145,
Early Education and Childcare,48,,,,48,1240,,,,1240,1288,,,,1288,
Electrical Engineering,814,,,374,440,36,,,8,28,850,,,382,468,
Employability and Citizenship,7,7,,,,2,2,,,,9,9,,,,
Engineering Systems,529,,,131,398,52,,,9,43,581,,,140,441,
ESOL for Employability,9,,9,,,32,,32,,,41,,41,,,
Fabrication and Welding Engineering,330,,,330,,16,,,16,,346,,,346,,
Hairdressing,32,,,22,10,647,,,394,253,679,,,416,263,
Health and Social Care,68,,,,68,704,,,,704,772,,,,772,
Horse Care,5,,,5,,112,,,112,,117,,,117,,
Hospitality,55,,,55,,69,,,69,,124,,,124,,
Land-based Engineering: An Introduction,19,,19,,,0,,0,,,19,,19,,,
Make-Up Artistry,13,,,,13,245,,,,245,258,,,,258,
Manufacturing Engineering,139,,,139,,6,,,6,,145,,,145,,
Mechanical Engineering,291,,,,291,20,,,,20,311,,,,311,
Personal and Vocational Skills,29,7,22,,,20,5,15,,,49,12,37,,,
Photography,83,,,,83,155,,,,155,238,,,,238,
Professional Cookery,159,,,76,83,132,,,60,72,291,,,136,155,
Rural Skills,41,,41,,,10,,10,,,51,,51,,,
Shipping and Maritime Operations,173,,,,173,13,,,,13,186,,,,186,
Social Sciences,262,,,93,169,492,,,165,327,754,,,258,496,
Sound Production,191,,,,191,26,,,,26,217,,,,217,
Sport and Fitness,213,,37,176,,71,,6,65,,284,,43,241,,
Travel and Tourism,39,,,39,,106,,,106,,145,,,145,,
Engineering Practice,127,,,127,,9,,,9,,136,,,136,,
Civil Engineering,151,,,,151,19,,,,19,170,,,,170,
Music,98,,,,98,59,,,,59,157,,,,157,
