LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,36,83,100,92,79,78,116,161,,
Aberdeenshire,41,138,135,117,145,154,234,281,,
Angus,35,73,67,51,47,91,87,130,,
Argyll and Bute,9,42,57,44,55,74,71,81,,
City of Edinburgh,3,31,33,25,30,23,34,42,,
,,,,,,,,,,
Clackmannanshire,43,92,94,76,79,111,141,151,,
Dumfries and Galloway,32,91,67,84,88,93,132,128,,
Dundee City,25,76,78,68,54,60,98,108,,
East Ayrshire,26,79,71,76,54,75,116,115,,
East Dunbartonshire,32,65,77,46,61,39,56,93,,
,,,,,,,,,,
East Lothian,47,102,87,79,66,59,91,120,,
East Renfrewshire,63,211,212,174,177,149,193,308,,
Falkirk,12,22,19,21,16,29,40,39,,
Fife,59,132,109,80,85,76,87,126,,
Glasgow City,59,255,223,188,205,210,248,265,,
,,,,,,,,,,
Highland,51,226,242,227,234,266,384,423,,
Inverclyde,39,112,124,115,155,161,227,287,,
Midlothian,8,30,47,45,33,66,68,79,,
Moray,20,70,69,47,38,48,45,76,,
Na h-Eileanan Siar,13,58,46,39,42,61,86,120,,
,,,,,,,,,,
North Ayrshire,33,80,95,71,61,77,126,111,,
North Lanarkshire,72,214,227,153,185,197,327,319,,
Orkney Islands,4,7,16,11,18,18,27,26,,
Perth and Kinross,18,72,58,63,87,84,109,145,,
Renfrewshire,46,94,97,78,75,92,133,152,,
,,,,,,,,,,
Scottish Borders,19,67,48,65,73,67,88,90,,
Shetland Islands,3,15,15,21,22,36,38,38,,
South Ayrshire,29,68,81,54,51,77,74,108,,
South Lanarkshire,64,185,201,153,150,188,260,333,,
Stirling,31,83,89,44,53,44,63,71,,
,,,,,,,,,,
West Dunbartonshire,19,65,59,47,52,46,65,90,,
West Lothian,57,131,144,113,93,78,115,118,,
