LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,24,97,111,92,93,71,110,159,,
Aberdeenshire,42,171,137,116,136,153,217,280,,
Angus,32,99,68,54,47,86,84,127,,
Argyll and Bute,11,54,55,39,54,70,72,94,,
City of Edinburgh,11,32,34,28,19,28,30,45,,
,,,,,,,,,,
Clackmannanshire,40,132,108,63,85,91,151,154,,
Dumfries and Galloway,22,107,79,75,89,88,116,130,,
Dundee City,26,86,90,65,54,60,94,98,,
East Ayrshire,19,92,76,66,60,72,115,112,,
East Dunbartonshire,26,73,81,49,71,39,60,86,,
,,,,,,,,,,
East Lothian,48,130,98,82,65,60,81,124,,
East Renfrewshire,65,287,227,179,170,147,184,281,,
Falkirk,6,23,17,19,17,22,42,37,,
Fife,53,155,120,88,87,73,77,133,,
Glasgow City,67,278,230,187,222,199,242,266,,
,,,,,,,,,,
Highland,44,273,262,235,243,248,357,430,,
Inverclyde,55,154,130,115,155,166,211,279,,
Midlothian,12,43,37,49,36,56,67,83,,
Moray,13,81,67,55,35,51,42,78,,
Na h-Eileanan Siar,15,64,51,38,53,58,81,119,,
,,,,,,,,,,
North Ayrshire,33,106,93,71,68,68,120,106,,
North Lanarkshire,95,262,244,146,201,188,299,306,,
Orkney Islands,3,15,14,12,16,18,26,25,,
Perth and Kinross,26,89,66,65,83,88,101,136,,
Renfrewshire,45,142,98,86,78,73,126,157,,
,,,,,,,,,,
Scottish Borders,19,79,47,63,73,65,79,102,,
Shetland Islands,3,17,13,17,22,35,37,35,,
South Ayrshire,23,82,81,64,54,72,76,102,,
South Lanarkshire,81,238,203,161,150,167,262,327,,
Stirling,36,107,85,43,58,40,59,73,,
,,,,,,,,,,
West Dunbartonshire,16,67,67,48,53,50,53,87,,
West Lothian,62,188,131,125,104,76,98,121,,
