LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,55,121,92,87,90,80,71,139,,
Aberdeenshire,72,136,137,133,153,153,151,282,,
Angus,24,69,73,63,59,59,82,119,,
Argyll and Bute,11,59,51,54,51,56,66,79,,
City of Edinburgh,13,32,37,27,26,29,17,34,,
,,,,,,,,,,
Clackmannanshire,33,85,101,80,84,79,119,123,,
Dumfries and Galloway,24,72,92,69,80,83,98,128,,
Dundee City,31,86,77,79,55,57,63,92,,
East Ayrshire,38,63,87,78,67,60,80,132,,
East Dunbartonshire,31,57,71,72,55,58,46,67,,
,,,,,,,,,,
East Lothian,48,99,102,80,81,62,57,113,,
East Renfrewshire,54,212,240,201,182,160,150,220,,
Falkirk,6,12,16,14,21,13,34,42,,
Fife,53,119,138,92,84,83,75,99,,
Glasgow City,65,204,224,209,209,194,216,281,,
,,,,,,,,,,
Highland,83,232,266,246,241,217,276,417,,
Inverclyde,47,134,124,114,136,166,177,273,,
Midlothian,11,40,32,48,47,36,59,85,,
Moray,34,73,75,53,43,35,45,49,,
Na h-Eileanan Siar,18,41,56,44,44,46,66,111,,
,,,,,,,,,,
North Ayrshire,24,67,92,96,78,62,92,115,,
North Lanarkshire,87,189,244,210,174,190,225,256,,
Orkney Islands,4,9,13,16,11,21,23,32,,
Perth and Kinross,23,80,66,62,82,94,85,134,,
Renfrewshire,51,98,99,110,86,61,99,157,,
,,,,,,,,,,
Scottish Borders,23,47,63,58,67,76,65,75,,
Shetland Islands,4,7,18,15,22,25,36,31,,
South Ayrshire,23,53,88,76,55,67,74,72,,
South Lanarkshire,86,186,206,200,149,143,196,303,,
Stirling,40,68,83,70,49,50,41,63,,
,,,,,,,,,,
West Dunbartonshire,27,42,72,58,39,50,50,77,,
West Lothian,58,149,123,116,108,88,75,98,,
