LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,35,122,104,87,94,101,65,109,,
Aberdeenshire,42,161,141,167,144,180,145,227,,
Angus,21,82,71,86,64,56,70,105,,
Argyll and Bute,15,39,52,56,48,55,67,88,,
City of Edinburgh,10,40,34,27,28,24,22,26,,
,,,,,,,,,,
Clackmannanshire,39,74,93,102,78,80,77,122,,
Dumfries and Galloway,24,74,66,79,84,80,85,116,,
Dundee City,28,86,83,77,68,60,53,78,,
East Ayrshire,43,90,92,83,83,62,65,111,,
East Dunbartonshire,21,82,69,79,63,62,45,39,,
,,,,,,,,,,
East Lothian,36,111,107,86,76,77,52,113,,
East Renfrewshire,64,225,242,231,193,173,143,192,,
Falkirk,2,12,13,23,20,20,16,51,,
Fife,55,143,136,135,82,89,70,74,,
Glasgow City,85,179,220,239,192,229,182,262,,
,,,,,,,,,,
Highland,103,320,332,294,267,244,232,349,,
Inverclyde,41,118,137,145,135,156,183,248,,
Midlothian,18,38,43,51,61,38,55,57,,
Moray,20,76,68,67,56,41,39,51,,
Na h-Eileanan Siar,7,47,46,55,55,50,64,79,,
,,,,,,,,,,
North Ayrshire,38,76,89,96,102,63,72,101,,
North Lanarkshire,86,223,198,236,186,197,173,295,,
Orkney Islands,2,9,12,17,15,20,24,26,,
Perth and Kinross,30,87,74,77,61,104,83,111,,
Renfrewshire,42,112,123,115,96,88,62,121,,
,,,,,,,,,,
Scottish Borders,19,62,70,56,77,88,66,86,,
Shetland Islands,4,7,13,16,21,27,29,37,,
South Ayrshire,25,62,68,87,77,57,62,53,,
South Lanarkshire,90,236,196,246,173,169,155,236,,
Stirling,24,73,73,88,48,59,42,52,,
,,,,,,,,,,
West Dunbartonshire,19,74,57,72,41,50,41,76,,
West Lothian,50,171,150,111,104,94,68,84,,
