LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,28,133,107,90,90,100,78,51,35,9
Aberdeenshire,45,163,139,155,166,183,154,119,67,21
Angus,25,81,74,86,67,63,63,65,31,6
Argyll and Bute,8,40,51,61,46,55,63,53,19,6
City of Edinburgh,70,223,271,236,209,184,157,135,42,9
,,,,,,,,,,
Clackmannanshire,15,37,32,34,31,24,22,16,8,3
Dumfries and Galloway,41,71,89,114,84,89,81,78,24,9
Dundee City,28,61,71,85,77,81,82,70,33,3
East Ayrshire,27,88,86,80,72,58,55,45,22,7
East Dunbartonshire,36,104,84,94,77,66,66,64,35,6
,,,,,,,,,,
East Lothian,26,85,76,70,75,59,44,26,9,2
East Renfrewshire,51,118,103,94,80,83,55,50,32,12
Falkirk,60,133,133,139,91,79,58,60,22,1
Fife,90,196,181,239,198,221,187,167,69,27
Glasgow City,111,356,352,310,287,236,233,218,109,19
,,,,,,,,,,
Highland,40,127,142,150,128,146,169,141,75,20
Inverclyde,18,33,47,51,57,44,47,47,12,2
Midlothian,21,73,70,67,54,47,33,36,14,1
Moray,11,44,48,50,61,46,61,48,30,6
Na h-Eileanan Siar,3,7,16,24,18,22,14,28,15,4
,,,,,,,,,,
North Ayrshire,41,74,77,96,98,81,59,65,32,4
North Lanarkshire,92,239,193,240,199,189,178,168,71,29
Orkney Islands,3,7,16,14,18,20,26,16,4,1
Perth and Kinross,23,71,89,79,81,93,83,62,34,6
Renfrewshire,46,122,129,108,109,81,61,73,34,5
,,,,,,,,,,
Scottish Borders,8,50,57,60,79,79,75,56,24,3
Shetland Islands,3,8,13,17,23,21,28,29,11,1
South Ayrshire,18,60,69,87,85,58,59,43,9,4
South Lanarkshire,92,248,240,240,196,156,159,153,65,13
Stirling,28,80,77,74,58,56,49,28,10,3
,,,,,,,,,,
West Dunbartonshire,29,81,58,82,49,43,45,40,21,3
West Lothian,52,175,147,123,94,99,66,61,14,5
