LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,46,123,91,94,90,76,72,119,,
Aberdeenshire,56,154,142,131,137,158,141,274,,
Angus,25,69,77,70,56,54,86,108,,
Argyll and Bute,9,50,53,51,53,53,70,83,,
City of Edinburgh,14,40,32,32,29,27,22,30,,
,,,,,,,,,,
Clackmannanshire,33,87,82,89,77,84,95,140,,
Dumfries and Galloway,24,71,81,77,82,80,95,118,,
Dundee City,27,71,78,73,66,60,60,96,,
East Ayrshire,39,76,94,80,74,58,74,121,,
East Dunbartonshire,29,61,67,65,60,65,42,57,,
,,,,,,,,,,
East Lothian,35,103,92,82,86,61,60,129,,
East Renfrewshire,48,211,244,204,175,168,150,208,,
Falkirk,6,10,16,14,22,17,27,46,,
Fife,56,137,147,103,81,88,71,95,,
Glasgow City,59,176,231,205,203,203,202,290,,
,,,,,,,,,,
Highland,80,265,272,247,244,229,247,390,,
Inverclyde,46,126,134,119,123,179,169,249,,
Midlothian,8,36,35,52,50,36,62,77,,
Moray,34,73,62,56,39,41,43,47,,
Na h-Eileanan Siar,5,42,53,41,54,47,65,94,,
,,,,,,,,,,
North Ayrshire,27,69,99,93,79,61,87,111,,
North Lanarkshire,85,210,223,220,166,204,184,286,,
Orkney Islands,6,11,9,20,15,23,18,28,,
Perth and Kinross,23,74,77,66,72,102,86,118,,
Renfrewshire,47,118,94,115,98,77,79,139,,
,,,,,,,,,,
Scottish Borders,18,51,61,56,72,75,60,78,,
Shetland Islands,4,5,16,16,24,22,34,33,,
South Ayrshire,25,54,75,100,53,55,66,66,,
South Lanarkshire,85,207,203,218,166,152,179,304,,
Stirling,41,69,78,78,51,52,43,59,,
,,,,,,,,,,
West Dunbartonshire,26,49,68,64,41,51,49,70,,
West Lothian,54,162,137,124,105,93,70,90,,
