LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,47,90,107,90,90,65,89,161,,
Aberdeenshire,52,124,138,121,152,144,190,288,,
Angus,29,78,73,58,52,68,86,125,,
Argyll and Bute,11,49,54,46,52,63,79,81,,
City of Edinburgh,13,30,37,28,24,27,32,36,,
,,,,,,,,,,
Clackmannanshire,44,98,99,72,76,90,140,136,,
Dumfries and Galloway,26,66,93,75,89,90,104,136,,
Dundee City,41,75,73,67,59,59,79,100,,
East Ayrshire,27,68,87,77,63,71,105,105,,
East Dunbartonshire,33,61,66,61,72,39,55,75,,
,,,,,,,,,,
East Lothian,40,98,104,87,66,64,77,121,,
East Renfrewshire,64,235,247,171,178,148,178,261,,
Falkirk,6,17,17,17,21,16,41,38,,
Fife,45,110,131,85,94,77,68,127,,
Glasgow City,64,204,239,196,224,191,221,294,,
,,,,,,,,,,
Highland,66,234,277,230,223,230,318,451,,
Inverclyde,66,129,131,116,140,162,184,280,,
Midlothian,14,27,36,50,33,53,56,88,,
Moray,26,66,74,48,43,38,44,71,,
Na h-Eileanan Siar,11,47,52,40,46,61,63,125,,
,,,,,,,,,,
North Ayrshire,25,85,94,89,64,72,110,102,,
North Lanarkshire,86,189,253,170,186,174,274,319,,
Orkney Islands,8,12,14,8,15,21,22,27,,
Perth and Kinross,26,70,68,61,91,88,95,131,,
Renfrewshire,42,108,102,92,84,66,117,149,,
,,,,,,,,,,
Scottish Borders,16,63,43,65,77,75,68,102,,
Shetland Islands,0,12,16,18,23,30,32,38,,
South Ayrshire,21,51,85,73,60,67,75,95,,
South Lanarkshire,96,166,224,154,154,150,241,315,,
Stirling,38,78,88,55,54,50,51,71,,
,,,,,,,,,,
West Dunbartonshire,18,47,71,39,57,50,54,94,,
West Lothian,63,133,136,125,111,80,95,110,,
