LocalAuthority,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
Aberdeen City,35,123,103,88,92,93,68,113,,
Aberdeenshire,48,142,142,162,142,168,149,247,,
Angus,27,74,77,70,63,55,75,106,,
Argyll and Bute,10,39,58,52,43,52,67,79,,
City of Edinburgh,16,37,33,35,27,23,24,24,,
,,,,,,,,,,
Clackmannanshire,31,84,92,99,72,86,81,143,,
Dumfries and Galloway,22,67,80,79,75,80,90,115,,
Dundee City,31,92,76,82,66,57,57,85,,
East Ayrshire,30,87,105,83,68,67,69,117,,
East Dunbartonshire,30,72,60,76,58,67,43,48,,
,,,,,,,,,,
East Lothian,37,110,91,81,86,68,55,125,,
East Renfrewshire,62,220,226,233,189,162,139,206,,
Falkirk,3,7,16,21,22,18,27,42,,
Fife,58,154,125,125,82,86,75,82,,
Glasgow City,74,177,239,204,201,219,206,266,,
,,,,,,,,,,
Highland,92,313,294,278,258,244,234,371,,
Inverclyde,50,117,139,126,133,168,175,246,,
Midlothian,14,33,39,54,60,38,57,61,,
Moray,18,68,69,59,52,44,47,42,,
Na h-Eileanan Siar,7,47,48,44,57,51,60,84,,
,,,,,,,,,,
North Ayrshire,20,72,97,100,84,63,79,112,,
North Lanarkshire,84,212,216,228,167,214,174,284,,
Orkney Islands,3,7,14,19,16,24,18,26,,
Perth and Kinross,29,76,75,73,73,97,93,107,,
Renfrewshire,39,119,106,114,92,87,69,138,,
,,,,,,,,,,
Scottish Borders,15,55,68,59,61,82,60,75,,
Shetland Islands,3,4,16,19,20,25,33,36,,
South Ayrshire,22,62,71,96,60,60,61,64,,
South Lanarkshire,84,238,188,227,179,149,162,286,,
Stirling,29,72,72,80,47,58,39,62,,
,,,,,,,,,,
West Dunbartonshire,26,78,60,61,42,55,45,71,,
West Lothian,60,161,144,122,106,90,64,93,,
