Subject,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60-64,age-65
English,91,328,376,454,335,301,250,213,118,25
French,12,85,88,76,89,90,113,57,28,9
German,5,5,5,10,8,15,16,9,*,*
Spanish,6,22,21,18,21,8,17,*,*,0
Gaelic,*,14,13,8,*,5,7,*,*,*
Italian,0,*,*,0,0,*,*,0,0,0
English as an Additional Language,0,0,0,0,*,*,*,*,*,0
Community Languages,0,0,0,0,*,0,*,*,*,0
Other Modern Languages,22,74,67,33,52,46,48,30,18,6
Classical Studies ,*,0,*,*,*,0,*,*,*,*
,,,,,,,,,,
Mathematics,100,277,311,389,271,323,299,280,91,22
Biology,76,271,226,156,174,105,109,77,54,8
Chemistry,35,156,152,119,125,137,96,101,39,8
General Science,9,22,13,21,24,26,17,7,*,*
Physics,38,106,85,94,102,98,124,110,35,15
,,,,,,,,,,
Economics ,*,*,*,*,*,*,*,*,*,*
Geography,40,157,149,116,90,68,39,47,24,12
History,71,188,176,135,88,92,76,54,24,10
Religious Education,28,96,94,72,59,83,67,54,33,5
Modern Studies,46,132,109,107,73,73,33,30,16,5
Media Studies,*,*,*,0,*,*,*,*,*,*
Business Studies,51,142,111,114,105,116,93,122,*,*
Computing Studies,14,54,54,87,64,78,95,85,37,10
Home Economics,34,124,88,78,75,68,113,108,46,9
Technical Education,53,181,194,158,146,124,128,156,59,13
PSE/Guidance,0,14,63,100,114,96,52,58,*,*
,,,,,,,,,,
Art ,38,142,174,168,168,136,141,92,40,18
Music,93,184,138,116,134,93,71,64,27,7
Physical Education,279,455,369,334,174,112,66,71,39,9
Speech and Drama ,21,82,82,75,58,26,39,34,*,*
,,,,,,,,,,
Learning support ,*,*,63,112,121,139,127,132,76,18
,,,,,,,,,,
Additional support needs-general,*,6,7,24,18,17,29,21,*,*
Additional support needs-behavioural support,0,*,*,7,6,16,12,9,*,*
Additional support needs-learning difficulties ,0,7,13,24,23,28,31,28,25,5
Additional support needs-physical disabilities,0,0,*,*,*,0,*,*,*,*
Hearing impairment,0,*,*,*,5,*,5,*,*,*
Visual impairment,0,0,*,0,0,*,*,*,0,*
,,,,,,,,,,
Other,13,25,26,22,24,23,31,25,16,10
