Subject,age--24,age-25-29,age-30-34,age-35-39,age-40-44,age-45-49,age-50-54,age-55 to 59,age-60+,age-65
English,97,446,424,313,292,298,377,316,113,
French,17,104,130,91,116,111,148,138,45,
German,*,16,17,14,29,18,26,*,*,
Spanish,*,*,11,5,7,8,9,*,*,
Gaelic,6,11,8,7,7,7,6,*,*,
Italian,*,*,*,*,*,*,*,*,*,
English as an Additional Language,*,*,*,*,*,*,8,10,5,
Community Languages,*,*,*,*,*,*,*,*,*,
Other Modern Languages,6,48,33,31,45,31,38,46,8,
Classical Studies ,*,*,*,*,*,*,*,*,*,
,,,,,,,,,,
Mathematics,119,374,321,292,286,358,404,299,82,
Biology,74,177,200,122,101,113,180,153,36,
Chemistry,43,107,124,105,130,114,139,128,38,
General Science,*,15,21,25,20,16,24,*,*,
Physics,28,89,100,108,114,142,142,88,38,
,,,,,,,,,,
Economics ,*,*,*,*,*,*,*,*,*,
Geography,67,146,110,76,70,51,102,109,27,
History,52,159,133,108,95,55,81,107,27,
Religious Education,43,85,76,92,68,89,98,88,26,
Modern Studies,29,96,108,73,53,39,48,68,22,
Media Studies,*,*,*,*,*,*,*,*,*,
Business Studies,16,97,101,105,111,147,153,121,29,
Computing Studies,13,55,74,70,91,121,124,103,23,
Home Economics,24,72,63,50,90,128,204,223,44,
Technical Education,74,151,155,122,115,185,245,194,66,
PSE/Guidance,*,*,57,69,57,55,96,98,23,
,,,,,,,,,,
Art ,12,107,161,125,148,147,192,173,44,
Music,77,142,149,117,74,90,117,76,21,
Physical Education,211,397,300,159,103,96,198,222,19,
Speech and Drama ,*,71,80,30,39,44,50,*,*,
,,,,,,,,,,
Learning support ,*,*,44,78,94,113,225,254,94,
,,,,,,,,,,
Additional support needs-general,*,*,11,10,14,23,30,39,13,
Additional support needs-behavioural support,0,4,6,10,11,13,24,30,13,
Additional support needs-learning difficulties ,0,9,5,15,27,25,36,64,22,
Additional support needs-physical disabilities,*,*,*,*,*,*,*,*,*,
Hearing impairment,*,*,*,*,*,*,9,*,*,
Visual impairment,*,*,*,*,*,*,8,*,*,
,,,,,,,,,,
Other,4,12,19,27,28,32,35,49,13,
