LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City,416,247,121,16,537,263
Aberdeenshire,644,387,341,43,985,430
Angus,330,209,64,7,394,216
Argyll and Bute,210,175,65,19,275,194
City of Edinburgh,125,72,37,3,162,75
,,,,,,
Clackmannanshire,411,306,91,28,502,334
Dumfries and Galloway,414,253,70,16,484,269
Dundee City,305,215,74,12,379,227
East Ayrshire,350,211,73,13,423,224
East Dunbartonshire,240,166,81,17,321,183
,,,,,,
East Lothian,357,242,80,5,437,247
East Renfrewshire,773,552,213,51,986,603
Falkirk,105,56,52,21,157,77
Fife,469,241,58,14,527,255
Glasgow City,913,615,173,30,1086,645
,,,,,,
Highland,1121,764,262,39,1383,803
Inverclyde,615,482,158,42,773,524
Midlothian,193,150,46,13,239,163
Moray,210,146,71,17,281,163
Na h-Eileanan Siar,245,171,77,12,322,183
,,,,,,
North Ayrshire,369,226,90,9,459,235
North Lanarkshire,943,619,182,37,1125,656
Orkney Islands,60,47,39,8,99,55
Perth and Kinross,327,241,85,21,412,262
Renfrewshire,415,267,118,25,533,292
,,,,,,
Scottish Borders,270,200,59,15,329,215
Shetland Islands,80,73,49,16,129,89
South Ayrshire,293,189,85,18,378,207
South Lanarkshire,800,593,198,29,998,622
Stirling,285,163,49,4,334,167
,,,,,,
West Dunbartonshire,241,158,65,10,306,168
West Lothian,476,300,94,16,570,316
