LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City,428,231,124,11,552,242
Aberdeenshire,622,383,311,41,933,424
Angus,323,199,64,14,387,213
Argyll and Bute,206,186,66,12,272,198
City of Edinburgh,127,76,38,3,165,79
,,,,,,
Clackmannanshire,403,287,82,26,485,313
Dumfries and Galloway,389,245,60,13,449,258
Dundee City,301,203,71,12,372,215
East Ayrshire,349,200,75,13,424,213
East Dunbartonshire,236,163,82,16,318,179
,,,,,,
East Lothian,366,236,79,20,445,256
East Renfrewshire,781,547,217,41,998,588
Falkirk,89,61,34,9,123,70
Fife,437,247,78,8,515,255
Glasgow City,878,618,193,29,1071,647
,,,,,,
Highland,1134,725,240,62,1374,787
Inverclyde,631,459,158,32,789,491
Midlothian,173,142,61,8,234,150
Moray,227,145,53,9,280,154
Na h-Eileanan Siar,248,154,62,12,310,166
,,,,,,
North Ayrshire,371,209,83,16,454,225
North Lanarkshire,951,594,151,26,1102,620
Orkney Islands,56,47,42,8,98,55
Perth and Kinross,335,222,93,28,428,250
Renfrewshire,421,251,128,25,549,276
,,,,,,
Scottish Borders,263,194,66,21,329,215
Shetland Islands,70,61,45,18,115,79
South Ayrshire,278,197,72,14,350,211
South Lanarkshire,830,549,173,34,1003,583
Stirling,285,171,46,4,331,175
,,,,,,
West Dunbartonshire,227,159,64,5,291,164
West Lothian,505,271,97,17,602,288
