LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City,429,219,110,11,539,230
Aberdeenshire,610,393,308,53,918,446
Angus,302,207,68,12,370,219
Argyll and Bute,194,149,88,12,282,161
City of Edinburgh,762,555,292,41,1054,596
,,,,,,
Clackmannanshire,122,75,35,4,157,79
Dumfries and Galloway,370,228,101,35,471,263
Dundee City,321,213,72,21,393,234
East Ayrshire,289,195,80,15,369,210
East Dunbartonshire,350,202,109,23,459,225
,,,,,,
East Lothian,234,153,113,18,347,171
East Renfrewshire,374,243,92,14,466,257
Falkirk,433,256,121,10,554,266
Fife,838,569,220,44,1058,613
Glasgow City,1291,771,250,41,1541,812
,,,,,,
Highland,566,403,227,57,793,460
Inverclyde,180,131,61,12,241,143
Midlothian,215,145,66,13,281,158
Moray,224,123,79,18,303,141
Na h-Eileanan Siar,78,48,36,13,114,61
,,,,,,
North Ayrshire,354,200,96,21,450,221
North Lanarkshire,877,531,255,68,1132,599
Orkney Islands,58,39,43,9,101,48
Perth and Kinross,330,203,112,28,442,231
Renfrewshire,424,239,143,24,567,263
,,,,,,
Scottish Borders,260,163,82,22,342,185
Shetland Islands,67,49,46,18,113,67
South Ayrshire,272,164,85,8,357,172
South Lanarkshire,865,527,227,44,1092,571
Stirling,252,148,85,14,337,162
,,,,,,
West Dunbartonshire,252,136,79,21,331,157
West Lothian,465,282,116,18,581,300
