LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City,430,219,90,17,520,236
Aberdeenshire,599,394,291,45,890,439
Angus,296,196,74,10,370,206
Argyll and Bute,202,170,66,20,268,190
City of Edinburgh,128,72,33,11,161,83
,,,,,,
Clackmannanshire,354,252,99,36,453,288
Dumfries and Galloway,357,225,64,11,421,236
Dundee City,278,196,82,11,360,207
East Ayrshire,357,195,86,21,443,216
East Dunbartonshire,219,150,102,16,321,166
,,,,,,
East Lothian,354,233,89,17,443,250
East Renfrewshire,695,511,258,58,953,569
Falkirk,83,53,37,10,120,63
Fife,455,252,96,15,551,267
Glasgow City,853,546,227,48,1080,594
,,,,,,
Highland,1078,728,242,38,1320,766
Inverclyde,564,422,214,46,778,468
Midlothian,177,133,60,13,237,146
Moray,213,140,52,11,265,151
Na h-Eileanan Siar,217,121,87,21,304,142
,,,,,,
North Ayrshire,346,221,79,14,425,235
North Lanarkshire,873,540,222,67,1095,607
Orkney Islands,65,43,36,6,101,49
Perth and Kinross,334,197,102,34,436,231
Renfrewshire,440,252,105,21,545,273
,,,,,,
Scottish Borders,238,173,71,26,309,199
Shetland Islands,70,51,41,15,111,66
South Ayrshire,262,166,96,19,358,185
South Lanarkshire,861,533,163,34,1024,567
Stirling,254,162,80,7,334,169
,,,,,,
West Dunbartonshire,228,138,71,12,299,150
West Lothian,457,291,111,15,568,306
