LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City,414,245,130,13,544,258
Aberdeenshire,641,386,295,30,936,416
Angus,325,203,55,12,380,215
Argyll and Bute,201,192,66,13,267,205
City of Edinburgh,117,75,44,4,161,79
,,,,,,
Clackmannanshire,415,310,91,19,506,329
Dumfries and Galloway,394,249,67,12,461,261
Dundee City,293,214,79,10,372,224
East Ayrshire,342,204,74,14,416,218
East Dunbartonshire,248,166,74,12,322,178
,,,,,,
East Lothian,365,237,87,10,452,247
East Renfrewshire,780,546,220,41,1000,587
Falkirk,97,59,34,13,131,72
Fife,456,251,67,7,523,258
Glasgow City,887,628,186,27,1073,655
,,,,,,
Highland,1125,745,262,46,1387,791
Inverclyde,622,481,163,38,785,519
Midlothian,185,152,55,6,240,158
Moray,215,147,65,17,280,164
Na h-Eileanan Siar,256,158,74,16,330,174
,,,,,,
North Ayrshire,369,216,83,11,452,227
North Lanarkshire,944,607,176,35,1120,642
Orkney Islands,58,46,33,10,91,56
Perth and Kinross,334,231,91,26,425,257
Renfrewshire,423,265,117,31,540,296
,,,,,,
Scottish Borders,257,203,69,17,326,220
Shetland Islands,77,65,44,18,121,83
South Ayrshire,285,190,84,24,369,214
South Lanarkshire,825,582,171,41,996,623
Stirling,279,172,45,5,324,177
,,,,,,
West Dunbartonshire,223,159,69,10,292,169
West Lothian,488,284,106,17,594,301
