LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City,423,217,113,17,536,234
Aberdeenshire,612,386,314,42,926,428
Angus,294,208,75,11,369,219
Argyll and Bute,200,157,83,19,283,176
City of Edinburgh,121,65,33,7,154,72
,,,,,,
Clackmannanshire,353,212,117,47,470,259
Dumfries and Galloway,336,220,69,14,405,234
Dundee City,282,192,88,11,370,203
East Ayrshire,355,198,102,24,457,222
East Dunbartonshire,226,154,105,16,331,170
,,,,,,
East Lothian,360,230,100,24,460,254
East Renfrewshire,735,527,262,47,997,574
Falkirk,82,50,37,11,119,61
Fife,451,254,109,9,560,263
Glasgow City,846,576,228,42,1074,618
,,,,,,
Highland,1223,751,241,45,1464,796
Inverclyde,576,409,236,67,812,476
Midlothian,182,132,58,16,240,148
Moray,214,150,66,13,280,163
Na h-Eileanan Siar,228,118,79,17,307,135
,,,,,,
North Ayrshire,341,217,108,20,449,237
North Lanarkshire,871,541,235,81,1106,622
Orkney Islands,60,40,39,9,99,49
Perth and Kinross,350,188,114,27,464,215
Renfrewshire,424,247,125,24,549,271
,,,,,,
Scottish Borders,277,179,84,25,361,204
Shetland Islands,69,45,50,20,119,65
South Ayrshire,263,166,94,9,357,175
South Lanarkshire,822,523,208,43,1030,566
Stirling,244,160,80,10,324,170
,,,,,,
West Dunbartonshire,238,133,79,16,317,149
West Lothian,456,286,112,22,568,308
