LocalAuthority,FT-female,FT-male,PT-female,PT-male,all-female,all-male
Aberdeen City, 449 , 229 , 105 , 14 , 554 , 243 
Aberdeenshire, 617 , 410 , 283 , 48 , 900 , 458 
Angus, 299 , 214 , 84 , 14 , 383 , 228 
Argyll and Bute, 206 , 139 , 81 , 17 , 287 ,   
City of Edinburgh, 823 , 549 , 291 , 46 ," 1,114 ", 595 
,,,,,  ,  
Clackmannanshire, 133 , * , 36 , * , 169 , 79 
Dumfries and Galloway, 362 , 223 , 99 , 26 , 461 , 249 
Dundee City, 330 , 203 , 79 , 23 , 409 , 226 
East Ayrshire, 288 , 197 , 87 , 11 , 375 , 208 
East Dunbartonshire, 385 , 219 , 113 , 24 , 498 , 243 
,,,,,,  
East Lothian, 243 , 162 , 104 , 18 , 347 , 180 
East Renfrewshire, 373 , 232 , 96 , 11 , 469 , 243 
Falkirk, 462 , 257 , 121 , 8 , 583 , 265 
Fife, 860 , 560 , 223 , 44 ," 1,083 ", 604 
Glasgow City," 1,295 ", 793 , 243 , 46 ," 1,538 ", 839 
,,,,,,  
Highland, 567 , 408 , 231 , 51 , 798 , 459 
Inverclyde, 175 , 133 , 67 , 17 , 242 , 150 
Midlothian, 221 , 154 , 73 , 10 , 294 , 164 
Moray, 73 , * , 43 , * , 116 , 59 
Na h-Eileanan Siar,,,,,,  
,,,,,,
North Ayrshire, 359 , 207 , 95 , 18 , 454 , 225 
North Lanarkshire, 893 , 566 , 251 , 54 ," 1,144 ", 620 
Orkney Islands, 59 , 40 , 40 , 8 , 99 , 48 
Perth and Kinross, 344 , 197 , 100 , 27 , 444 , 224 
Renfrewshire, 460 , 257 , 127 , 22 , 587 , 279 
,,,,,,
Scottish Borders, 282 , 177 , 80 , 15 , 362 , 192 
Shetland Islands, 67 , 44 , 51 , 23 , 118 , 67 
South Ayrshire, 286 , 174 , 83 , 6 , 369 , 180 
South Lanarkshire, 914 , 531 , 236 , 53 ," 1,150 ", 584 
Stirling, 250 , 169 , 88 , 10 , 338 , 179 
,,,,,,
West Dunbartonshire, 246 , 133 , 76 , 13 , 322 , 146 
West Lothian, 459 , 292 , 138 , 12 , 597 , 304 
